;PV_open_Erfurt;PV_open_Nordhausen;PV_open_Hildburghausen;PV_open_Gera;PV_rooftop_Erfurt;PV_rooftop_Nordhausen;PV_rooftop_Hildburghausen;PV_rooftop_Gera;Wind_Erfurt;Wind_Nordhausen;Wind_Hildburghausen;Wind_Gera
2030-01-01 00:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,03442126422282794;0,03807968531855707;0,09970241325182334;0,0675000269535136
2030-01-01 01:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01355619434685915;0,016447558526136264;0,06898944536704456;0,032361217665027364
2030-01-01 02:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,00627124459233996;0,009117632990350743;0,0557109102486095;0,022595257267769626
2030-01-01 03:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,013716148119069071;0,017624318492694142;0,06464026224723225;0,0363928745074941
2030-01-01 04:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01724300667515668;0,020768423251455347;0,06287048077002774;0,03311383524754826
2030-01-01 05:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,023444567449001946;0,029643816646051407;0,08401287977320178;0,0475364031670878
2030-01-01 06:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01703355645676276;0,02147808100514473;0,06873539743242381;0,03252405430854848
2030-01-01 07:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,043732128940793695;0,05421707605970615;0,10485323447625412;0,06932732920595802
2030-01-01 08:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,046798117263832706;0,057180550510621216;0,11340706561521795;0,07174355731913716
2030-01-01 09:00:00;0,056262237446971515;0,057090485596780614;0,011703566749227805;0,027121442166202128;0,0541894181726094;0,05498715191689923;0,011272382711098358;0,02612223113902626;0,2188592286330692;0,22297033184233772;0,23266537178868593;0,24007437611182808
2030-01-01 10:00:00;0,06494624795029437;0,07052895159313993;0,02603283602776688;0,05486179133207892;0,06255349144686248;0,0679305165344453;0,025073731542533364;0,05284056744089707;0,14522162604194058;0,1578955327726925;0,2151669785352716;0,1769606032395722
2030-01-01 11:00:00;0,11304306790213248;0,1207975595072541;0,03800413421781042;0,09417181569880768;0,10887832329521181;0,11634712310435527;0,036603981904522666;0,09070232775200951;0,13102800918370075;0,1256997826919532;0,18989400607703716;0,14596234315174295
2030-01-01 12:00:00;0,15047456989654434;0,15593697142833876;0,048332800937986045;0,10784335342295254;0,14493076995298745;0,15019192511255786;0,04655211879816551;0,10387017724421219;0,17106106383671935;0,18330112689574024;0,2324979305135905;0,20174954520770877
2030-01-01 13:00:00;0,13018100059697654;0,12951372100454023;0,03972211560961241;0,07468982488250785;0,1253848584697195;0,12474216286226769;0,03825866924504775;0,07193809449209966;0,256722913365826;0,2622389184449965;0,28459296722667227;0,27706394653907424
2030-01-01 14:00:00;0,1745204431046847;0,17508821169240774;0,02433253150929605;0,011444239162298865;0,16809074256924894;0,168637593366898;0,02343606982211146;0,011022609298424696;0,2067773106092555;0,2237327524220821;0,2682448227326092;0,24183695265733862
2030-01-01 15:00:00;0,049128183118230404;0,04062793952800008;0,006742807485829641;0,0;0,04731819742440086;0,03913112070328429;0,0064943882626674965;0,0;0,3790789757038535;0,40003610231662945;0,41830020743137364;0,41960214736702134
2030-01-01 16:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,20800136320637577;0,22491709507022875;0,30330894975224804;0,29109838328090587
2030-01-01 17:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,25067258342553783;0,25587307671120846;0,3218811511829049;0,2793343652194018
2030-01-01 18:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,14522162604194058;0,16190866700353507;0,24407945870901235;0,18035987393904934
2030-01-01 19:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,13102800918370075;0,150141834633117;0,23434108454954022;0,16828999809986306
2030-01-01 20:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,13894853717114258;0,15863033072664937;0,24335795321461814;0,17818072556918851
2030-01-01 21:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,05289340772220539;0,06480881845891624;0,14757220978894053;0,09060468780336686
2030-01-01 22:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,019318268548696043;0,023035915856546435;0,09635478375902218;0,043663716527291445
2030-01-01 23:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,011046430437684421;0,014487525605464948;0,06927006550401743;0,025207558544859808
