Strompreis_2030;Erdgaspreis_2030;Oelpreis_2030;Biomassepreis_2030;Wasserstoffpreis_2030;Synthetische_Kraftstoffe_2030;Steinkohlepreis_2030;Braunkohlepreis_2030;Strompreis_2030_brain
109,0334752;20,12;30,09;25;121;206,22;5,392819567;8,798929188;94,05
100,6751915;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,95
95,35986089;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,82
95,34170658;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,61
90,96161891;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,95
89,45756204;20,12;30,09;25;121;206,22;5,392819567;8,798929188;99,47
101,3460254;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,30
114,1934938;20,12;30,09;25;121;206,22;5,392819567;8,798929188;108,47
119,103508;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,12
120,0568088;20,12;30,09;25;121;206,22;5,392819567;8,798929188;102,64
112,6973074;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,95
99,99435306;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,36
91,92904142;20,12;30,09;25;121;206,22;5,392819567;8,798929188;77,24
84,95805119;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,46
76,17056484;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,45
70,72312405;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,75
69,0677767;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,36
66,60477615;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,45
65,42002637;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,25
68,79637642;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,42
79,08434376;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,36
90,62101644;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,45
99,75690585;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,75
114,1632889;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,82
119,4453664;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,82
118,1951915;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,59
120,3880131;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,51
119,0727401;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,95
113,6150916;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,95
108,2953597;20,12;30,09;25;121;206,22;5,392819567;8,798929188;70,00
111,3312847;20,12;30,09;25;121;206,22;5,392819567;8,798929188;73,49
115,5991915;20,12;30,09;25;121;206,22;5,392819567;8,798929188;84,62
121,3086705;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,96
122,2577361;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,62
113,6006218;20,12;30,09;25;121;206,22;5,392819567;8,798929188;85,75
101,8461507;20,12;30,09;25;121;206,22;5,392819567;8,798929188;77,90
94,07755522;20,12;30,09;25;121;206,22;5,392819567;8,798929188;78,33
86,46948597;20,12;30,09;25;121;206,22;5,392819567;8,798929188;75,20
77,8248633;20,12;30,09;25;121;206,22;5,392819567;8,798929188;71,94
69,10370205;20,12;30,09;25;121;206,22;5,392819567;8,798929188;73,81
67,44663377;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,07
65,57498183;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,70
64,83542188;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,59
66,12129205;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,43
74,5547929;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,50
86,00560032;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,36
96,8561894;20,12;30,09;25;121;206,22;5,392819567;8,798929188;69,44
111,0409818;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,44
110,463024;20,12;30,09;25;121;206,22;5,392819567;8,798929188;65,17
103,9937211;20,12;30,09;25;121;206,22;5,392819567;8,798929188;65,03
104,135209;20,12;30,09;25;121;206,22;5,392819567;8,798929188;65,17
96,78661906;20,12;30,09;25;121;206,22;5,392819567;8,798929188;65,17
102,2609542;20,12;30,09;25;121;206,22;5,392819567;8,798929188;67,44
98,38600314;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,43
104,9161852;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,18
112,1155992;20,12;30,09;25;121;206,22;5,392819567;8,798929188;81,71
115,5352719;20,12;30,09;25;121;206,22;5,392819567;8,798929188;85,61
