"804,6716807058574"
"943,286303187775"
"1218,5801652225236"
"1401,1930556322886"
"1497,1775723839366"
"1513,4310039808202"
"1480,259907876909"
"1435,0412226057003"
"1386,1539608482185"
"1347,3808649177117"
"1314,099934441912"
"1305,16732496948"
"1280,8829663167303"
"1283,6646311753375"
"1263,3823599084085"
"1228,9339737748487"
"1152,2862545328076"
"1075,588346387105"
"993,0651463922447"
"892,4965974543107"
"791,3940961081586"
"557,4615109425926"
"572,2957076354312"
"580,3318710822844"
"608,7368702879467"
"736,8439058770281"
"947,6388812657492"
"1085,8929927579716"
"1149,7816685237287"
"1158,777166762434"
"1107,7208025139973"
"1064,812849858577"
"1032,1980830920922"
"1005,5877435890388"
"978,9117910934938"
"970,5265804431172"
"946,2301102848104"
"953,3039514599999"
"946,3425771168768"
"917,7899020240019"
"888,9471536879289"
"845,512702052369"
"779,3315808360794"
"684,8970211779693"
"611,6093912715409"
"450,9386111472642"
"444,5496867199573"
"460,04136406581586"
"488,4603992705388"
"605,7728180667855"
"811,8046529204883"
"972,8507376690752"
"981,7560455251371"
"942,227577019489"
"907,6018261355682"
"865,5210824813885"
"835,3415103735629"
"815,1594788254796"
"797,2916839547543"
"773,8947008967066"
"744,8834312050352"
"736,8365712367156"
"715,2817923914365"
"710,566710812986"
"713,8228412191004"
"695,0025892951372"
"657,631851748544"
"564,9314032179357"
"491,605932134648"
"424,92611561930073"
"454,8032285446051"
"436,80002993630103"
"459,74698674234946"
"533,6353876392932"
"664,7271605981956"
"725,3188407304458"
"766,3698405319044"
"781,8904169646032"
"759,0702522178344"
"716,8063977625616"
"686,1751053860951"
"660,9162851975091"
"608,8027151027254"
"581,096774342129"
"575,1160563018036"
"582,6445606407112"
"583,2234744205329"
"583,2651683054476"
"577,9159831541791"
"568,9779163194892"
"536,7507789408439"
"469,08827073673905"
"400,49145353876213"
"467,53591325173176"
"535,7142892275554"
"528,3056909661705"
"557,2938797933093"
"685,1557257987936"
"904,8954296150089"
"801,6077530175385"
"816,5237022824601"
"769,4564399544362"
"752,0831776383582"
"698,1235051294693"
"686,2837873436391"
"681,9632441815952"
"632,5236219496437"
"627,3511418213932"
"634,0080731466242"
"660,1277133093317"
"696,9176009864682"
"737,2249987722237"
"759,1016519058853"
"781,8237520231548"
"768,171104129382"
"682,6897615563153"
"608,5160060550171"
"725,0294275650143"
"740,5421402990562"
"758,3051923643081"
"794,8986553145894"
"932,285230601507"
"1204,6475837980927"
"1384,2358971550118"
"1477,8136846257962"
"1493,6978286347655"
"1461,3596272715613"
"1417,0810430724205"
"1369,084725116108"
"1331,20745685483"
"1298,7136209238379"
"1289,9390018110464"
"1265,6414018423566"
"1268,3232016337736"
"1248,0169396511542"
"1213,8237314832545"
"1138,6135206297927"
"1063,4712110881806"
"981,9093765161679"
"882,1584673329226"
"782,0809353210627"
"635,9877329730123"
"656,9566726381954"
"667,8776673452262"
"699,8355643419375"
"844,4510056593842"
"1089,0674627905332"
"1250,0465009932818"
"1333,37657713866"
"1344,7269203046546"
"1276,5193956137027"
"1220,6451719517759"
"1180,311053101632"
"1146,1869737214924"
"1111,9959818126904"
"1101,6985574244882"
"1077,3112873067146"
"1088,7334854574722"
"1088,0176411540276"
"1058,037906458051"
"1025,7977407912588"
"971,6775169535736"
"894,5133656325062"
"786,1780872791379"
"699,2990088461938"
"822,4242954533519"
"842,691159143088"
"863,7272031731079"
"904,6638846457604"
"1056,8968611614687"
"1365,1376157310237"
"1575,7381497327697"
"1693,5009764659894"
"1712,9286777189643"
"1671,7252045907537"
"1617,3410108551343"
"1559,6455245930597"
"1512,4247351584754"
"1471,8475641354357"
"1461,4519834221692"
"1437,4909489097117"
"1441,84044397516"
"1422,2918194259405"
"1385,8768044474873"
"1295,9081192414824"
"1204,4370808253784"
"1111,5922268424904"
"1001,3285369424945"
"887,2510993464841"
"942,5335585429639"
"948,336277343049"
"961,4523193361815"
"1010,4907365242015"
"1150,211595005392"
"1503,3270737806947"
"1739,1294624558443"
"1848,2541306011474"
"1876,2143799438963"
"1856,8690293087943"
"1800,3487650653485"
"1762,7516216281401"
"1706,6625054033534"
"1633,3175045297949"
"1636,8121735969785"
"1588,3105850171894"
"1562,0536196156236"
"1544,8645613277956"
"1485,8049549900688"
"1389,0327734716443"
"1285,538962472479"
"1198,5010145470885"
"1105,6742449385242"
"982,4099237823443"
"977,7080939420143"
"984,2150188924475"
"997,6772703812774"
"1048,386166742885"
"1191,2867835655977"
"1557,087848657198"
"1804,7425010081854"
"1921,9011283486536"
"1950,9145542224371"
"1930,3862496461581"
"1870,777239172576"
"1831,6338722019436"
"1771,9580263769162"
"1694,11494212223"
"1698,2063564232637"
"1647,982837972365"
"1619,7803477031132"
"1602,817298656989"
"1541,480471479741"
"1439,6035282016585"
"1330,3765653915743"
"1240,6150415894654"
"1145,8761337572982"
"1018,9253200583933"
"844,7768960498656"
"862,1924707301534"
"879,9621694421501"
"892,0108939157806"
"996,0045320501354"
"1199,8088902560198"
"1397,8317797662653"
"1486,6449787173144"
"1474,6695367524958"
"1426,321769591145"
"1428,26972997192"
"1382,8019349877216"
"1321,4271068664511"
"1288,958807538276"
"1230,9406127911257"
"1121,7055546559134"
"1153,9082473653543"
"1114,0087918797913"
"1045,7687150531444"
"1029,5534587666946"
"1028,7726524425825"
"978,2051906761642"
"866,7756858243448"
"769,6556817291164"
"793,0192334932609"
"801,8066992318222"
"818,1269570361277"
"910,85362199598"
"1004,9843719598384"
"1282,1142283125218"
"1257,627823785147"
"1287,604410766536"
"1255,4929444188874"
"1230,2535378096518"
"1195,9473201935493"
"1142,2763506612068"
"1096,8805052981083"
"1074,7070964452967"
"1032,918733605302"
"1051,8439146335409"
"1071,2792590910708"
"1127,9824959257658"
"1135,374185716958"
"1111,9048505157532"
"1071,7408946503613"
"1064,7666776549288"
"1012,2286353893596"
"914,327098272669"
"851,8871634573229"
"873,609001242227"
"895,6189666444507"
"937,9132310816942"
"1094,7516727848902"
"1414,1789632232274"
"1633,854755176571"
"1758,637301751762"
"1779,0744239341136"
"1735,234162649922"
"1677,8400506574656"
"1617,2382408097783"
"1567,2678696736316"
"1524,3221463880714"
"1513,4537560517392"
"1489,6121350232957"
"1494,5253187778706"
"1475,2645677155103"
"1438,2445593683187"
"1343,951499989296"
"1247,659232404922"
"1151,3415232775615"
"1037,752678741753"
"919,1684134075817"
"839,946958518032"
"861,0875297160792"
"882,6932293703123"
"924,4628875684158"
"1079,4980608136702"
"1394,5772488615771"
"1610,4039955094063"
"1732,1752991201818"
"1752,1679209973718"
"1709,423193784456"
"1653,275003181777"
"1593,8658078552337"
"1545,056361114996"
"1503,1117487755969"
"1492,4468872178363"
"1468,5639464083542"
"1473,28091532028"
"1453,9375282917572"
"1417,1980917223234"
"1324,7367187143723"
"1230,4638604114382"
"1135,5219320687415"
"1023,2003207381558"
"906,2904864035058"
"869,2602892608836"
"891,7984507238036"
"914,416806842599"
"957,4143087111456"
"1116,7079487213693"
"1441,9821927867763"
"1667,697978087448"
"1797,2869799691525"
"1818,4605198241834"
"1772,9647912727964"
"1713,6895810532324"
"1651,3089371893273"
"1599,5484375077835"
"1555,0324748017015"
"1543,8441540769952"
"1520,0320692665532"
"1525,1458792384801"
"1505,9243141863428"
"1468,3945806179195"
"1371,2344037999237"
"1271,835519386551"
"1173,6029787516813"
"1058,3828043755886"
"937,7528154148096"
"1016,7980919391244"
"1024,1250557879462"
"1038,029170393602"
"1090,7853186139532"
"1237,9872854526539"
"1619,3419496611868"
"1878,2224497517614"
"2002,4132780906436"
"2032,604674073224"
"2010,7732023571873"
"1947,90442109836"
"1907,0077591957536"
"1843,8386525602173"
"1761,500976483802"
"1766,1367942731815"
"1714,3674888230612"
"1684,6976144991968"
"1668,2766445906313"
"1604,913517785637"
"1498,1192120329692"
"1383,12000777015"
"1289,9350967751752"
"1192,3408212683034"
"1059,7048731525588"
"1019,5605474625822"
"1026,923092853321"
"1040,8294649264467"
"1093,6352357192213"
"1240,7523709726165"
"1622,469961011684"
"1883,1248600114404"
"2008,770122351052"
"2039,0420075843922"
"2017,1117251008698"
"1953,9259670754686"
"1912,9242872688137"
"1849,257976841323"
"1766,3469227284909"
"1771,0822474396864"
"1719,0168441001506"
"1688,893281384513"
"1672,3648397717036"
"1608,6045813624169"
"1501,0794724795383"
"1385,3718017165693"
"1292,144236884306"
"1194,719597219797"
"1062,4836271739932"
"958,4488025960221"
"978,6040912880649"
"979,0460681345767"
"997,8706786422912"
"1072,7379559658639"
"1390,7307945806224"
"1650,3727542899658"
"1621,0526192669613"
"1646,471536783552"
"1610,9434354209843"
"1560,6711464888483"
"1571,3481508095133"
"1505,833880341294"
"1471,9574448695091"
"1409,11918384902"
"1343,234008680809"
"1266,605730589215"
"1279,45623099645"
"1215,310755705402"
"1222,651445987556"
"1243,7510283038368"
"1212,4192259681909"
"1146,5189433016635"
"959,5180391627509"
"1007,4100442764163"
"1024,875938422718"
"1062,0665375558087"
"1123,1033590415414"
"1143,903204147052"
"1554,455041400702"
"1422,899910339108"
"1507,339762470097"
"1447,1613887513631"
"1407,4085476540188"
"1349,5773853498135"
"1337,9421111016054"
"1270,64186265009"
"1254,2584342390824"
"1227,6410718613315"
"1287,670050664186"
"1295,4025629970095"
"1364,5381369859817"
"1392,7744988545414"
"1363,9219818521374"
"1386,8688902072736"
"1428,762000825859"
"1263,4689346682285"
"1245,4646970546241"
"1174,1194874522307"
"1164,3154800625182"
"1184,4388837271551"
"1228,8120887163902"
"1374,4524375162587"
"1812,7380541517691"
"2023,493452312226"
"2063,770572632834"
"2119,592317807767"
"2101,5949183317002"
"2053,366676562664"
"2048,748173309511"
"1977,3751882910742"
"1874,5639479442516"
"1857,9648854899146"
"1833,455623666424"
"1770,6251956665355"
"1775,1214589628676"
"1730,3292778332684"
"1657,8789011234887"
"1545,4781310771448"
"1498,4666123119287"
"1398,5703118410306"
"1213,914488204974"
"1180,3674036910224"
"1170,5743837456962"
"1190,8406098036894"
"1235,4379844040184"
"1381,612296534116"
"1822,1714159106245"
"2034,138695095664"
"2074,8630183540117"
"2131,098459004097"
"2112,985392188553"
"2064,494283832058"
"2059,8372418192725"
"1987,945216200424"
"1884,33928186357"
"1867,641443161826"
"1843,1172751490194"
"1779,827313362085"
"1784,5286250382185"
"1739,6527701832542"
"1666,7597198543358"
"1553,5723550847886"
"1506,4613365895866"
"1406,0685011528167"
"1220,3254987365244"
"1000,4912142602951"
"1007,4753530166661"
"1021,1931370206146"
"1073,0845421582912"
"1218,4617453354651"
"1593,2713914589017"
"1847,5456223301971"
"1968,8787341899456"
"1998,5791407089646"
"1977,290569420546"
"1915,7731855652396"
"1875,6127579471727"
"1813,8803599856492"
"1733,3972304643037"
"1737,8117287041532"
"1686,6681466318685"
"1657,5866672858033"
"1640,9273321148203"
"1578,3891769800139"
"1473,6165415721712"
"1360,9993200287083"
"1269,2578577469171"
"1172,885969584752"
"1042,6854318755006"
"871,2877201380885"
"893,9492828701095"
"916,6141389350505"
"959,7598015787919"
"1119,5158800941222"
"1445,9830443263913"
"1671,937009344501"
"1801,631528951858"
"1822,7956771957208"
"1777,1747206892096"
"1717,752111293023"
"1655,2090002505324"
"1603,3546700379677"
"1558,774316650461"
"1547,5771005402758"
"1523,794355615109"
"1529,0201486303044"
"1509,891448986058"
"1472,4062887134362"
"1375,1273873739265"
"1275,5458875792192"
"1176,9980731671449"
"1061,366275238389"
"940,081944340237"
"716,2874995380073"
"731,3278132940131"
"748,8374867513801"
"784,933760293368"
"920,6930827016633"
"1189,0039038905904"
"1366,5768504076527"
"1458,727740809293"
"1474,4534255611811"
"1442,7929477164441"
"1399,3048352735268"
"1352,105492507048"
"1314,8755154632636"
"1282,918014677953"
"1274,2391527465259"
"1249,8663781765824"
"1252,2535522151484"
"1231,7344460747772"
"1197,573042380095"
"1123,331879818524"
"1049,363301611399"
"968,9581512219111"
"870,5180524923969"
"772,3828328240604"
"393,89699382305446"
"420,28260502279034"
"404,6409029221372"
"425,60927903708597"
"493,1461553616617"
"613,4735884901207"
"666,8966659617012"
"702,1423699225418"
"715,9206848932422"
"696,6555402028271"
"660,3092379139207"
"633,6890329928635"
"609,5057568895368"
"561,3438127446219"
"534,8561219578183"
"528,6605784529016"
"535,300632345905"
"536,0650619114404"
"536,2842686836466"
"531,5800806054827"
"523,070935464641"
"493,2122021982209"
"431,49628183557036"
"369,0421515346395"
"378,6855582581369"
"428,84788759346554"
"425,75318738782835"
"448,5433766888058"
"547,2002748436262"
"715,9628920156472"
"645,6636981596162"
"654,0489745730474"
"620,266604755062"
"605,566885816015"
"567,042739473904"
"557,2575062157614"
"553,4692090109158"
"514,9795452411363"
"511,5727067169034"
"517,1272165027015"
"538,5228431527163"
"572,1728978038681"
"604,2558001029894"
"622,2722270321741"
"638,221486077663"
"626,1662714885063"
"561,5419131270507"
"504,1315478616577"
"662,0143565027246"
"684,9916583134755"
"696,9696425793941"
"730,0401704208497"
"879,9090355302851"
"1135,3689143325494"
"1304,1590732974687"
"1394,3078324224366"
"1406,5419104529892"
"1332,537626443759"
"1272,256606954955"
"1229,3339683285872"
"1192,6487061751666"
"1155,8915512566186"
"1144,9265184436958"
"1120,4471919812686"
"1133,2568437276605"
"1134,5825511598312"
"1103,9986048301062"
"1070,5094009000136"
"1012,7066248364812"
"931,9722035080318"
"819,203763922038"
"728,1679241432334"
"657,653196902259"
"680,2908926152429"
"692,0922305917538"
"724,9777237717576"
"873,9724232631872"
"1127,6267797359558"
"1295,0961663351393"
"1384,0932545950511"
"1396,1750150608432"
"1323,144552459496"
"1263,6062469565086"
"1221,1189061650302"
"1184,86549199901"
"1148,539654322095"
"1137,6879695328537"
"1113,2282950474869"
"1125,805581547551"
"1126,7889946330383"
"1096,3117965249794"
"1063,036347219272"
"1005,8519877894832"
"925,7173854174216"
"813,6842768411645"
"723,336130402428"
"846,2859185136824"
"867,7089428320064"
"889,5504647718865"
"931,5412044748841"
"1087,378560403327"
"1404,3230537547245"
"1622,6033568507733"
"1746,3670290370928"
"1766,6806773142703"
"1723,293139298722"
"1666,4216831627293"
"1606,3376488993617"
"1556,810543976448"
"1514,2342046472072"
"1503,4346199629183"
"1479,549852467413"
"1484,2966229702242"
"1464,917220022423"
"1427,9377425294497"
"1334,3163721327248"
"1238,8156759121036"
"1143,2198910699767"
"1030,4223654696239"
"912,9866397433243"
"785,9653739800394"
"804,4742314701354"
"824,2672077678571"
"863,6341856007455"
