HA4;Prozessgas;T24;Elektromobilitaet_PKW
0,249879;0,196219;0,194186;65068,49315
0,26036;0,19929;0,189217;65068,49315
0,229392;0,200333;0,178896;65068,49315
0,2047;0,198921;0,172397;65068,49315
0,192192;0,196131;0,166281;65068,49315
0,1772;0,194348;0,163223;65068,49315
0,161827;0,192398;0,160548;65068,49315
0,156881;0,190863;0,16093;65068,49315
0,152556;0,179727;0,165135;65068,49315
0,154387;0,174787;0,173926;65068,49315
0,160753;0,162363;0,182718;65068,49315
0,149509;0,149436;0,190746;65068,49315
0,136159;0,139407;0,196097;65068,49315
0,112075;0,13359;0,194568;65068,49315
0,102211;0,124855;0,177749;65068,49315
0,096164;0,112091;0,149844;65068,49315
0,102801;0,112039;0,109707;65068,49315
0,071613;0,054798;0,060408;65068,49315
0,080436;0,054219;0,066341;65068,49315
0,07356;0,055029;0,063375;65068,49315
0,076084;0,055856;0,069578;65068,49315
0,080803;0,05698;0,093309;65068,49315
0,084861;0,059227;0,138076;65068,49315
0,11078;0,061609;0,141313;65068,49315
0,13782;0,06336;0,136998;65068,49315
0,147859;0,066114;0,133492;65068,49315
0,13997;0,070246;0,126211;65068,49315
0,120254;0,072175;0,121626;65068,49315
0,10794;0,07322;0,117311;65068,49315
0,105522;0,067167;0,115154;65068,49315
0,091326;0,058478;0,113266;65068,49315
0,086205;0,050816;0,113536;65068,49315
0,084477;0,046556;0,116502;65068,49315
0,082623;0,044352;0,122705;65068,49315
0,076468;0,042423;0,128907;65068,49315
0,070808;0,040495;0,134571;65068,49315
0,064921;0,038567;0,138346;65068,49315
0,064139;0,036703;0,137267;65068,49315
0,06501;0,035736;0,125401;65068,49315
0,05837;0,034197;0,105715;65068,49315
0,058473;0,036575;0,077398;65068,49315
0,11152;0,042854;0,076249;65068,49315
0,141769;0,044016;0,083737;65068,49315
0,136396;0,048015;0,079993;65068,49315
0,14177;0,048613;0,087822;65068,49315
0,173729;0,050609;0,117777;65068,49315
0,22549;0,051115;0,174283;65068,49315
0,15304;0,050777;0,178367;65068,49315
0,171827;0,050412;0,172921;65068,49315
0,148467;0,050412;0,168496;65068,49315
0,151718;0,050432;0,159305;65068,49315
0,125199;0,050963;0,153518;65068,49315
0,12615;0,050963;0,148072;65068,49315
0,127656;0,050963;0,145349;65068,49315
0,107188;0,046263;0,142966;65068,49315
0,103196;0,046338;0,143307;65068,49315
0,101895;0,046148;0,147051;65068,49315
0,104204;0,047495;0,15488;65068,49315
0,103225;0,055095;0,162709;65068,49315
0,113461;0,05785;0,169857;65068,49315
0,116919;0,059778;0,174623;65068,49315
0,132292;0,060648;0,173261;65068,49315
0,143324;0,062966;0,158284;65068,49315
0,123804;0,06517;0,133435;65068,49315
0,123239;0,070756;0,097694;65068,49315
0,221521;0,108994;0,152113;65068,49315
0,225116;0,105472;0,15624;65068,49315
0,226225;0,107333;0,159188;65068,49315
0,232837;0,111657;0,171569;65068,49315
0,237475;0,132961;0,205765;65068,49315
0,288062;0,15819;0,299509;65068,49315
0,401738;0,188254;0,298919;65068,49315
0,49051;0,196219;0,283;65068,49315
0,497034;0,19929;0,287717;65068,49315
0,489269;0,200333;0,283;65068,49315
0,466426;0,198921;0,274157;65068,49315
0,457435;0,196131;0,266492;65068,49315
0,424945;0,194348;0,264134;65068,49315
0,386383;0,192398;0,258238;65068,49315
0,392536;0,190863;0,257648;65068,49315
0,374294;0,179727;0,260007;65068,49315
0,348175;0,174787;0,27003;65068,49315
0,34367;0,162363;0,278873;65068,49315
0,319244;0,149436;0,282411;65068,49315
0,271778;0,139407;0,280642;65068,49315
0,223668;0,13359;0,271798;65068,49315
0,214522;0,124855;0,249394;65068,49315
0,217135;0,112091;0,221684;65068,49315
0,225878;0,112039;0,163315;65068,49315
0,202949;0,108994;0,144568;65068,49315
0,206242;0,105472;0,148491;65068,49315
0,207259;0,107333;0,151292;65068,49315
0,213316;0,111657;0,163059;65068,49315
0,217565;0,132961;0,195559;65068,49315
0,263911;0,15819;0,284653;65068,49315
0,368057;0,188254;0,284093;65068,49315
0,449386;0,196219;0,268964;65068,49315
0,455363;0,19929;0,273447;65068,49315
0,448249;0,200333;0,268964;65068,49315
0,427321;0,198921;0,260559;65068,49315
0,419085;0,196131;0,253274;65068,49315
0,389318;0,194348;0,251033;65068,49315
0,353989;0,192398;0,24543;65068,49315
0,359626;0,190863;0,244869;65068,49315
0,342914;0,179727;0,247111;65068,49315
0,318984;0,174787;0,256636;65068,49315
0,314857;0,162363;0,265042;65068,49315
0,292479;0,149436;0,268404;65068,49315
0,248992;0,139407;0,266723;65068,49315
0,204916;0,13359;0,258317;65068,49315
0,196537;0,124855;0,237024;65068,49315
0,198931;0,112091;0,210688;65068,49315
0,206941;0,112039;0,155215;65068,49315
0,134406;0,108994;0,104688;65068,49315
0,139293;0,105472;0,111846;65068,49315
0,145214;0,107333;0,113635;65068,49315
0,147361;0,111657;0,123031;65068,49315
0,157523;0,132961;0,151663;65068,49315
0,177596;0,15819;0,226376;65068,49315
0,247542;0,188254;0,226376;65068,49315
0,307191;0,196219;0,220113;65068,49315
0,317734;0,19929;0,216981;65068,49315
0,301385;0,200333;0,212507;65068,49315
0,28333;0,198921;0,206691;65068,49315
0,267278;0,196131;0,199533;65068,49315
0,247667;0,194348;0,197744;65068,49315
0,229801;0,192398;0,197296;65068,49315
0,225775;0,190863;0,197744;65068,49315
0,224714;0,179727;0,199981;65068,49315
0,221918;0,174787;0,208033;65068,49315
0,217795;0,162363;0,215192;65068,49315
0,208776;0,149436;0,220113;65068,49315
0,175851;0,139407;0,219665;65068,49315
0,143034;0,13359;0,214744;65068,49315
0,132521;0,124855;0,196401;65068,49315
0,131042;0,112091;0,169111;65068,49315
0,135904;0,112039;0,124373;65068,49315
0,072964;0,108994;0,070653;65068,49315
0,077486;0,105472;0,077592;65068,49315
0,085182;0,107333;0,074122;65068,49315
0,085131;0,111657;0,081377;65068,49315
0,089801;0,132961;0,109133;65068,49315
0,103103;0,15819;0,161492;65068,49315
0,137989;0,188254;0,165277;65068,49315
0,174685;0,196219;0,160231;65068,49315
0,182012;0,19929;0,15613;65068,49315
0,160363;0,200333;0,147614;65068,49315
0,143101;0,198921;0,142252;65068,49315
0,134357;0,196131;0,137205;65068,49315
0,123877;0,194348;0,134682;65068,49315
0,11313;0,192398;0,132474;65068,49315
0,109672;0,190863;0,13279;65068,49315
0,106648;0,179727;0,136259;65068,49315
0,107928;0,174787;0,143514;65068,49315
0,112379;0,162363;0,150768;65068,49315
0,104519;0,149436;0,157392;65068,49315
0,095186;0,139407;0,161808;65068,49315
0,078349;0,13359;0,160546;65068,49315
0,071454;0,124855;0,146668;65068,49315
0,067226;0,112091;0,123642;65068,49315
0,071866;0,112039;0,090524;65068,49315
0,037388;0,108994;0,049106;65068,49315
0,0408;0,105472;0,047985;65068,49315
0,050364;0,107333;0,046415;65068,49315
0,052939;0,111657;0,052021;65068,49315
0,055444;0,132961;0,076686;65068,49315
0,083598;0,15819;0,11772;65068,49315
0,111308;0,188254;0,135434;65068,49315
0,122132;0,196219;0,123998;65068,49315
0,101843;0,19929;0,117272;65068,49315
0,08954;0,200333;0,109648;65068,49315
0,073207;0,198921;0,104042;65068,49315
0,066588;0,196131;0,098661;65068,49315
0,059874;0,194348;0,096418;65068,49315
0,056018;0,192398;0,093503;65068,49315
0,048566;0,190863;0,09014;65068,49315
0,047248;0,179727;0,090588;65068,49315
0,046578;0,174787;0,092831;65068,49315
0,045154;0,162363;0,097764;65068,49315
0,051677;0,149436;0,105163;65068,49315
0,057566;0,139407;0,113235;65068,49315
0,050222;0,13359;0,11615;65068,49315
0,048002;0,124855;0,111217;65068,49315
0,03897;0,112091;0,091934;65068,49315
0,034086;0,112039;0,064802;65068,49315
0,083316;0,054798;0,06584;65068,49315
0,09358;0,054219;0,072306;65068,49315
0,085581;0,055029;0,069073;65068,49315
0,088517;0,055856;0,075833;65068,49315
0,094008;0,05698;0,101699;65068,49315
0,098729;0,059227;0,150491;65068,49315
0,128883;0,061609;0,154018;65068,49315
0,160341;0,06336;0,149315;65068,49315
0,172021;0,066114;0,145494;65068,49315
0,162843;0,070246;0,137558;65068,49315
0,139905;0,072175;0,132561;65068,49315
0,125578;0,07322;0,127859;65068,49315
0,122765;0,067167;0,125507;65068,49315
0,106249;0,058478;0,12345;65068,49315
0,100292;0,050816;0,123744;65068,49315
0,098281;0,046556;0,126977;65068,49315
0,096125;0,044352;0,133737;65068,49315
0,088963;0,042423;0,140497;65068,49315
0,082379;0,040495;0,14667;65068,49315
0,07553;0,038567;0,150785;65068,49315
0,074621;0,036703;0,149609;65068,49315
0,075634;0,035736;0,136676;65068,49315
0,067908;0,034197;0,11522;65068,49315
0,068028;0,036575;0,084357;65068,49315
0,11334;0,042854;0,076939;65068,49315
0,144083;0,044016;0,084496;65068,49315
0,138622;0,048015;0,080717;65068,49315
0,144084;0,048613;0,088617;65068,49315
0,176565;0,050609;0,118844;65068,49315
0,229171;0,051115;0,175861;65068,49315
0,155538;0,050777;0,179983;65068,49315
0,174632;0,050412;0,174487;65068,49315
0,15089;0,050412;0,170022;65068,49315
0,154195;0,050432;0,160748;65068,49315
0,127242;0,050963;0,154909;65068,49315
0,128209;0,050963;0,149413;65068,49315
0,12974;0,050963;0,146665;65068,49315
0,108937;0,046263;0,144261;65068,49315
0,104881;0,046338;0,144604;65068,49315
0,103558;0,046148;0,148383;65068,49315
0,105904;0,047495;0,156283;65068,49315
0,10491;0,055095;0,164183;65068,49315
0,115313;0,05785;0,171396;65068,49315
0,118827;0,059778;0,176204;65068,49315
0,134451;0,060648;0,174831;65068,49315
0,145663;0,062966;0,159718;65068,49315
0,125825;0,06517;0,134644;65068,49315
0,12525;0,070756;0,098578;65068,49315
0,1306;0,108994;0,103494;65068,49315
0,135349;0,105472;0,11057;65068,49315
0,141102;0,107333;0,112339;65068,49315
0,143188;0,111657;0,121627;65068,49315
0,153063;0,132961;0,149933;65068,49315
0,172568;0,15819;0,223794;65068,49315
0,240533;0,188254;0,223794;65068,49315
0,298493;0,196219;0,217602;65068,49315
0,308737;0,19929;0,214506;65068,49315
0,292851;0,200333;0,210084;65068,49315
0,275307;0,198921;0,204334;65068,49315
0,25971;0,196131;0,197257;65068,49315
0,240654;0,194348;0,195488;65068,49315
0,223294;0,192398;0,195046;65068,49315
0,219381;0,190863;0,195488;65068,49315
0,218351;0,179727;0,1977;65068,49315
0,215634;0,174787;0,205661;65068,49315
0,211627;0,162363;0,212737;65068,49315
0,202864;0,149436;0,217602;65068,49315
0,170871;0,139407;0,21716;65068,49315
0,138984;0,13359;0,212295;65068,49315
0,128769;0,124855;0,194161;65068,49315
0,127332;0,112091;0,167182;65068,49315
0,132056;0,112039;0,122954;65068,49315
0,101532;0,108994;0,085061;65068,49315
0,107825;0,105472;0,093416;65068,49315
0,118534;0,107333;0,089238;65068,49315
0,118463;0,111657;0,097972;65068,49315
0,124962;0,132961;0,131389;65068,49315
0,143471;0,15819;0,194426;65068,49315
0,192016;0,188254;0,198983;65068,49315
0,24308;0,196219;0,192907;65068,49315
0,253276;0,19929;0,18797;65068,49315
0,22315;0,200333;0,177717;65068,49315
0,19913;0,198921;0,171262;65068,49315
0,186963;0,196131;0,165186;65068,49315
0,172379;0,194348;0,162148;65068,49315
0,157424;0,192398;0,15949;65068,49315
0,152612;0,190863;0,15987;65068,49315
0,148405;0,179727;0,164047;65068,49315
0,150186;0,174787;0,172781;65068,49315
0,156379;0,162363;0,181515;65068,49315
0,145442;0,149436;0,189489;65068,49315
0,132454;0,139407;0,194806;65068,49315
0,109026;0,13359;0,193287;65068,49315
0,09943;0,124855;0,176578;65068,49315
0,093548;0,112091;0,148857;65068,49315
0,100004;0,112039;0,108985;65068,49315
0,16963;0,108994;0,119097;65068,49315
0,175798;0,105472;0,127241;65068,49315
0,183271;0,107333;0,129277;65068,49315
0,18598;0,111657;0,139965;65068,49315
0,198806;0,132961;0,172539;65068,49315
0,22414;0,15819;0,257535;65068,49315
0,312417;0,188254;0,257535;65068,49315
0,387698;0,196219;0,25041;65068,49315
0,401004;0,19929;0,246847;65068,49315
0,38037;0,200333;0,241758;65068,49315
0,357583;0,198921;0,235141;65068,49315
0,337325;0,196131;0,226998;65068,49315
0,312573;0,194348;0,224962;65068,49315
0,290025;0,192398;0,224453;65068,49315
0,284944;0,190863;0,224962;65068,49315
0,283606;0,179727;0,227507;65068,49315
0,280077;0,174787;0,236668;65068,49315
0,274873;0,162363;0,244811;65068,49315
0,26349;0,149436;0,25041;65068,49315
0,221937;0,139407;0,249901;65068,49315
0,18052;0,13359;0,244302;65068,49315
0,167252;0,124855;0,223435;65068,49315
0,165385;0,112091;0,192388;65068,49315
0,171521;0,112039;0,141492;65068,49315
0,20594;0,108994;0,145789;65068,49315
0,209282;0,105472;0,149744;65068,49315
0,210314;0,107333;0,15257;65068,49315
0,21646;0,111657;0,164436;65068,49315
0,220772;0,132961;0,197211;65068,49315
0,267801;0,15819;0,287057;65068,49315
0,373481;0,188254;0,286492;65068,49315
0,456009;0,196219;0,271235;65068,49315
0,462075;0,19929;0,275756;65068,49315
0,454856;0,200333;0,271235;65068,49315
0,43362;0,198921;0,262759;65068,49315
0,425261;0,196131;0,255413;65068,49315
0,395056;0,194348;0,253153;65068,49315
0,359206;0,192398;0,247502;65068,49315
0,364927;0,190863;0,246937;65068,49315
0,347968;0,179727;0,249197;65068,49315
0,323685;0,174787;0,258804;65068,49315
0,319498;0,162363;0,26728;65068,49315
0,296789;0,149436;0,27067;65068,49315
0,252662;0,139407;0,268975;65068,49315
0,207936;0,13359;0,260499;65068,49315
0,199433;0,124855;0,239026;65068,49315
