"2006,9851750951339"
"2039,2514732494838"
"2017,8571428194"
"1895,687969934062"
"1771,9441893048233"
"1785,3889441113993"
"1836,7893906273684"
"1920,8576943070047"
"1953,3393937706983"
"1826,916076839971"
"1617,5104754362683"
"1463,8880294776332"
"1341,200477167392"
"1204,7098282000948"
"1059,7551838675358"
"1016,2123614971774"
"978,2184706626947"
"962,6454820317429"
"1003,0954149067101"
"1140,7709030182173"
"1350,2067475181348"
"1542,0007245355037"
"1831,7318313132796"
"1961,9866054968934"
"1964,3541625565063"
"1996,9607295214473"
"1976,726651230747"
"1855,901263480106"
"1728,7656462137916"
"1740,724328688535"
"1788,4136774175636"
"1869,4678554319248"
"1906,1926372170196"
"1786,072162199057"
"1581,809536713297"
"1435,12168108476"
"1313,574351947504"
"1178,4274433612895"
"1109,0932284778182"
"1094,8918865085498"
"1015,3795020462763"
"990,4393460819587"
"997,5507561268693"
"1093,7979563372012"
"1183,901277300749"
"1365,391151226027"
"1699,6585035524681"
"1865,670526911034"
"1910,5870334649503"
"1939,35507828169"
"1933,1113025078762"
"1818,155280522291"
"1574,4676756635658"
"1414,494401748408"
"1394,3672109633653"
"1540,4189419547479"
"1655,4140878878907"
"1675,0268542210856"
"1521,064500665857"
"1342,6359963192594"
"1256,4675808375314"
"1152,8458236538502"
"1076,6852226290798"
"1032,6808002543703"
"967,2261469868798"
"938,6489221742097"
"948,3646594582614"
"1058,1119184282713"
"1076,7848404699669"
"1101,751392142627"
"1196,4078066737793"
"1340,9160744109317"
"1448,954313008618"
"1525,5251727505547"
"1549,4852318507264"
"1465,0668674671883"
"1328,8436470507868"
"1245,968680413022"
"1226,1078549592303"
"1331,0032729081918"
"1487,9952766604006"
"1600,2329366033546"
"1511,704428869536"
"1370,437445779863"
"1261,53106187663"
"1122,209785776341"
"1118,8009730701515"
"1080,8449324210555"
"1043,9918315472241"
"1030,6444519457964"
"1075,3416285392245"
"1231,7419390740638"
"1440,346757755185"
"1647,7743067308934"
"1947,781259458313"
"2079,1486824576045"
"2081,1086616586854"
"2110,2919618587944"
"2087,1448182247577"
"1964,3810666329164"
"1840,5992475888424"
"1853,7602814035713"
"1904,5703994255878"
"1986,321030991558"
"2017,4433225773932"
"1882,0108749923452"
"1666,3811204019466"
"1509,1737242449854"
"1384,6872139292764"
"1241,1184666254803"
"1099,4468203923718"
"1062,710464260189"
"1023,348253024414"
"1009,0847786432925"
"1056,16851313985"
"1205,3920793799944"
"1411,848796210994"
"1617,5535711465113"
"1916,3715020152672"
"2040,3020035868071"
"2040,1239785746611"
"2070,840742876752"
"2048,047907201897"
"1924,4946686460485"
"1800,4389733835078"
"1814,0279277556479"
"1866,504094607992"
"1951,9721276825221"
"1984,514781365941"
"1857,7148688278412"
"1646,4275974990064"
"1490,2921598032826"
"1364,1732219225232"
"1223,8395425651725"
"1138,9423977772149"
"1102,0386279046952"
"1065,8043408062454"
"1053,5139853874748"
"1101,7076298206414"
"1266,742778180363"
"1480,6403376797243"
"1691,9850107929315"
"1992,4913930668722"
"2122,195364851125"
"2122,2350971034452"
"2149,5226298525818"
"2124,7206377103294"
"2000,5622207815013"
"1876,5188707057287"
"1889,8124561817822"
"1941,1778648637833"
"2023,2984714884433"
"2054,207136139014"
"1916,240801926248"
"1697,658723062881"
"1537,9092419268445"
"1410,7109786119404"
"1263,2488891738963"
"1165,461632406938"
"1125,144452161026"
"1087,736679582621"
"1077,094726365313"
"1123,1983114027055"
"1296,9860258234462"
"1515,0572514406945"
"1723,0934329498718"
"2026,8794558239297"
"2160,441990146267"
"2159,697852224982"
"2190,595265538613"
"2164,229223607625"
"2033,3186160834885"
"1911,4036126835108"
"1920,4446682727312"
"1966,6871852173235"
"2049,2856015568796"
"2075,831336958739"
"1936,4363617790818"
"1715,1534664487958"
"1556,258339459901"
"1433,0485069054093"
"1282,8801277674565"
"1172,5812591173658"
"1132,4147136461183"
"1095,0874555032883"
"1084,8217227779114"
"1131,7188074502665"
"1308,3597056388635"
"1528,4494275643974"
"1737,739895357588"
"2041,7401705577622"
"2175,0663039241313"
"2173,730060016997"
"2204,307195236794"
"2177,311651377193"
"2045,5902907785085"
"1923,7728460483731"
"1932,537394319208"
"1978,521182547901"
"2061,2231321559866"
"2087,4061620442244"
"1947,1271191986716"
"1724,8008069777911"
"1565,2764245772296"
"1441,5367998925462"
"1290,3109234193785"
"1196,9865296701864"
"1180,043548193862"
"1107,968094326361"
"1082,1737468045058"
"1095,5779703196467"
"1212,3894072495464"
"1325,0313813278017"
"1512,4799898855495"
"1843,880601984537"
"2006,3619225402385"
"2058,1433830344936"
"2083,8734071663334"
"2071,5143413758656"
"1959,1701423362765"
"1710,1222686297547"
"1532,2797458706082"
"1516,8873563506045"
"1656,3136454974078"
"1758,9861598080224"
"1775,4547053577985"
"1621,3421460297154"
"1438,1216447668999"
"1343,6597095901352"
"1230,2016087576658"
"1144,6393457622426"
"1089,60184698914"
"1029,6260540731778"
"1012,566976463921"
"1016,3980603550694"
"1141,4193986773162"
"1172,495799638174"
"1198,1580703507484"
"1297,2968214445991"
"1441,631677866812"
"1552,6110995389472"
"1621,7829300678459"
"1638,8911621993257"
"1558,5149554645618"
"1415,850010251389"
"1334,6777003377265"
"1313,8551850637773"
"1422,097487444426"
"1572,5369455124273"
"1675,605075859838"
"1574,9234647728563"
"1433,8220736780772"
"1330,7723570269145"
"1184,1171778466028"
"1145,089942084025"
"1108,5109518887184"
"1072,462052892517"
"1060,5037650643353"
"1109,7894912926608"
"1277,5327357008705"
"1492,9791358571647"
"1705,4548474094095"
"2006,1001210223008"
"2135,3060377863503"
"2134,770049603277"
"2161,484880674526"
"2136,194455059229"
"2011,6270693421425"
"1887,507763346931"
"1900,8456379768186"
"1952,393413011779"
"2034,6398401355514"
"2065,4978081501877"
"1926,7887122686898"
"1707,331256741335"
"1546,7928396005582"
"1418,735436151549"
"1270,0257716214987"
"1142,6292276541908"
"1105,9219376805395"
"1069,7968262457184"
"1057,7111118340783"
"1106,5733689401297"
"1273,2725147776787"
"1488,062012629779"
"1700,0490691531859"
"2000,6311128722123"
"2130,042270689751"
"2129,742377473033"
"2156,6896192505383"
"2131,6047677617985"
"2007,2100424166924"
"1883,1236674489492"
"1896,445242249289"
"1947,9270494696684"
"2030,1305018154462"
"2061,0162791890752"
"1922,62159491061"
"1703,5286337123634"
"1543,2992250258098"
"1415,5683941224343"
"1267,325397170748"
"1148,5917804916899"
"1112,188875417498"
"1076,2528305873943"
"1064,4628313991311"
"1114,3144163999202"
"1283,4385385932915"
"1499,915762040101"
"1713,1795185200313"
"2013,9344590914816"
"2142,8350618895793"
"2141,9480342394954"
"2168,32273767506"
"2142,7177750759556"
"2017,8799212601907"
"1893,708495084169"
"1907,0626885211896"
"1958,6859810604815"
"2040,975862098373"
"2071,7718742915727"
"1932,571202503444"
"1712,5582895365"
"1551,5992424832689"
"1423,123353623273"
"1273,8351591056412"
"1180,8427980744532"
"1140,8592874505412"
"1103,638342087456"
"1093,8514773512418"
"1141,8401691531726"
"1322,1155980995259"
"1544,1148782113123"
"1754,4390428589481"
"2058,6897553635695"
"2191,7440845119877"
"2189,7592538037848"
"2219,957087083757"
"2192,3407753667084"
"2059,790536154422"
"1938,0596870876748"
"1946,585233151924"
"1992,4234735027098"
"2075,3101915455554"
"2101,1846176841104"
"1960,0476253699458"
"1736,6437067267684"
"1576,3009368535882"
"1451,7841533104452"
"1298,9778778170944"
"1181,2501972547793"
"1141,2709547255859"
"1104,049041279685"
"1094,2654575777879"
"1142,2252356854183"
"1322,522905383706"
"1544,8254667031883"
"1755,4046209961703"
"2059,667040268421"
"2192,7065357838187"
"2190,671216775518"
"2220,8542848704874"
"2193,154019461686"
"2060,5084050973483"
"1938,7949896271507"
"1947,2688739644332"
"1993,0253993693195"
"2075,8901666640413"
"2101,695236906964"
"1960,4344233673128"
"1736,9134278808165"
"1576,5726263708088"
"1452,0967485969277"
"1299,3833218542036"
"1225,0849657533572"
"1207,220791865931"
"1131,1768970852945"
"1105,6434940974705"
"1114,4458446919684"
"1258,4286365735625"
"1379,1186125438712"
"1541,0747460737334"
"1877,4845604497123"
"2041,346488770896"
"2082,6167221378887"
"2121,266599254617"
"2107,4569496976005"
"1995,259714775873"
"1745,237416734411"
"1575,810079714273"
"1540,8855096433108"
"1690,50448977704"
"1792,6074940332423"
"1814,9568852517523"
"1665,2960752662498"
"1486,530910527349"
"1403,3228184872023"
"1272,2836935907321"
"1191,2186572858393"
"1136,310270671607"
"1078,9110981215"
"1055,655076638181"
"1047,6319356931538"
"1203,9008827930047"
"1214,2332575382957"
"1243,7288765471226"
"1336,7463009241837"
"1477,7572276813162"
"1583,048760085259"
"1662,6636994621426"
"1675,2700696756642"
"1596,2187776456826"
"1455,986021537707"
"1382,86473887286"
"1359,1729319339356"
"1470,801726823645"
"1623,5621512049806"
"1727,5548253079282"
"1638,2853770212046"
"1506,5038217626388"
"1387,4539415400363"
"1251,6966984504425"
"1216,001415215962"
"1171,5272640072203"
"1134,226862202284"
"1121,9164762837513"
"1169,7559434100012"
"1367,4312482264368"
"1578,4987535211517"
"1768,7546484006452"
"2075,825042243969"
"2208,6829082256645"
"2207,5072842201953"
"2247,644471513953"
"2217,8266216993634"
"2082,2597443727477"
"1956,7421886250622"
"1971,0217374860686"
"2010,0583561545623"
"2097,7532620343404"
"2125,367978292484"
"1992,1600401870037"
"1770,0661859177098"
"1619,0871620578714"
"1498,255614472574"
"1334,5926924273394"
"1217,3160648403627"
"1172,8404054269877"
"1135,5618974374177"
"1123,2996943298062"
"1171,2763051181466"
"1369,507210863052"
"1580,765303125922"
"1771,0440628953802"
"2078,1823539001357"
"2211,009426954657"
"2209,7677378984376"
"2249,9094003356627"
"2219,9952987647453"
"2084,2876060923522"
"1958,7513880931856"
"1973,038092024466"
"2012,0028249865122"
"2099,751672703673"
"2127,3487252859977"
"1994,074485649323"
"1771,8393938308836"
"1620,822186136697"
"1499,8923632038368"
"1335,9554770969248"
"1177,3824087755884"
"1137,322119151328"
"1100,0562909892242"
"1090,0663561409006"
"1137,5913696902785"
"1316,3324997468094"
"1537,5483516668924"
"1747,4556260819058"
"2051,6015662089567"
"2184,7695271868856"
"2183,0545818038927"
"2213,4123504914237"
"2186,05161225434"
"2053,844272083083"
"1932,0783579415092"
"1940,699867045364"
"1986,5940913847458"
"2069,4008811748754"
"2095,4000874547114"
"1954,61624626794"
"1731,6580991282076"
"1571,661374556641"
"1447,476817887099"
"1295,346029300118"
"1149,0841826626845"
"1112,7122626397645"
"1076,7866349366668"
"1065,0350042445248"
"1115,0054359265332"
"1284,4378089494517"
"1500,9556816463428"
"1714,228649628868"
"2014,9777017401466"
"2143,850391124301"
"2142,930312823604"
"2169,2671384144332"
"2143,6436809527295"
"2018,7943866990813"
"1894,6218934993794"
"1907,9842520975972"
"1959,637934338281"
"2041,9535889851263"
"2072,764200679142"
"1933,5425899385077"
"1713,491743898766"
"1552,4529509063518"
"1423,8689177994743"
"1274,406569212273"
"1116,8556461939029"
"1078,7880813227443"
"1041,8840682407522"
"1028,4112344719733"
"1072,70663617207"
"1228,092034561469"
"1436,3528980495971"
"1643,5639909167235"
"1943,5574335539832"
"2075,0596936650377"
"2077,179842405882"
"2106,530286607191"
"2083,5012827872183"
"1960,8310955625725"
"1837,0635890072872"
"1850,2020939969034"
"1900,9269676253912"
"1982,6103722290022"
"2013,7168891824567"
"1878,4516299549555"
"1663,043619886951"
"1506,1130276450308"
"1381,9684216216879"
"1238,9249170989672"
"1102,5723645181329"
"1087,6549177204745"
"1008,605785480388"
"983,2023158905836"
"988,7481654364816"
"1082,2503790399282"
"1171,0648489149157"
"1351,6514715526491"
"1685,6925297816429"
"1852,4590166541548"
"1898,4783803903942"
"1928,018274134285"
"1922,0020415691947"
"1807,7585484857218"
"1564,2734444115304"
"1404,2032826691466"
"1383,7988267493724"
"1529,7563568850537"
"1644,6669885482816"
"1664,3131439451813"
"1510,4458721288024"
"1332,6622464231732"
"1247,9079532060127"
"1145,9088198840948"
"1058,2470157992918"
"1010,8462137710325"
"946,2886213599704"
"916,3175234150368"
"919,7621440319766"
"1018,3829899470895"
"1042,5104489217447"
"1066,5963399528805"
"1163,7099588956976"
"1309,069239334994"
"1419,9903684690407"
"1497,1457645771802"
"1521,3137254541252"
"1438,8663283293477"
"1302,9300076231211"
"1219,7058453702239"
"1198,702480957566"
"1302,7259517224197"
"1458,0073249467455"
"1569,3815920031334"
"1479,7556084581015"
"1339,4043232549825"
"1235,1246451282623"
"1100,199472048706"
"1104,905058495319"
"1068,6111593476346"
"1029,3794919760808"
"1015,4103401839136"
"1063,7898972044186"
"1215,6169873454487"
"1423,4613845978888"
"1630,257248770737"
"1929,167132390649"
"2051,9858437658204"
"2050,978360358388"
"2081,180947010175"
"2057,9146886947433"
"1933,891688727896"
"1809,7265663966314"
"1823,3496584818017"
"1876,1670509039632"
"1962,0877164954672"
"1994,6226632455969"
"1867,672964166566"
"1655,739160538351"
"1498,7947780130244"
"1371,5881277209282"
"1230,0686478406265"
"1103,992262666377"
"1067,623712808073"
"1028,3704691260268"
"1014,3523700794808"
"1062,5164220272654"
"1213,9106360099377"
"1421,5203739997028"
"1628,1318669800062"
"1927,0254541797613"
"2050,0306643936633"
"2049,1627941169877"
"2079,4516260862047"
"2056,2651597709973"
"1932,3209589863422"
"1808,174504664189"
"1821,7928305409296"
"1874,553197973119"
"1960,3980773823064"
"1992,9354532976922"
"1866,011859195988"
"1654,186305156693"
"1497,3776743025783"
"1370,3513311652741"
"1229,0281631514147"
"1143,86242483544"
"1107,2137158221303"
"1071,1313324566872"
"1059,0971083301974"
"1108,1375483542463"
"1275,263307452351"
"1490,4715446947084"
"1702,7893834469523"
"2003,421704364392"
"2132,7166148206966"
"2132,2849388566533"
"2159,1066326400296"
"2133,8965943748367"
"2009,3933778462801"
"1885,284686859803"
"1898,609333297472"
"1950,107955734"
"2032,3154115494458"
"2063,167439928783"
"1924,5741065147645"
"1705,264602425876"
"1544,8969864629435"
"1417,0454601383212"
"1268,6479757018383"
"1131,4731963175445"
"1094,1839070248946"
"1057,7162675772843"
"1045,0461391884332"
"1091,9750478556348"
"1253,9018823050583"
"1465,750823829183"
"1675,5592515902322"
"1975,8629403119967"
"2106,196023375492"
"2106,9612877569602"
"2134,959819234207"
"2110,7930995622887"
"1987,173248946558"
"1863,2326005349273"
"1876,481784696327"
"1927,6574113829788"
"2009,6570972036006"
"2040,6638256824435"
"1903,6772063749995"
"1686,222534344457"
"1527,3994015532357"
"1401,1659215966547"
"1255,071025837619"
"1083,2038432216868"
"1045,1285980830871"
"1005,4659819351263"
"990,2695749795148"
"1033,308096415636"
"1174,4644720012407"
"1377,0339490802994"
"1579,818360079059"
"1878,4530059482058"
"2005,59354057286"
"2007,7898492901081"
"2040,0106462650388"
"2018,5647720264374"
"1896,343652106801"
"1772,5839765784922"
"1786,0184948668998"
"1837,4313251683525"
"1921,5278827973261"
"1953,9794927916105"
"1827,516755265734"
"1618,0323431645784"
"1464,3635268845724"
"1341,6349641065744"
"1205,132450793331"
"1186,6380584086526"
"1169,4187135546972"
"1097,1121823343653"
"1071,2002492097004"
"1083,1578772431053"
"1197,2101504946081"
"1306,922805043414"
"1493,0395612604293"
"1824,741726737319"
"1988,1060547540174"
"2039,9079253682844"
"2066,3497109669966"
"2054,687190049272"
"1942,4867265897092"
"1694,0284171253538"
"1517,693932247677"
"1501,7536455147724"
"1641,7387763552179"
"1745,3876723005587"
"1762,024408192934"
"1607,82750899427"
"1425,2778446431485"
"1332,378266997992"
"1220,3290816499846"
"1117,6102568049964"
"1065,6003361767616"
"1002,8503001991181"
"983,6234818273606"
"990,7287825357299"
"1109,682543019257"
"1130,9339938654393"
"1155,35595538182"
"1259,155458829338"
"1397,153619769138"
"1507,7423324796619"
"1583,7946787063684"
"1605,563110705296"
"1520,1600864612678"
"1384,3296827713302"
"1302,111096910186"
"1283,171897113912"
"1387,608070589226"
"1540,6804870133042"
"1651,548323115344"
"1552,1489745398444"
"1414,302407626989"
"1300,6874430062549"
"1161,3185918435925"
"1130,586453647258"
"1093,2509729373796"
"1056,7554827662138"
"1044,038697043965"
"1090,8132090613644"
"1252,3568831032005"
"1463,9752183047508"
"1673,6140153230413"
"1973,89556863491"
"2104,3024010695317"
"2105,151620847448"
"2133,233723472947"
"2109,1386553752723"
"1985,5796112457815"
"1861,6500742519006"
"1874,8933204826967"
"1926,0444574433886"
"2008,0276570679948"
"2039,0430016995533"
"1902,1666975803705"
"1684,840612983744"
"1526,1303625032274"
"1400,0175037622453"
"1254,095615085821"
"1133,2357681220958"
"1096,0386010917864"
"1059,624485331126"
"1047,0476716090707"
"1094,2838348783976"
"1256,969439309264"
"1469,2782906179596"
"1679,4267368456563"
"1979,772897117618"
"2109,9615588338193"
"2110,5594335666224"
"2138,3923614448436"
"2114,0813210711904"
"1990,3403786272129"
"1866,3767256637348"
"1879,6374071957757"
"1930,8625344785796"
"2012,8958317539136"
"2043,8843103740783"
"1906,677321262228"
"1688,9650958732873"
"1529,919536427732"
"1403,4469918001141"
"1257,008377554466"
"1126,8456876905293"
"1089,3088751524447"
"1052,7035702549683"
"1039,7766525335692"
"1085,8661968204742"
"1245,7037199827034"
"1456,4335042690213"
"1665,435979483796"
"1965,644948745538"
"2096,345730618571"
"2097,5373679531526"
"2125,961914575228"
"2102,1513624399695"
"1978,8282235009751"
"1854,940811764267"
"1868,1538909106152"
"1919,1841558941574"
"2001,080414849439"
"2032,1151908724146"
"1895,6654128141204"
"1678,8527420678843"
"1520,631862424445"
"1395,067547838978"
"1249,9536678809454"
"1174,9475334109425"
"1134,8365731730512"
"1097,5432595580023"
"1087,429572575754"
"1134,695196829055"
"1312,4850188457053"
"1532,977969510623"
"1742,4248198156156"
"2046,4971152700346"
"2179,7465380840727"
"2178,2368279969387"
"2208,7030475645083"
"2181,565961870844"
"2049,644105744819"
"1927,8433186525153"
"1936,566226559933"
"1982,5594764092284"
"2065,3357568748206"
"2091,46803959554"
"1950,9992680520677"
"1728,4080288385048"
"1568,620112723228"
"1444,6042076159756"
"1292,8085023853055"
"1175,826402854475"
"1135,7296314292926"
"1098,4417650934615"
"1088,356406266199"
"1135,6509919795371"
"1313,6602858704919"
"1534,5790113727962"
"1744,3526001335463"
"2048,4513065549054"
"2181,669628103917"
"2180,071633539924"
"2210,5016830538148"
"2183,2422711193417"
"2051,1744014251767"
"1929,3956450442752"
"1938,0518217548056"
"1983,9502918019293"
"2066,7130909655125"
"2092,7542913641155"
"1952,107170574915"
"1729,333319778536"
"1569,5033393917784"
