"273,5636534904534"
"249,09353124130453"
"234,82507837232703"
"224,5873702038224"
"216,48041552092155"
"204,12151408040575"
"200,92900884346386"
"201,97462306079848"
"203,99497010046076"
"217,34210613164288"
"231,47833114599482"
"226,1591301049541"
"215,81205112178503"
"179,53572065065032"
"140,52472687812886"
"181,4211476749865"
"200,16054813776975"
"187,88697847423225"
"199,58716089356474"
"237,88396831393527"
"304,2248071469789"
"340,8379335743031"
"368,41580687233284"
"376,512441928719"
"357,8349670513239"
"327,8900767421551"
"307,1794504941564"
"300,00014592444654"
"278,22126080695887"
"270,69701957154916"
"271,7128008409304"
"277,41514940498774"
"277,91246074322095"
"278,28504845749956"
"275,81031791629357"
"272,9907304179902"
"257,7080850775654"
"222,47749535157004"
"184,5872834019098"
"224,30494784574438"
"266,30821032039887"
"256,69919929462543"
"272,4295326893216"
"344,7328895772957"
"471,3176245966908"
"398,9706847784562"
"412,10933412701587"
"381,573284247734"
"373,4771848700834"
"337,9628484555569"
"332,1197591187688"
"330,2995881184373"
"304,4275919116529"
"300,60703787244864"
"303,8923810174116"
"316,5055845182537"
"326,93548556854654"
"347,4617239556521"
"357,56715999825633"
"372,465840996342"
"365,88368630585325"
"314,197583500366"
"269,7640648916534"
"289,6489397662985"
"302,72581759156276"
"311,3780500011652"
"326,08278745771"
"376,3218746362877"
"494,3795162343032"
"572,2272274947836"
"627,1318150993745"
"634,6908511267643"
"612,6901010070451"
"586,7669628195224"
"560,941905594183"
"538,3190618855403"
"519,1002575484239"
"515,2115735147428"
"514,5236138513864"
"520,5538611529419"
"522,5331443898448"
"516,6453029087368"
"480,3244955117135"
"439,489437113829"
"404,2593644391267"
"366,3629012025789"
"316,11571104580787"
"236,07883504395352"
"252,37550350804082"
"258,81588881560816"
"270,5612160964319"
"323,6299589531262"
"427,1304188066699"
"490,2471573085585"
"538,0458639394216"
"543,2565903475131"
"499,0055144268099"
"465,39336644266336"
"444,42411295794733"
"424,91936724062936"
"405,4633572170808"
"400,55205178360586"
"398,97630808598217"
"410,7007093226604"
"425,47401560892143"
"421,1808567036048"
"412,0305757630372"
"384,26587381108766"
"351,4652480148915"
"307,96904926685363"
"264,9798709159277"
"350,16113764173286"
"366,063017984451"
"376,85696679938087"
"393,96415315078843"
"452,6331091231177"
"590,7176711926002"
"689,9220430217549"
"761,8739396174369"
"772,0695712398481"
"744,2441132231429"
"711,7261792856507"
"679,6698774796064"
"650,7248288651908"
"625,9675760745066"
"620,9344469056529"
"620,3382799541359"
"627,0125434307649"
"629,0650383011568"
"621,3385891837831"
"574,8824782718372"
"523,1111443914024"
"481,25986456851615"
"437,833819008379"
"380,748596420667"
"421,6541600343261"
"429,3562041344429"
"434,3639248751306"
"456,5551972240114"
"506,523149936891"
"673,4720203033849"
"790,2692370011966"
"859,6909103035796"
"872,364214117812"
"859,3526472785175"
"826,1451747573398"
"807,5946211246692"
"772,6365356420038"
"727,4751732063343"
"732,4590873296524"
"715,0827990132232"
"700,4923436712555"
"704,0297769433989"
"681,6376641070816"
"630,9948667137728"
"572,1534260742263"
"534,5558357363811"
"501,25072547009506"
"439,96054859109256"
"443,79636637785904"
"451,9266138781861"
"457,132817437413"
"480,3046397943675"
"531,9948883370935"
"706,3971693118856"
"831,3644707108734"
"906,536507650766"
"919,8707676757485"
"906,1088730154077"
"870,895393304701"
"851,3851212902516"
"813,9893922018637"
"765,8107020838222"
"771,2135537188587"
"752,6190844316809"
"736,5522163041962"
"740,1242241858042"
"716,1155533918173"
"661,9813074501595"
"599,3127816324595"
"560,1460441588599"
"525,903310259722"
"462,8727068313466"
"440,2883571046856"
"451,5920172116647"
"461,4716820750584"
"463,7923214793616"
"520,6688842007052"
"621,8857319256063"
"754,8488349188116"
"819,404735992684"
"805,1632366700276"
"767,3666954051841"
"769,1366710855172"
"739,1517379837726"
"707,0106539878135"
"700,1414690641101"
"672,0910904315399"
"602,4611831992811"
"624,1793815513481"
"596,2739927282653"
"550,8713761527645"
"543,3173837634946"
"548,9898273760521"
"524,1743678345983"
"460,3391236250964"
"412,06588190284185"
"425,3307925524347"
"428,10614544324767"
"432,1746020902766"
"490,6056141536536"
"539,9182999550153"
"695,8128242935545"
"679,6806286506012"
"706,6845499597232"
"682,8511456436136"
"667,1592100943594"
"645,9489879495782"
"611,7829485796244"
"581,3810434729235"
"575,4252185724927"
"546,7480232590431"
"559,2108603844434"
"566,8871272637025"
"591,1266824524125"
"590,7278628479603"
"572,2716492213649"
"546,5111629347869"
"546,3437199174483"
"516,9073543295815"
"462,2546736652472"
"368,3649422971546"
"385,12628864414035"
"396,5551997079169"
"414,41022385449764"
"475,6803017167907"
"619,9795457106588"
"725,4336216762943"
"802,3445205047683"
"813,2975081004064"
"783,7457572491729"
"749,2706364015123"
"715,3558126997513"
"684,5529879214944"
"658,1734522005464"
"652,8058934118235"
"652,2474014119422"
"659,1492684454782"
"661,2570815450214"
"653,0160550486735"
"603,5907784677638"
"548,5972372252108"
"504,72008936261705"
"459,54770783391086"
"400,2504551020431"
"360,9304825242061"
"377,3457659409021"
"388,5097300885786"
"406,0741051629867"
"466,3180078979553"
"608,1857969698372"
"710,9892161171571"
"785,7793315255248"
"796,4026717541203"
"767,5713135997022"
"733,9104815628002"
"700,7631477882355"
"670,7459248447656"
"645,0524442560147"
"639,8284091647856"
"639,2586974532318"
"646,0859742083749"
"648,190687506432"
"640,1802907955569"
"592,0130476527404"
"538,3731859861816"
"495,305171139726"
"450,79991136809076"
"392,3186217352794"
"379,3285114067422"
"396,5835007957685"
"408,4145670775526"
