Strompreis_2030;Erdgaspreis_2030;Oelpreis_2030;Biomassepreis_2030;Wasserstoffpreis_2030;Synthetische_Kraftstoffe_2030;Steinkohlepreis_2030;Braunkohlepreis_2030
107,335429;20,12;30,09;25;121;206,22;5,392819567;8,798929188
96,76414978;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,55779901;20,12;30,09;25;121;206,22;5,392819567;8,798929188
82,19190792;20,12;30,09;25;121;206,22;5,392819567;8,798929188
73,24737221;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,7308971;20,12;30,09;25;121;206,22;5,392819567;8,798929188
49,49109863;20,12;30,09;25;121;206,22;5,392819567;8,798929188
53,02754888;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,75682703;20,12;30,09;25;121;206,22;5,392819567;8,798929188
50,83636783;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,66304793;20,12;30,09;25;121;206,22;5,392819567;8,798929188
70,02049457;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,52113583;20,12;30,09;25;121;206,22;5,392819567;8,798929188
109,1380184;20,12;30,09;25;121;206,22;5,392819567;8,798929188
114,8971241;20,12;30,09;25;121;206,22;5,392819567;8,798929188
112,5797496;20,12;30,09;25;121;206,22;5,392819567;8,798929188
112,4155456;20,12;30,09;25;121;206,22;5,392819567;8,798929188
109,2741531;20,12;30,09;25;121;206,22;5,392819567;8,798929188
101,9634752;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,40329274;20,12;30,09;25;121;206,22;5,392819567;8,798929188
103,5378735;20,12;30,09;25;121;206,22;5,392819567;8,798929188
103,789439;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,4542888;20,12;30,09;25;121;206,22;5,392819567;8,798929188
100,7709962;20,12;30,09;25;121;206,22;5,392819567;8,798929188
104,0492758;20,12;30,09;25;121;206,22;5,392819567;8,798929188
86,01780609;20,12;30,09;25;121;206,22;5,392819567;8,798929188
75,61021691;20,12;30,09;25;121;206,22;5,392819567;8,798929188
72,57510937;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,21317287;20,12;30,09;25;121;206,22;5,392819567;8,798929188
32,52420606;20,12;30,09;25;121;206,22;5,392819567;8,798929188
23,87042153;20,12;30,09;25;121;206,22;5,392819567;8,798929188
21,95563067;20,12;30,09;25;121;206,22;5,392819567;8,798929188
24,42543332;20,12;30,09;25;121;206,22;5,392819567;8,798929188
30,8805929;20,12;30,09;25;121;206,22;5,392819567;8,798929188
42,79486205;20,12;30,09;25;121;206,22;5,392819567;8,798929188
50,84514707;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,9536246;20,12;30,09;25;121;206,22;5,392819567;8,798929188
85,02122741;20,12;30,09;25;121;206,22;5,392819567;8,798929188
101,4765341;20,12;30,09;25;121;206,22;5,392819567;8,798929188
97,87237322;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,78678912;20,12;30,09;25;121;206,22;5,392819567;8,798929188
70,92223333;20,12;30,09;25;121;206,22;5,392819567;8,798929188
50,07683721;20,12;30,09;25;121;206,22;5,392819567;8,798929188
46,98409291;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,73006201;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,36967022;20,12;30,09;25;121;206,22;5,392819567;8,798929188
107,1313433;20,12;30,09;25;121;206,22;5,392819567;8,798929188
110,9457075;20,12;30,09;25;121;206,22;5,392819567;8,798929188
104,7887709;20,12;30,09;25;121;206,22;5,392819567;8,798929188
93,36492232;20,12;30,09;25;121;206,22;5,392819567;8,798929188
85,58481197;20,12;30,09;25;121;206,22;5,392819567;8,798929188
79,09936456;20,12;30,09;25;121;206,22;5,392819567;8,798929188
71,6398643;20,12;30,09;25;121;206,22;5,392819567;8,798929188
63,4751632;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,58455981;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,51649381;20,12;30,09;25;121;206,22;5,392819567;8,798929188
58,74188838;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,21565967;20,12;30,09;25;121;206,22;5,392819567;8,798929188
69,09375425;20,12;30,09;25;121;206,22;5,392819567;8,798929188
79,98699707;20,12;30,09;25;121;206,22;5,392819567;8,798929188
90,78539163;20,12;30,09;25;121;206,22;5,392819567;8,798929188
106,5073697;20,12;30,09;25;121;206,22;5,392819567;8,798929188
111,3260468;20,12;30,09;25;121;206,22;5,392819567;8,798929188
109,5592752;20,12;30,09;25;121;206,22;5,392819567;8,798929188
109,5158933;20,12;30,09;25;121;206,22;5,392819567;8,798929188
107,9464264;20,12;30,09;25;121;206,22;5,392819567;8,798929188
97,33146899;20,12;30,09;25;121;206,22;5,392819567;8,798929188
92,69969311;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,28461708;20,12;30,09;25;121;206,22;5,392819567;8,798929188
103,7993929;20,12;30,09;25;121;206,22;5,392819567;8,798929188
107,9654382;20,12;30,09;25;121;206,22;5,392819567;8,798929188
109,4644261;20,12;30,09;25;121;206,22;5,392819567;8,798929188
102,1300705;20,12;30,09;25;121;206,22;5,392819567;8,798929188
91,33122529;20,12;30,09;25;121;206,22;5,392819567;8,798929188
82,38883791;20,12;30,09;25;121;206,22;5,392819567;8,798929188
75,83954008;20,12;30,09;25;121;206,22;5,392819567;8,798929188
68,35652485;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,87482728;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,96666225;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,16487529;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,79978412;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,5915881;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,55004451;20,12;30,09;25;121;206,22;5,392819567;8,798929188
67,22347021;20,12;30,09;25;121;206,22;5,392819567;8,798929188
76,71230169;20,12;30,09;25;121;206,22;5,392819567;8,798929188
94,25916877;20,12;30,09;25;121;206,22;5,392819567;8,798929188
102,16349;20,12;30,09;25;121;206,22;5,392819567;8,798929188
102,945469;20,12;30,09;25;121;206,22;5,392819567;8,798929188
102,4619748;20,12;30,09;25;121;206,22;5,392819567;8,798929188
98,03246493;20,12;30,09;25;121;206,22;5,392819567;8,798929188
78,53407223;20,12;30,09;25;121;206,22;5,392819567;8,798929188
74,28765335;20,12;30,09;25;121;206,22;5,392819567;8,798929188
74,94308312;20,12;30,09;25;121;206,22;5,392819567;8,798929188
73,18821329;20,12;30,09;25;121;206,22;5,392819567;8,798929188
77,69931177;20,12;30,09;25;121;206,22;5,392819567;8,798929188
85,8464963;20,12;30,09;25;121;206,22;5,392819567;8,798929188
88,98301249;20,12;30,09;25;121;206,22;5,392819567;8,798929188
79,63903207;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,1091326;20,12;30,09;25;121;206,22;5,392819567;8,798929188
45,94274884;20,12;30,09;25;121;206,22;5,392819567;8,798929188
30,4215559;20,12;30,09;25;121;206,22;5,392819567;8,798929188
36,44000836;20,12;30,09;25;121;206,22;5,392819567;8,798929188
28,93901539;20,12;30,09;25;121;206,22;5,392819567;8,798929188
21,994688;20,12;30,09;25;121;206,22;5,392819567;8,798929188
25,57022199;20,12;30,09;25;121;206,22;5,392819567;8,798929188
32,59571847;20,12;30,09;25;121;206,22;5,392819567;8,798929188
45,76413205;20,12;30,09;25;121;206,22;5,392819567;8,798929188
39,19411028;20,12;30,09;25;121;206,22;5,392819567;8,798929188
40,46537312;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,10086112;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,3992998;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,23258024;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,12727763;20,12;30,09;25;121;206,22;5,392819567;8,798929188
71,04163232;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,73362635;20,12;30,09;25;121;206,22;5,392819567;8,798929188
58,93615751;20,12;30,09;25;121;206,22;5,392819567;8,798929188
62,45015118;20,12;30,09;25;121;206,22;5,392819567;8,798929188
63,62888373;20,12;30,09;25;121;206,22;5,392819567;8,798929188
55,75306681;20,12;30,09;25;121;206,22;5,392819567;8,798929188
52,14347773;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,11136629;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,92161572;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,73426566;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,00995486;20,12;30,09;25;121;206,22;5,392819567;8,798929188
52,61683735;20,12;30,09;25;121;206,22;5,392819567;8,798929188
55,62355788;20,12;30,09;25;121;206,22;5,392819567;8,798929188
40,83364268;20,12;30,09;25;121;206,22;5,392819567;8,798929188
48,39396838;20,12;30,09;25;121;206,22;5,392819567;8,798929188
55,39343413;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,31558256;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,68676456;20,12;30,09;25;121;206,22;5,392819567;8,798929188
75,34600536;20,12;30,09;25;121;206,22;5,392819567;8,798929188
90,04723081;20,12;30,09;25;121;206,22;5,392819567;8,798929188
104,3468802;20,12;30,09;25;121;206,22;5,392819567;8,798929188
94,15295898;20,12;30,09;25;121;206,22;5,392819567;8,798929188
74,50483658;20,12;30,09;25;121;206,22;5,392819567;8,798929188
77,42602441;20,12;30,09;25;121;206,22;5,392819567;8,798929188
71,05908562;20,12;30,09;25;121;206,22;5,392819567;8,798929188
48,23792658;20,12;30,09;25;121;206,22;5,392819567;8,798929188
45,97570604;20,12;30,09;25;121;206,22;5,392819567;8,798929188
53,05655094;20,12;30,09;25;121;206,22;5,392819567;8,798929188
61,14868514;20,12;30,09;25;121;206,22;5,392819567;8,798929188
65,51846413;20,12;30,09;25;121;206,22;5,392819567;8,798929188
66,89475738;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,52211868;20,12;30,09;25;121;206,22;5,392819567;8,798929188
48,04839658;20,12;30,09;25;121;206,22;5,392819567;8,798929188
50,47027033;20,12;30,09;25;121;206,22;5,392819567;8,798929188
49,30171059;20,12;30,09;25;121;206,22;5,392819567;8,798929188
35,72559728;20,12;30,09;25;121;206,22;5,392819567;8,798929188
33,06646206;20,12;30,09;25;121;206,22;5,392819567;8,798929188
32,64619197;20,12;30,09;25;121;206,22;5,392819567;8,798929188
27,50267355;20,12;30,09;25;121;206,22;5,392819567;8,798929188
31,99260536;20,12;30,09;25;121;206,22;5,392819567;8,798929188
29,95796727;20,12;30,09;25;121;206,22;5,392819567;8,798929188
29,37042863;20,12;30,09;25;121;206,22;5,392819567;8,798929188
41,20036576;20,12;30,09;25;121;206,22;5,392819567;8,798929188
57,57057529;20,12;30,09;25;121;206,22;5,392819567;8,798929188
64,30380239;20,12;30,09;25;121;206,22;5,392819567;8,798929188
64,54853471;20,12;30,09;25;121;206,22;5,392819567;8,798929188
59,48889542;20,12;30,09;25;121;206,22;5,392819567;8,798929188
63,07426865;20,12;30,09;25;121;206,22;5,392819567;8,798929188
67,55034921;20,12;30,09;25;121;206,22;5,392819567;8,798929188
86,40847883;20,12;30,09;25;121;206,22;5,392819567;8,798929188
56,38776881;20,12;30,09;25;121;206,22;5,392819567;8,798929188
54,01668191;20,12;30,09;25;121;206,22;5,392819567;8,798929188
60,33480976;20,12;30,09;25;121;206,22;5,392819567;8,798929188
64,65953304;20,12;30,09;25;121;206,22;5,392819567;8,798929188
66,0579568;20,12;30,09;25;121;206,22;5,392819567;8,798929188
58,77107498;20,12;30,09;25;121;206,22;5,392819567;8,798929188
47,33001443;20,12;30,09;25;121;206,22;5,392819567;8,798929188
39,11804387;20,12;30,09;25;121;206,22;5,392819567;8,798929188
33,14855628;20,12;30,09;25;121;206,22;5,392819567;8,798929188
0;20,12;30,09;25;121;206,22;5,392819567;8,798929188
0;20,12;30,09;25;121;206,22;5,392819567;8,798929188
0;20,12;30,09;25;121;206,22;5,392819567;8,798929188
