"1420,2076618335911"
"1410,803654347696"
"1379,4580233221332"
"1390,702695392432"
"1379,8588480216365"
"1346,7376895750076"
"1313,5840412746174"
"1263,289083513946"
"1170,2198118702267"
"1032,6050298815528"
"915,9115362156713"
"699,9896862366159"
"688,2490705936375"
"703,1417156759765"
"743,2712313278121"
"914,9829095978355"
"1199,467958188364"
"1413,7332024340271"
"1415,5594427738981"
"1371,6050558324957"
"1328,8186372816956"
"1278,8354945149597"
"1239,0716333655712"
"1214,4547723904561"
"1190,9476707912852"
"1161,9591861063068"
"1121,8751572164094"
"1111,581432468264"
"1083,4402166545965"
"1074,389998486829"
"1077,2727931479326"
"1056,5164506071123"
"1003,6469293489406"
"872,8964818179568"
"764,4689099162808"
"636,2083583449878"
"673,3375985057646"
"652,4109885514647"
"684,8682848029529"
"793,3073259446165"
"990,0105787225642"
"1056,0754608593916"
"1091,154066661377"
"1103,9723996872265"
"1075,669970058546"
"1030,17057634464"
"995,2926191706019"
"960,7502881926757"
"897,6998864741148"
"862,6291356996292"
"856,4783368409184"
"870,5998312244498"
"878,3311573561284"
"884,7312177996419"
"883,0763251314888"
"870,6938658866985"
"820,5623309215197"
"723,771972449898"
"617,506597127656"
"679,0667505166356"
"756,6466430045638"
"748,8254458307422"
"788,4303070209223"
"955,9818223243016"
"1247,6228756635323"
"1153,3127291579385"
"1159,6624152659372"
"1108,0639678222449"
"1078,46409204043"
"1018,9173110699752"
"999,8727708877415"
"991,8933545689447"
"935,4970236009648"
"931,0685407829333"
"942,5148347278152"
"980,2078446116725"
"1035,3359004038334"
"1087,3709996286789"
"1117,3458474389133"
"1138,3550748319894"
"1106,8704463016034"
"992,1471030511925"
"876,9490803137018"
"1039,8387968622224"
"1060,5956336244644"
"1082,3105717588278"
"1135,4327652717075"
"1331,5598782990862"
"1725,5639233936815"
"1933,1479253750877"
"2023,9306753614558"
"2038,467339910227"
"2002,328802727839"
"1950,0256873170733"
"1890,7217714656667"
"1849,6918089984924"
"1815,5050084612471"
"1805,900098857589"
"1772,8099514561109"
"1780,7968417110471"
"1756,8323508531548"
"1715,8301042557828"
"1631,2080218901492"
"1545,3273471016155"
"1431,5173982768913"
"1283,2912455787255"
"1125,3443534281532"
"928,3745207344626"
"956,1688986437089"
"963,0349951850767"
"1010,9168922864856"
"1221,106489401266"
"1573,3315668866849"
"1769,2837132636307"
"1850,3414243017842"
"1857,9509291769273"
"1779,121946871432"
"1714,6547456490398"
"1664,130885068071"
"1624,96153942684"
"1586,0639643845284"
"1574,9040179578615"
"1544,45277022604"
"1561,9436203532878"
"1559,1775336167093"
"1526,5521112698684"
