;Electricity_2030;Electricity_brain_2030;Gas_2030;Oil_2030;Biomass_2030;Hydrogen_2030;Synthetic_fuel_2030;Hard_coal_2030;Brown_coal_2030;Electricity_brain_2040;Electricity_2040;Gas_2040;Oil_2040;Biomass_2040;Hydrogen_2040;Synthetic_fuel_2040;Electricity_brain_2050;Electricity_2050;Gas_2050;Oil_2050;Biomass_2050;Hydrogen_2050;Synthetic_fuel_2050;Hard_coal_2040;Brown_coal_2040;Hard_coal_2050;Brown_coal_2050;CO2_2030;CO2_2040;CO2_2050
23;68,42184824;83,25;20,12;30,09;25;121;206,22;5,392819567;8,798929188;83,25;81,57708316;20,34;29,03;25;95;157,22;83,25;75,65307896;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
24;66,81692473;95,35;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,35;80,06037337;20,34;29,03;25;95;157,22;95,35;75,55175272;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
25;64,16563934;83,24;20,12;30,09;25;121;206,22;5,392819567;8,798929188;83,24;77,78850325;20,34;29,03;25;95;157,22;83,24;74,7561863;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
26;61,95339369;89,09;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,09;77,33965113;20,34;29,03;25;95;157,22;89,09;77,6542242;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
27;61,27159464;83,24;20,12;30,09;25;121;206,22;5,392819567;8,798929188;83,24;77,34548333;20,34;29,03;25;95;157,22;83,24;78,30935625;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
28;61,67300661;83,24;20,12;30,09;25;121;206,22;5,392819567;8,798929188;83,24;78,864876;20,34;29,03;25;95;157,22;83,24;80,5350184;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
29;67,22502377;91,89;20,12;30,09;25;121;206,22;5,392819567;8,798929188;91,89;85,88248085;20,34;29,03;25;95;157,22;91,89;85,98946127;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
30;69,06256434;103,81;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,81;88,44887178;20,34;29,03;25;95;157,22;103,81;89,24753339;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
31;69,39041353;105,75;20,12;30,09;25;121;206,22;5,392819567;8,798929188;105,75;86,75869437;20,34;29,03;25;95;157,22;105,75;84,56577243;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
32;74,24865868;103,29;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,29;91,85187853;20,34;29,03;25;95;157,22;103,29;88,55759456;20,34;28,49;25;74;120,22;10000000;10000000;10000000;10000000;0,07898;0,11101;0,12175
