;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Biomass_2045;Hydrogen_2045;Synthetic_fuel_2045;Hard_coal_2045;Brown_coal_2045
71;96,0721;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
72;96,1924;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
73;98,3577;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
74;96,0754;0,1515;26,2608;12,4358;35,6;100;190;10000000;10000000
75;94,3023;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
76;96,0754;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
77;108,1491;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
78;130,6382;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
79;131,2798;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
80;121,0557;0,1515;26,2607;12,4358;35,6;100;190;10000000;10000000
81;114,4777;0,1515;26,2606;12,4358;35,6;100;190;10000000;10000000
82;108,1491;0,1515;26,2606;12,4358;35,6;100;190;10000000;10000000
83;112,074;0,1515;26,2606;12,4358;35,6;100;190;10000000;10000000
84;117,782;0,1515;26,2606;12,4358;35,6;100;190;10000000;10000000
85;126,7302;0,1515;26,2606;12,4359;35,6;100;190;10000000;10000000
86;130,5204;0,1515;26,2606;12,4359;35,6;100;190;10000000;10000000
87;138,7759;0,1515;26,2605;12,4359;35,6;100;190;10000000;10000000
88;144,2438;0,1515;26,2605;12,4359;35,6;100;190;10000000;10000000
89;142,3859;0,1515;26,2605;12,4359;35,6;100;190;10000000;10000000
90;134,7816;0,1515;26,2605;12,4359;35,6;100;190;10000000;10000000
91;131,5269;0,1515;26,2605;12,4359;35,6;100;190;10000000;10000000
92;130,5204;0,1515;26,2605;12,4359;35,6;100;190;10000000;10000000
93;130,5204;0,1515;26,2604;12,4359;35,6;100;190;10000000;10000000
94;127,6448;0,1515;26,2604;12,4359;35,6;100;190;10000000;10000000
95;108,1491;0,1515;26,2604;12,4359;35,6;100;190;10000000;10000000
96;109,2604;0,1515;26,2604;12,4359;35,6;100;190;10000000;10000000
97;108,1539;0,1515;26,2604;12,4359;35,6;100;190;10000000;10000000
98;103,5296;0,1515;26,2604;12,4359;35,6;100;190;10000000;10000000
99;107,7278;0,1515;26,2603;12,4359;35,6;100;190;10000000;10000000
100;116,6227;0,1515;26,2603;12,4359;35,6;100;190;10000000;10000000
101;130,6427;0,1515;26,2603;12,4359;35,6;100;190;10000000;10000000
102;134,7862;0,1515;26,2603;12,4359;35,6;100;190;10000000;10000000
103;137,6237;0,1515;26,2603;12,4359;35,6;100;190;10000000;10000000
104;138,2764;0,1515;26,2603;12,4359;35,6;100;190;10000000;10000000
105;131,0062;0,1515;26,2602;12,4359;35,6;100;190;10000000;10000000
106;119,7429;0,1515;26,2602;12,4359;35,6;100;190;10000000;10000000
107;130,5249;0,1515;26,2602;12,436;35,6;100;190;10000000;10000000
108;132,4011;0,1515;26,2602;12,436;35,6;100;190;10000000;10000000
109;130,5249;0,1515;26,2602;12,436;35,6;100;190;10000000;10000000
110;130,776;0,1515;26,2602;12,436;35,6;100;190;10000000;10000000
111;142,2289;0,1515;26,2601;12,436;35,6;100;190;10000000;10000000
112;146,1877;0,1515;26,2601;12,436;35,6;100;190;10000000;10000000
113;146,4862;0,1515;26,2601;12,436;35,6;100;190;10000000;10000000
114;145,3031;0,1515;26,2601;12,436;35,6;100;190;10000000;10000000
115;142,2289;0,1515;26,2601;12,436;35,6;100;190;10000000;10000000
116;137,6237;0,1515;26,2601;12,436;35,6;100;190;10000000;10000000
117;138,2764;0,1515;26,26;12,436;35,6;100;190;10000000;10000000
118;130,5249;0,1515;26,26;12,436;35,6;100;190;10000000;10000000
119;110,6927;0,1515;26,26;12,436;35,6;100;190;10000000;10000000
120;105,1784;0,1515;26,26;12,436;35,6;100;190;10000000;10000000
121;106,1023;0,1515;26,26;12,436;35,6;100;190;10000000;10000000
122;99,1366;0,1515;26,26;12,436;35,6;100;190;10000000;10000000
123;96,082;0,1515;26,2599;12,436;35,6;100;190;10000000;10000000
124;100,2772;0,1515;26,2599;12,436;35,6;100;190;10000000;10000000
125;108,1345;0,1515;26,2599;12,436;35,6;100;190;10000000;10000000
126;130,5294;0,1515;26,2599;12,436;35,6;100;190;10000000;10000000
127;135,6523;0,1515;26,2599;12,436;35,6;100;190;10000000;10000000
128;124,7;0,1515;26,2599;12,4361;35,6;100;190;10000000;10000000
129;101,8066;0,1515;26,2598;12,4361;35,6;100;190;10000000;10000000
130;90,1845;0,1515;26,2598;12,4361;35,6;100;190;10000000;10000000
131;89,0862;0,1515;26,2598;12,4361;35,6;100;190;10000000;10000000
132;90,1845;0,1515;26,2598;12,4361;35,6;100;190;10000000;10000000
133;92,9246;0,1515;26,2598;12,4361;35,6;100;190;10000000;10000000
134;99,1366;0,1515;26,2598;12,4361;35,6;100;190;10000000;10000000
135;111,3052;0,1515;26,2597;12,4361;35,6;100;190;10000000;10000000
136;132,7257;0,1515;26,2597;12,4361;35,6;100;190;10000000;10000000
137;134,2804;0,1515;26,2597;12,4361;35,6;100;190;10000000;10000000
138;130,5294;0,1515;26,2597;12,4361;35,6;100;190;10000000;10000000
139;117,7247;0,1515;26,2597;12,4361;35,6;100;190;10000000;10000000
140;90,1845;0,1515;26,2597;12,4361;35,6;100;190;10000000;10000000
141;86,9187;0,1515;26,2596;12,4361;35,6;100;190;10000000;10000000
142;85,4375;0,1515;26,2596;12,4361;35,6;100;190;10000000;10000000
143;85,4375;0,1515;26,2596;12,4361;35,6;100;190;10000000;10000000
144;85,6541;0,1515;26,2596;12,4361;35,6;100;190;10000000;10000000
145;86,4169;0,1515;26,2596;12,4361;35,6;100;190;10000000;10000000
146;86,0508;0,1515;26,2596;12,4361;35,6;100;190;10000000;10000000
147;86,9657;0,1515;26,2595;12,4361;35,6;100;190;10000000;10000000
148;89,8397;0,1515;26,2595;12,4361;35,6;100;190;10000000;10000000
149;89,8397;0,1515;26,2595;12,4361;35,6;100;190;10000000;10000000
150;96,0853;0,1515;26,2595;12,4362;35,6;100;190;10000000;10000000
151;91,2362;0,1515;26,2595;12,4362;35,6;100;190;10000000;10000000
152;96,0853;0,1515;26,2595;12,4362;35,6;100;190;10000000;10000000
153;90,1876;0,1515;26,2594;12,4362;35,6;100;190;10000000;10000000
154;94,9344;0,1515;26,2594;12,4362;35,6;100;190;10000000;10000000
155;90,1876;0,1515;26,2594;12,4362;35,6;100;190;10000000;10000000
156;90,1876;0,1515;26,2594;12,4362;35,6;100;190;10000000;10000000
157;90,1876;0,1515;26,2594;12,4362;35,6;100;190;10000000;10000000
158;99,2021;0,1515;26,2594;12,4362;35,6;100;190;10000000;10000000
159;106,106;0,1515;26,2593;12,4362;35,6;100;190;10000000;10000000
160;124,7467;0,1515;26,2593;12,4362;35,6;100;190;10000000;10000000
161;130,8973;0,1515;26,2593;12,4362;35,6;100;190;10000000;10000000
162;130,5339;0,1515;26,2593;12,4362;35,6;100;190;10000000;10000000
163;130,5339;0,1515;26,2593;12,4362;35,6;100;190;10000000;10000000
