;Electricity_2020;CO2_2020;Oil_2020;Gas_2020;Electricity_2025;CO2_2025;Oil_2025;Gas_2025;Electricity_2030;CO2_2030;Oil_2030;Gas_2030;Electricity_2035;CO2_2035;Oil_2035;Gas_2035;Electricity_2040;CO2_2040;Oil_2040;Gas_2040;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Electricity_2050;CO2_2050;Oil_2050;Gas_2050;Biomass_2020;Biomass_2025;Biomass_2030;Biomass_2035;Biomass_2040;Biomass_2045;Biomass_2050;Hydrogen_2020;Hydrogen_2025;Hydrogen_2030;Hydrogen_2035;Hydrogen_2040;Hydrogen_2045;Hydrogen_2050;Synthetic_fuel_2020;Synthetic_fuel_2025;Synthetic_fuel_2030;Synthetic_fuel_2035;Synthetic_fuel_2040;Synthetic_fuel_2045;Synthetic_fuel_2050;Hard_coal_2020;Hard_coal_2025;Hard_coal_2030;Hard_coal_2035;Hard_coal_2040;Hard_coal_2045;Hard_coal_2050;Brown_coal_2020;Brown_coal_2025;Brown_coal_2030;Brown_coal_2035;Brown_coal_2040;Brown_coal_2045;Brown_coal_2050
930;116,948;0,058498;34,76264095;38,536;114,45;0,0766;35,15170586;35,04;86,4029;0,0868;28,9111;23,6804;104,2241;0,1269;33,1665;25,5908;104,54;0,141;31,6243;25,6481;108,2157;0,1513;30,3217;26,7843;112,3398;0,1614;29,0723;27,9202;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
931;113,5;0,058498;34,76264095;38,536;111,62;0,0766;35,15170586;35,04;84,8395;0,0868;28,9112;23,6814;104,3931;0,1269;33,1666;25,5908;104,862;0,141;31,6243;25,6481;109,6983;0,1513;30,3216;26,7844;112,8365;0,1614;29,0723;27,9202;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
932;110,588;0,058498;34,76264095;38,536;109,15;0,0766;35,15170586;35,04;82,7584;0,0868;28,9113;23,6823;103,393;0,1269;33,1667;25,5908;105,6934;0,141;31,6242;25,6482;109,6983;0,1513;30,3216;26,7844;112,8365;0,1614;29,0723;27,9202;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
933;110,008;0,058498;34,76264095;38,536;108,71;0,0766;35,15170586;35,04;81,9178;0,0868;28,9113;23,6832;103,393;0,1269;33,1668;25,5908;105,8685;0,141;31,6242;25,6482;109,8085;0,1513;30,3216;26,7844;114,2172;0,1614;29,0722;27,9203;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
934;108,622;0,058498;34,76264095;38,536;108,2;0,0766;35,15170586;35,04;81,9178;0,0868;28,9114;23,6841;103,393;0,1269;33,1669;25,5907;105,9522;0,141;31,6241;25,6482;109,8698;0,1513;30,3215;26,7844;114,5619;0,1614;29,0722;27,9203;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
935;106,288;0,058498;34,76264095;38,536;105,61;0,0766;35,15170586;35,04;80,9776;0,0868;28,9115;23,685;103,393;0,1269;33,167;25,5907;106,0216;0,141;31,6241;25,6482;110,7472;0,1513;30,3215;26,7845;114,9509;0,1614;29,0722;27,9203;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
936;102,624;0,058498;34,76264095;38,536;102,67;0,0766;35,15170586;35,04;80,7313;0,0868;28,9115;23,6859;103,2253;0,1269;33,1671;25,5907;104,5438;0,141;31,624;25,6483;109,2008;0,1513;30,3215;26,7845;115,1195;0,1614;29,0721;27,9203;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
937;100,866;0,058498;34,76264095;38,536;101,48;0,0766;35,15170586;35,04;80,7313;0,0868;28,9116;23,6869;103,5385;0,1269;33,1672;25,5907;105,5235;0,141;31,624;25,6483;108,0928;0,1513;30,3215;26,7845;115,2302;0,1614;29,0721;27,9204;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
938;96,762;0,058498;34,76264095;38,536;98,06;0,0766;35,15170586;35,04;80,9314;0,0868;28,9117;23,6878;103,2253;0,1269;33,1673;25,5907;104,5438;0,141;31,6239;25,6483;108,9142;0,1513;30,3214;26,7846;114,9542;0,1614;29,0721;27,9204;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
939;99,704;0,058498;34,76264095;38,536;100,38;0,0766;35,15170586;35,04;80,5086;0,0869;28,9117;23,6887;103,9744;0,1269;33,1674;25,5906;105,3189;0,141;31,6239;25,6483;108,7833;0,1513;30,3214;26,7846;114,9542;0,1614;29,0721;27,9204;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
940;97,92;0,058498;34,76264095;38,536;98,75;0,0766;35,15170586;35,04;80,5086;0,0869;28,9118;23,6896;103,9744;0,1269;33,1675;25,5906;105,6973;0,141;31,6238;25,6484;109,0873;0,1513;30,3214;26,7846;114,9542;0,1614;29,072;27,9204;35,6;35,6;35,6;35,6;35,6;35,6;35,6;161,2;151;135;118;100;100;100;276;260;220;210;200;190;180;5,385874727;5,385874727;5,385874727;10000000;10000000;10000000;10000000;8,787597981;8,787597981;8,787597981;10000000;10000000;10000000;10000000
