;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east;Solarthermal;Wind_east;Wind_swest;Wind_north;Wind_middle;Hydro_power
3732;0,639606671;0,222641171;0,487155631;0,614749974;0,696005;0,225465;0,5091925;0,666395;0,000427531;0,971265;0,7366;0,5468425;0,9297575;0,71
3733;0,6550485;0,20573462;0,444167487;0,585689092;0,7130475;0,2078455;0,46427;0,63383;0,000417779;0,6417725;0,130049;0,122675;0,49236;0,71
3734;0,54580954;0,211581711;0,414035092;0,520473671;0,59112;0,213735;0,4313175;0,559945;0,000344385;0,531895;0,07685125;0,07617475;0,369905;0,71
3735;0,478742448;0,17537179;0,325723145;0,429527487;0,5126225;0,176955;0,3369125;0,45713;0,00025596;0,163683;0,00576605;0,00868305;0,089165;0,71
3736;0,355395632;0,122204992;0,260353618;0,310315026;0,3767275;0,122807;0,2669225;0,3258875;0,000139434;0,08459;1,64E-05;0,00016393;0,02363925;0,71
3737;0,208889685;0,034509466;0,153339794;0,190189974;0,21837;0,03434975;0,1557395;0,1972525;4,22E-06;0,10029025;0,00093443;0,005999978;0,0646995;0,71
3738;0,088024926;0,015927718;0,070900942;0,0732;0,090193;0,0155968;0,07109475;0,0744805;0;0,13862825;0,004513678;0,0218315;0,07693975;0,71
3739;0,021670571;0,002289658;0,021448804;0,019193811;0,02138545;0,002214083;0,021186625;0,018851;0;0,0256775;0,00018032;0,001408743;0,009912652;0,71
3740;0,00035856;0;0,000194597;0,000118346;0,000350675;0;0,000189715;0,000115358;0;0,012131;0;0,000540985;0,00098361;0,71
3741;0;0;0;0;0;0;0;0;0;0,012131;0;0,000262295;0,00098361;0,71
3742;0;0;0;0;0;0;0;0;0;0,012131;0;0,00098361;0,00098361;0,71
3743;0;0;0;0;0;0;0;0;0;0,008972775;0,000196718;0,00098361;0,002655755;0,71
3744;0;0;0;0;0;0;0;0;0;0,054716;0,024879775;0,0143715;0,0280655;0,71
3745;0;0;0;0;0;0;0;0;0;0,07081975;0,037361;0,0342625;0,038689;0,71
3746;0;0;0;0;0;0;0;0;0;0,03559025;0,005141953;0,01091925;0,0193015;0,71
3747;0;0;0;0;0;0;0;0;0;0,07642975;0,03097825;0,04021225;0,06456;0,71
3748;0;0,003105883;0;0,003429489;0;0,00275291;0;0,003053725;0;0,02831075;0,010838272;0,01026125;0,0174774;0,71
3749;0,033725214;0,041728334;0,041319715;0,048392424;0,03338975;0,0409945;0,040762;0,0476865;0;0,000838625;8,52E-05;3,93E-05;0,00034426;0,71
3750;0,147321983;0,138791053;0,139653079;0,177758013;0,149275;0,14077;0,141155;0,1811375;0;0;0;0;0;0,71
3751;0,302477329;0,311627329;0,318509092;0,336760934;0,314055;0,3249225;0,3313725;0,202755;6,67E-05;0,000672125;0;0;0,00047541;0,71
3752;0,464148198;0,486259895;0,501586145;0,491993092;0,49049;0,5163425;0,530295;0,388755;8,26E-05;0,00098361;0;7,21E-05;0,00098361;0,71
3753;0,60980175;0,623538789;0,360512407;0,459310737;0,6541175;0,6730075;0,3779;0,48711;9,55E-05;0,01313225;0,000868855;0,00580762;0,0143715;0,71
3754;0,678323211;0,713076355;0,392212342;0,463238013;0,73761;0,78078;0,405285;0,48613;0,000282758;0,03860025;0,008043653;0,028951;0,038689;0,71
3755;0,725806894;0,747964342;0,384297592;0,42433125;0,797535;0,8273575;0,3968;0,4433875;9,00E-05;0,05169425;0,002469958;0,038689;0,038689;0,71
3756;0,732450277;0,746430513;0,352925132;0,430139092;0,8090025;0,8296275;0,3620125;0,4477375;0,000186817;0,038689;0,00098361;0,028951;0,038689;0,71
3757;0,697097566;0,709784763;0,278772087;0,358525895;0,769725;0,787985;0,284538;0,3707375;0,000113241;0,063773;0,006275455;0,04871475;0,06006775;0,71
3758;0,630430184;0,639929329;0,27866325;0,317844513;0,69214;0,705675;0,2827975;0,3264725;0;0,21824;0,11267125;0,2109025;0,3075925;0,71
3759;0,532202527;0,5348175;0,275485311;0,316350414;0,577725;0,5827875;0,27983375;0,32463825;0,00012418;0,25902;0,18424;0,294865;0,39344;0,71
3760;0,389315644;0,391280487;0,139082408;0,226633461;0,4166675;0,4196975;0,140794;0,2321325;5,30E-05;0,25902;0,1244425;0,25902;0,32175;0,71
3761;0,22647454;0,225920724;0,075598504;0,133579887;0,23868;0,2381925;0,075471;0,13559375;0;0,25902;0,109875;0,25902;0,297105;0,71
3762;0,075476905;0,073554924;0,010614867;0,048235911;0,077914;0,075931;0,0104855;0,0483455;0;0,25902;0,3132775;0,32623;0,3929925;0,71
3763;0,020326316;0,020015625;0,001156965;0,014059938;0,01996125;0,01965875;0,001061692;0,013933375;0;0,163885;0,17452075;0,157212;0,21852;0,71
3764;0,000659681;0,000767649;0;8,12E-05;0,000645213;0,000747163;0;7,78E-05;0;0,02828025;0,01123501;0,01598915;0,0284315;0,71
3765;0;0;0;0;0;0;0;0;0;0,03027875;0,006185753;0,015672;0,03160675;0,71
3766;0;0;0;0;0;0;0;0;0;0,0608745;0,03337725;0,038689;0,038689;0,71
3767;0;0;0;0;0;0;0;0;0;0,07081975;0,03027875;0,03381975;0,038689;0,71
3768;0;0;0;0;0;0;0;0;0;0,0351475;0,003101652;0,007300525;0,015672;0,71
3769;0;0;0;0;0;0;0;0;0;0,05398925;0,0143748;0,012131;0,03054425;0,71
3770;0;0;0;0;0;0;0;0;0;0,02009825;0,001539893;0,005256805;0,012404;0,71
3771;0;0;0;0;0;0;0;0;0;0,006185753;0;0,000491803;0,001330433;0,71
3772;0;0;0;0;0;0;0;0;0;0,00098361;0;0;0,000868855;0,71
3773;0,037664506;0,034608671;0,049856424;0,012063962;0,0373098;0,0341615;0,049208;0,01169645;0;0,00098361;0;0;0;0,71
3774;0,135464065;0,135076635;0,162240336;0,010976653;0,136852;0,136101;0,164248;0,010600525;0;0,008601025;0,000327868;0,000213123;0,000943177;0,71
3775;0,276464842;0,268109447;0,304446987;0,039148275;0,2849925;0,2754825;0,31469;0,0385845;0;0,03718575;0,023209525;0,0109147;0,01795305;0,71
3776;0,419850158;0,402804671;0,296199947;0,12203957;0,4394425;0,42047;0,3058975;0,12208975;0;0,082856;0,10548025;0,04324925;0,08154975;0,71
3777;0,528378789;0,510338842;0,316671869;0,157237934;0,5597875;0,53948;0,324485;0,1581575;6,62E-05;0,02418225;0,012453453;0,012885425;0,0228545;0,71
3778;0,585010066;0,576488526;0,524754908;0,182597882;0,62517;0,6158325;0,546935;0,184105;0,000197876;0,0355905;0,0091585;0,03160675;0,0610765;0,71
3779;0,593093369;0,611154987;0,30255679;0,263498329;0,63644;0,65882;0,31554;0,2673725;0,00026482;0,0639345;0,028951;0,0639345;0,12081925;0,71
3780;0,501894355;0,628862645;0,422857619;0,287806026;0,5334675;0,6810575;0,4355275;0,2932275;0,00028545;0,08459;0,038689;0,11961325;0,15705;0,71
3781;0,5093805;0,594217855;0,336257684;0,220914711;0,5386925;0,6435975;0,346995;0,2247125;0,000313125;0,07540975;0,0355905;0,134103;0,15705;0,71
3782;0,503967553;0,52983075;0,132701005;0,24178875;0,5344075;0,5705925;0,13439325;0,2454625;0,000226565;0,03027875;0,005108203;0,0601095;0,1023005;0,71
3783;0,3920775;0,440798842;0,334593829;0,188297369;0,413275;0,469865;0,341225;0,1909475;0,000107795;0,0639345;0,03201225;0,13531275;0,217425;0,71
3784;0,308769158;0,32391;0,24605554;0,123739303;0,3218275;0,3406125;0,25264725;0,12476;4,21E-05;0,08459;0,04863425;0,1808425;0,238625;0,71
