;PV_openfield_north;PV_openfield_east;PV_openfield_middle;PV_openfield_swest;PV_rooftop_north;PV_rooftop_east;PV_rooftop_middle;PV_rooftop_swest;Wind_north;Wind_east;Wind_middle;Wind_swest;PV_openfield_north_scaled;PV_openfield_east_scaled;PV_openfield_middle_scaled;PV_openfield_swest_scaled;PV_rooftop_north_scaled;PV_rooftop_east_scaled;PV_rooftop_middle_scaled;PV_rooftop_swest_scaled;Wind_north_scaled;Wind_east_scaled;Wind_middle_scaled;Wind_swest_scaled;Solarthermal;Hydro_power
1575;0,0956;0,0675;0,0829;0,1272;0,0846;0,0604;0,0737;0,1117;0,317514821;0,298984107;0,28109375;0,293607679;0,079771069;0,054293684;0,066772331;0,103238224;0,07680179;0,052907946;0,064628268;0,098624779;0,301705057;0,28489409;0,272312128;0,301149717;3,88E-05;0,92
1576;0,0128;0,0041;0,0112;0,0198;0,0112;0,0037;0,0098;0,0171;0,272087143;0,278604107;0,248168929;0,252012143;0,010680645;0,003297839;0,009021111;0,016070101;0,010167613;0,00324105;0,008593718;0,015098332;0,258539323;0,265474524;0,240415908;0,258485697;0;0,92
1577;0;0;0;0;0;0;0;0;0,286188036;0,2896775;0,25684375;0,242042857;0;0;0;0;0;0;0;0;0,271938101;0,276026069;0,24881972;0,248260326;0;0,92
1578;0;0;0;0;0;0;0;0;0,284920893;0,301565;0,264991964;0,2330325;0;0;0;0;0;0;0;0;0,270734052;0,287353355;0,256713377;0,239018515;0;0,92
1579;0;0;0;0;0;0;0;0;0,282566964;0,302123571;0,269597679;0,209668036;0;0;0;0;0;0;0;0;0,268497331;0,287885603;0,261175205;0,215053877;0;0,92
1580;0;0;0;0;0;0;0;0;0,29334375;0,303091607;0,283770179;0,204405893;0;0;0;0;0;0;0;0;0,278737517;0,288808019;0,274904943;0,209656563;0;0,92
1581;0;0;0;0;0;0;0;0;0,319957143;0,323397321;0,317300179;0,23189875;0;0;0;0;0;0;0;0;0,30402577;0,3081568;0,307387436;0,237855642;0;0,92
1582;0;0;0;0;0;0;0;0;0,369497321;0,375769643;0,376096786;0,273648929;0;0;0;0;0;0;0;0;0,351099234;0,358061007;0,364347184;0,280678277;0;0,92
1583;0;0;0;0;0;0;0;0;0,390015536;0,425996071;0,421741786;0,31066375;0;0;0;0;0;0;0;0;0,370595801;0,40592045;0,408566193;0,318643916;0;0,92
1584;0;0;0;0;0;0;0;0;0,411645;0,4305;0,430488571;0,319302679;0;0;0;0;0;0;0;0;0,391148286;0,410212125;0,417039721;0,327504757;0;0,92
1585;0;0;0;0;0;0;0;0;0,411669643;0,422900357;0,421739643;0,298980714;0;0;0;0;0;0;0;0;0,391171702;0,402970625;0,408564117;0,306660772;0;0,92
1586;0;0;0;0;0;0;0;0;0,397101071;0,414268929;0,401614643;0,256553393;0;0;0;0;0;0;0;0;0,377328532;0,394745964;0,38906784;0,2631436;0;0,92
1587;0;0;0;0;0;0;0;0;0,367160179;0,414558571;0,388844286;0,245856786;0;0;0;0;0;0;0;0;0,348878462;0,395021957;0,37669644;0,252172225;0;0,92
1588;0;0;0;0;0;0;0;0;0,374428929;0,425353929;0,381125893;0,259580714;0;0;0;0;0;0;0;0;0,355785285;0,405308569;0,369219177;0,266248686;0;0,92
1589;0;0;0;0;0;0;0;0;0,356794286;0,421489821;0,37048;0,281090893;0;0;0;0;0;0;0;0;0,33902871;0,401626562;0,358905872;0,288311407;0;0,92
1590;0,0022;0,0302;0,014;0,0071;0,0021;0,0271;0,0128;0,0066;0,382600179;0,424638393;0,398794107;0,283768036;0,001835736;0,024291397;0,011276389;0,005762511;0,001906427;0,023738499;0,011224448;0,005827427;0,363549671;0,404626753;0,38633542;0,291057319;0;0,92
1591;0,0283;0,0896;0,055;0,0386;0,0257;0,0804;0,0497;0,035;0,440627857;0,423744643;0,428836786;0,337596607;0,023614239;0,072069839;0,044300099;0,03132858;0,02333104;0,070427133;0,043582428;0,03090302;0,418688023;0,403775123;0,415439539;0,34626861;0;0,92
1592;0,0571;0,1241;0,0897;0,062;0,0518;0,1116;0,081;0,0562;0,502958393;0,470930179;0,473927143;0,374914821;0,047645691;0,099819944;0,072249434;0,050320518;0,047025209;0,097757065;0,071029711;0,04962142;0,477914983;0,448736978;0,459121233;0,384545435;0;0,92
1593;0,0912;0,1476;0,1212;0,0879;0,0825;0,1328;0,1094;0,0796;0,613811607;0,636448036;0,624644821;0,52052125;0,076099597;0,11872219;0,097621309;0,071341508;0,074895362;0,116327404;0,095933955;0,070282296;0,583248571;0,60645459;0,605130355;0,533892124;0;0,92
1594;0,1371;0,1888;0,1598;0,1182;0,1237;0,1696;0,1439;0,1068;0,659176607;0,714418571;0,692658929;0,579210893;0,114399723;0,151861446;0,128711924;0,095933632;0,112297652;0,148562709;0,126187351;0,094298357;0,626354748;0,680750662;0,671019641;0,594089355;0;0,92
1595;0,1908;0,215;0,2057;0,1176;0,1715;0,1927;0,1846;0,1063;0,688129464;0,738843214;0,716969821;0,58941875;0,159208367;0,172935439;0,165682371;0,09544666;0,155691571;0,16879737;0,161877588;0,093856885;0,653865978;0,704024262;0,694571039;0,604559427;0;0,92
1596;0,1827;0,2223;0,2057;0,0863;0,1642;0,1988;0,1845;0,0782;0,680245357;0,724836607;0,706739643;0,548954643;0,152449522;0,1788072;0,165682371;0,070042914;0,149064467;0,174140722;0,161789897;0,069046175;0,646374438;0,690677734;0,684660461;0,563055899;0;0,92
1597;0,0876;0,2145;0,148;0,0619;0,0793;0,1913;0,1331;0,0561;0,620287857;0,696193929;0,66859375;0,513738214;0,073095666;0,172533263;0,119207539;0,050239356;0,07199033;0,167571027;0,116716722;0,049533126;0,589402355;0,663384879;0,64770628;0,526934849;0,000192496;0,92
1598;0,0473;0,0926;0,0616;0,0214;0,0429;0,0834;0,0557;0,0195;0,512190893;0,636629286;0,596417679;0,505455;0,039468322;0,074482891;0,049616111;0,017368695;0,038945588;0,073055011;0,048843888;0,017217397;0,486687777;0,606627298;0,577785054;0,51843886;0,000155301;0,92
