;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east;Solarthermal;Hydro_power
62;0,1002240435;0,026631797250000002;0,027244606499999997;0,10972655925;0,09545;0,026197250000000002;0,026694000000000002;0,10390025;5,33047E-05;0,8
63;0,03860146625;0,006222939;0,0100868875;0,045159849;0,036159825;0,00608835;0,00977075;0,042228875;0;0,8
64;0,0006592335;0,0;0,00010457975;0,00032323575;0,00061065;0,0;9,46325e-05;0,00029455;0;0,8
65;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
66;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
67;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
70;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
73;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
74;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
75;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
81;0,19199709874999998;0,030488281500000002;0,021877722500000002;0,21373340525;0,1284215;0,029956000000000003;0,021336375;0,1420605;6,07028E-05;0,8
82;0,32268438175;0,0616534225;0,046588669750000006;0,37051239475;0,252635;0,06070525;0,04586125;0,28550749999999997;0,000192521;0,8
83;0,43371000000000004;0,09183108549999999;0,069656783;0,45201240800000003;0,3672725;0,0900215;0,06901550000000001;0,3823725;0,000310181;0,8
84;0,4340254345;0,10918550525000001;0,07938347375;0,43125394749999996;0,3696125;0,1066235;0,078815;0,366135;0,000366858;0,8
85;0,37512110550000005;0,0922832885;0,0676348735;0,380572579;0,3217325;0,09022999999999999;0,06714275;0,32484250000000003;0,000326288;0,8
86;0,32558107875;0,089548642;0,049866055000000006;0,317822842;0,2777;0,08608425;0,049398000000000004;0,2718925;0,000259275;0,8
87;0,130687042;0,028025799999999997;0,018332097;0,1007366845;0,1049014;0,026642825000000002;0,01804305;0,08232675;6,77526E-05;0,8
88;0,0005214055;0,00013222725;0,000205497;0,0002468815;0,000351825;0,0001287675;0,000198125;0,000166215;0;0,8
89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
90;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
92;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
93;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
94;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
95;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
97;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
101;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
102;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
103;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
104;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
105;0,008218915;0,15435135;0,1639354935;0,010971765000000001;0,007702525;0,10495795;0,11228625;0,010470799999999999;0;0,8
106;0,027852599999999998;0,267777158;0,29054861825;0,031023075;0,027168499999999998;0,20824000000000004;0,22660999999999998;0,03038875;0;0,8
107;0,03758073575;0,337153421;0,3440496315;0,039668862;0,0370835;0,2883025;0,29525250000000003;0,039188;0;0,8
108;0,044315376000000004;0,3724170395;0,40639484225000005;0,047412892250000005;0,04384825;0,31904374999999996;0,34858249999999996;0,04694625;0;0,8
109;0,037580254;0,33851628949999996;0,3583043685;0,03810758275;0,0371755;0,289725;0,3059175;0,03772;0;0,8
110;0,026526813000000003;0,24986001300000002;0,26860306599999995;0,026375356500000002;0,02612;0,2127525;0,2284175;0,025975500000000002;0;0,8
111;0,010086141;0,10547734724999999;0,11862084074999998;0,0093969055;0,0097899;0,08425125;0,09264525000000001;0,009112000000000002;0;0,8
112;8,823e-05;0,00015312525;0,00036421825;6,369375e-05;8,04525e-05;0,0001049175;0,0002504;5,714e-05;0;0,8
113;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
115;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
116;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
117;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
118;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
119;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
120;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
121;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
122;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
123;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
124;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
125;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
126;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
127;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
128;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
129;0,10554139725;0,00921539825;0,006904565999999999;0,11328398275000001;0,08550425;0,008721975;0,00638935;0,09251225;0;0,8
130;0,2009243685;0,01934767525;0,009525631500000001;0,24043286450000004;0,17543999999999998;0,018701;0,008917375;0,20474474999999998;8,83751E-05;0,8
131;0,27759414475;0,03122076325;0,01752104575;0,31378672874999997;0,2488275;0,030531249999999996;0,01685325;0,27713075000000004;0,000127222;0,8
132;0,32339278425;0,04088605275;0,0267712145;0,313361013;0,28793625;0,0402815;0,02610175;0,277385;9,81335E-05;0,8
133;0,27358499999999997;0,301267362;0,25791442124999997;0,266994592;0,2429325;0,26909025;0,234075;0,23583750000000003;0,000117421;0,8
134;0,16399207899999999;0,20218128975;0,1695545565;0,16551314625;0,1467325;0,176035;0,15252849999999998;0,14701825;5,61002E-05;0,8
135;0,10127533;0,093777146;0,095512299;0,0904010365;0,08477900000000001;0,07637975;0,081576225;0,07562675;0;0,8
136;0,00030693425;0,00021042825;0,0003939315;0,0002044615;0,0002264125;0,00014634;0,0002921;0,0001494225;0;0,8
137;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
138;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
139;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
140;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
141;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
142;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
143;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
144;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
145;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
146;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
147;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
148;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
149;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
150;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
151;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
152;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
153;0,039347408;0,00257274175;0,02018191425;0,0499450345;0,038890499999999995;0,002072615;0,01965505;0,0494555;0;0,8
154;0,08524790125000001;0,00898669675;0,036188490749999996;0,0974446105;0,08328475;0,00829395;0,0354815;0,095109;0;0,8
155;0,12339328825000001;0,016459646;0,05702352225000001;0,14226781175;0,1197555;0,01585375;0,056326749999999995;0,13789074999999998;0;0,8
156;0,13602414075;0,01580855125;0,062188456749999996;0,15192804475;0,1311955;0,015273;0,061581250000000004;0,14638575;0;0,8
157;0,13976769475;0,31372460525;0,0495385815;0,1728357945;0,13299275;0,27701;0,048993999999999996;0,16377925;0;0,8
158;0,11061627649999999;0,24391732900000002;0,03191664475;0,13776264100000002;0,10475025;0,21116;0,031413750000000004;0,12976175;0;0,8
159;0,03834620525;0,116157805;0,012526542750000001;0,040759879;0,036227499999999996;0,09416175;0,012180950000000001;0,038382000000000006;0;0,8
160;0,00028671475;0,00028006225;0,00029796975;0,00017116275;0,00026737500000000003;0,0001933475;0,00027932;0,0001597975;0;0,8
161;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
162;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
163;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
164;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
165;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
166;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
167;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
168;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
169;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
170;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
171;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
172;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
173;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
174;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
175;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
176;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,8
177;0,0114992385;0,0;0,029234491;0,0138053995;0,01102355;0,0;0,028702525;0,0133465;0;0,8
178;0,03423520675;0,00350562975;0,04440037475;0,03673725;0,03358975;0,003176275;0,04372225;0,03611575;0;0,8
179;0,0451278;0,01722160025;0,0536209265;0,04725204475;0,044656999999999995;0,01653635;0,05295875;0,0468035;0;0,8
180;0,062304276500000005;0,022466139500000003;0,045373646;0,06332690925000001;0,06188325;0,021878250000000002;0,0447845;0,06292025;0;0,8
181;0,050928177500000005;0,35036072349999997;0,05628237225;0,051108769750000005;0,050612000000000004;0,311665;0,0555825;0,05079675;0;0,8
182;0,032740867;0,24429296075;0,04303413525;0,032220520999999995;0,032386250000000005;0,2117175;0,042508;0,031878750000000004;0;0,8
183;0,013176529749999999;0,11304415675;0,01790113225;0,012424230999999999;0,012867874999999999;0,09330482500000001;0,017582149999999998;0,0121471;0;0,8
