index;car_2025;car_2030;car_2035;car_2040;car_2045;bus_2025;bus_2030;bus_2035;bus_2040;bus_2045;train_2025;train_2030;train_2035;train_2040;train_2045
4271;0,09369037930363633;0,0674483722958706;0,07147253482167723;0,07434847394421559;0,07868879371056352;0,3399782895287736;0,3600314891823416;0,3485711399715323;0,33308793129722025;0,3440968856089915;0,007119862111765181;0,008896185187766695;0,008168515066403224;0,009004254569391655;0,008270504065356316
4272;0,05843680827425296;0,031770081991640164;0,03260269836720177;0,022898754641418852;0,0315757313404108;0,3399782895287736;0,3600314891823416;0,3485711399715323;0,33308793129722025;0,3440968856089915;0,0014349154903403499;0,0006205475492024742;0,0015717490938532053;0,0008901515411818757;0,0009555899218221959
4273;0,04521704821230924;0,0474035232905309;0,06566107452813064;0,05268929696216813;0,04947803568776095;0,3399782895287736;0,3600314891823416;0,3485711399715323;0,33308793129722025;0,3440968856089915;0,005842771218129857;0,001187225281774983;0,0013145454793519198;0,0014622647519353129;0,0016171257835190704
4274;0,04789164406381039;0,05257893974437672;0,05598018433187902;0,05021408351486731;0,05699148008510198;0,3399782895287736;0,3600314891823416;0,3485711399715323;0,33308793129722025;0,3440968856089915;0,0031648397282353345;0,001219111832099865;0,0019369071911111335;0,0013977993354296857;0,00136275595501523
4275;0,04101185902504883;0,061369687630736226;0,04937047742975514;0,04076063350741601;0,05313079405064259;0,3399782895287736;0,3600314891823416;0,3485711399715323;0,33308793129722025;0,3440968856089915;0,002177661464148869;0,0010896271666084717;0,0019861805921376698;0,0012399632528712092;0,000855436394050065
4276;0,04508596524168554;0,04972683683303599;0,047847056908421816;0,042189746633703853;0,04995344329874754;0,3399782895287736;0,3597938350213175;0,3482327543700328;0,33293724897027405;0,3438080178524267;0,00302960187414126;0,0030372612044945817;0,0025221772612010747;0,002041945484237553;0,0022995289443614167
4277;0,04721428814749799;0,09522077271528381;0,09962365595600321;0,09027457990891954;0,09343817988784894;0,3378621970427444;0,34603907024287917;0,3338600025143407;0,3197055118147877;0,3298530126130758;0,006932448096585914;0,044862836944405717;0,043602870296100285;0,04326547040779681;0,04342204375875606
4278;0,02568906456684368;0,04616219214086608;0,05617487376506496;0,03867896974861869;0,04632348145416252;0,005526312570226098;0,00545313074447155;0,005318301015486363;0,005261406165849498;0,005397454047705167;0,058703708299080656;0,132184385185734;0,13237506432580953;0,12592516981720006;0,12966407431036267
4279;0,015777859147887402;0,02695365054248491;0,032424435244249615;0,036393639336479836;0,04585492231281334;0,0;0,0;0,0;0,0;0,0;0,11020735929011223;0,1659812260540945;0,1737212767576183;0,16533882527266913;0,16935902249423332
4280;0,02299091551630215;0,09755731153889043;0,10082627356759151;0,09732343514072236;0,09545965137552932;0,0;0,0;0,0;0,0;0,0;0,12644064068747363;0,17519238908019052;0,17503349491201967;0,17311602885676883;0,17457919704000552
4281;0,06692170916551572;0,16125041179665306;0,15446896938248525;0,16404679466615804;0,15651981227368061;0,0;0,0;0,0;0,0;0,0;0,15158216794551183;0,17244095540333856;0,1764472581523418;0,17496578377337374;0,17100705189096904
4282;0,11663628381757704;0,0945369141067049;0,10344451450731959;0,08852056592918273;0,10964319022705916;0,0;0,0;0,0;0,0;0,0;0,16296515643869958;0,1744242076045047;0,17714224800629597;0,172694912327724;0,17454696488167296
4283;0,1414688334358424;0,11045411200475885;0,09874725283674929;0,10062669698933431;0,10119315744506258;0,0;0,0;0,0;0,0;0,0;0,18178469447898477;0,1723757184329132;0,17467266625679587;0,17138567078091618;0,17384728519575704
4284;0,163757360160459;0,11243951897272624;0,09753452846932635;0,10044849206366593;0,1089450801208046;0,0;0,0;0,0;0,0;0,0;0,16290486743854815;0,17192860712951688;0,1715533517828795;0,1690564094924638;0,1776653371001996
4285;0,15434964188506142;0,11159563597159662;0,10905522653267209;0,11464381873589975;0,09508504245734856;0,0;0,0;0,0;0,0;0,0;0,1674229355769504;0,17007207343308536;0,1670287467348199;0,17062515110172274;0,17499890864746018
4286;0,1639254649345943;0,11792798272256448;0,11772468166271874;0,12033237605333048;0,11945976556222894;0,0;0,0;0,0;0,0;0,0;0,1709135073469736;0,17207943231329048;0,1678366050196759;0,1676812354052912;0,16974142979149617
4287;0,16990527953005863;0,1859354273846823;0,21213639333687237;0,19096177809116438;0,19602768198243956;0,0;0,0;0,0;0,0;0,0;0,1637440643838253;0,17428178813926884;0,1707898509515438;0,16871998268559427;0,1663451596448143
