;Household_middle;Household_north;Household_east;Household_swest;HA4_middle;HA4_north;HA4_east;HA4_swest
0;334,4797846;396,2785267;383,794064;509,1257071;0,17163372595776513;0,19176649266954549;0,20521798478513037;0,1717308473955561
1;384,743706;447,3362774;434,9285384;574,7466233;0,17208185579055302;0,1922671884728602;0,2057538019777808;0,17217923080912154
2;430,7819467;489,594735;483,2542989;631,0896451;0,16491177846594665;0,1842560556198244;0,1971807268953733;0,16500509619207482
3;462,9849996;524,7563626;518,9930708;674,3214016;0,19672899659388746;0,21980545765517095;0,2352237475735567;0,1968403185552197
4;492,6763284;552,4857986;548,7779872;709,85667;0,21913548823328236;0,24484024782090796;0,2620146072060803;0,21925948923349067
5;518,4072055;577,1024744;576,8308487;741,2789928;0,2572265240202537;0,2873993911026609;0,3075590685813703;0,25737207938655143
6;540,9457325;596,3257565;598,3253622;765,8494022;0,21106915124310022;0,23582772336124266;0,2523698977383718;0,21118858778931313
7;562,726009;615,1937484;618,5902394;789,789093;0,22720182522346455;0,2538527722805733;0,27165931667378873;0,22733039067766828
8;584,3954988;632,9129093;638,4031252;812,1616451;0,23392377271528303;0,2613632093302944;0,27969657456354585;0,23405614188114962
9;581,7571811;640,8831663;648,0866574;822,4444365;0,20569159324964542;0,22981937372146577;0,24594009142656617;0,2058079868265281
10;566,4021827;636,856837;638,1001017;820,0110052;0,19090330876764475;0,21329641221207932;0,2282581240691006;0,1910113341788692
11;532,976055;620,3043961;600,6822777;800,2963899;0,19359208776437214;0,2163005870319678;0,23147302722500346;0,19370163466026175
12;500,8942398;607,7084494;576,8484701;787,425229;0,18552575077418998;0,20728806257230245;0,22182831775729495;0,18563073321608414
13;498,9708312;609,6160934;577,4056333;790,3677634;0,16087860997085557;0,17974979338999175;0,19235837216151905;0,16096964546998602
14;507,5526404;622,5282389;610,5503059;804,5564032;0,15818983097412817;0,17674561857010326;0,1891434690056162;0,15827934498859347
15;518,9385261;630,7210657;627,9997327;812,6736407;0,16267112930200714;0,1817525766032507;0,19450164093212094;0,1627631791242477
16;512,7656311;624,246149;613,6944794;806,7218275;0,16715242762988614;0,1867595346363981;0,19985981285862564;0,16724701325990188
17;514,3857524;622,1854976;612,9320167;804,3548278;0,16625616796431036;0,18575814302976862;0,1987881784733247;0,16635024643277105
18;517,8994682;622,4965671;619,8688207;804,8636167;0,16715242762988614;0,1867595346363981;0,19985981285862564;0,16724701325990188
19;524,4556659;622,7451421;627,3981215;805,2712108;0,17656315411843201;0,19727414650600764;0,21111197390428552;0,17666306494477574
20;528,6976851;622,9437799;635,4063389;805,5977501;0,16177486963643137;0,1807511849966212;0,19343000654682;0,16186641229711687
21;535,8426039;621,3944494;643,8016853;805,8593638;0,18955891926928103;0,2117943248021351;0,22665067249114917;0,18966618393817292
22;543,3920405;621,3177095;652,5099797;806,0689694;0,16177486963643137;0,1807511849966212;0,19343000654682;0,16186641229711687
23;551,2681432;621,2547898;661,4712682;806,2369129;0,1797000629479473;0,2007790171292108;0,2148626942528388;0,17980174883973368
24;556,576554;619,4951499;670,6370926;804,2765023;0,14348678384934888;0,18537259294588013;0,19098040599393576;0,14844369175422764
25;561,7515842;619,2492963;679,968284;804,1336858;0,14386142297167093;0,1858565944940417;0,19147904935162224;0,1488312731948392
26;563,9877669;615,6342509;689,433181;797,7329113;0,13786719701451797;0,17811256972345663;0,18350075562863802;0,1426299701450542
27;565,7911109;611,6499994;695,9393987;794,7920365;0,16446657469938425;0,2124766796429279;0,2189044340243807;0,17014825242847503
28;567,245486;609,0759539;702,1564527;791,7634581;0,1831985308154872;0,23667675705100624;0,24383660190870649;0,18952732445905301
29;568,4184934;606,465182;708,1404792;788,6641551;0,2150428562128623;0,27781688864473947;0,2862212873120604;0,22247174691103566
30;569,3646245;603,8247985;713,9367048;785,507816;0,17645502661369014;0,22796472918409805;0,2348610214703492;0,18255085852804495
31;574,7744377;603,9819037;721,5429314;785,7627451;0,1899420350172843;0,24538878491791444;0,2528121823470638;0,19650379039006113
32;582,3469208;607,2418936;731,1476228;787,7113974;0,1955616218521152;0,25264880814033797;0,2602918327123615;0,20231751199923453
33;567,9048089;601,300841;705,5886614;780,2011453;0,17195935714582544;0,22215671060615924;0,228877301178111;0,17789988124070621
34;531,7611468;586,6879944;687,1057908;764,192351;0,15959626610919744;0,20618465951682755;0,21242207037445598;0,16510969370052472
35;475,7926357;564,4733768;651,7300443;737,05578;0,1618441008431298;0,20908866880579693;0,2154139305205751;0,16743518234419408
36;436,0914884;542,7295521;601,848699;710,4684337;0,15510059664133272;0,2003766409388887;0,20643835008221778;0,16045871641318601
37;421,8424748;536,1685826;603,6319247;702,4702649;0,13449544491361945;0,17375655579000254;0,17901296540945935;0,1391417371795502
38;433,8613107;541,1965881;603,8367847;708,6650007;0,1322476101796871;0,17085254650103313;0,17602110526334025;0,1368162485358808
39;441,7575436;543,6489482;602,2364037;711,7035169;0,13599400140290768;0,17569256198264882;0,18100753884020543;0,1406920629419964
40;432,8804134;533,7188679;593,9268539;699,5710177;0,13974039262612828;0,1805325774642645;0,1859939724170706;0,14456787734811202
41;434,9023187;533,9928664;599,3911657;699,9397587;0,13899111438148418;0,17956457436794135;0,18499668570169756;0,1437927144668889
42;439,6331614;536,0785429;611,1947895;702,5249937;0,13974039262612828;0,1805325774642645;0,1859939724170706;0,14456787734811202
43;448,0642331;540,5327419;624,5904588;708,0119961;0,14760781419489152;0,19069660997565738;0,19646548292848742;0,15270708760095478
44;457,5432748;544,0160728;642,3376868;712,3064621;0,13524472315826358;0,17472455888632565;0,1800102521248324;0,1399169000607733
45;465,0367808;547,8912494;658,4315669;717,0791373;0,15847234874223126;0,20473265487234282;0,2109261403013964;0,16394694937869003
46;475,6982894;553,7911619;675,289417;724,3332349;0,13524472315826358;0,17472455888632565;0,1800102521248324;0,1399169000607733
47;486,9781761;558,44253;692,7639523;730,0553046;0,15023028805114597;0,19408462081278835;0,19995598643229304;0,15542015768523568
48;501,5887662;573,5098398;710,7363108;748,5512469;0,11066648124109865;0,1803694073777413;0,16432178203035644;0,11641769163763974
49;514,1173085;591,6422308;732,1773537;770,8109969;0,11472019850267735;0,18697634537692595;0,1703408949252413;0,12068207594671078
50;532,5672224;611,0735012;754,3194486;792,5732848;0,1195846592165718;0,19490467097594752;0,1775638303991031;0,12579933711759603
51;543,4241874;624,7208996;770,8936558;809,0893313;0,12120614612120327;0,1975474461756214;0,17997147555705706;0,12750509084122447
52;553,9692328;638,4002008;784,1044009;825,6918699;0,12971895237051856;0,2114220159739092;0,19261161263631524;0,13646029789027367
53;564,2629239;650,3974221;799,7663118;840,2695063;0,14714993659530698;0,23983184937040322;0,2184937980843201;0,1547971504192792
54;574,3540532;662,2122184;809,1748882;854,6532743;0,20390197825740886;0,3323289813589885;0,302761378612708;0,21449853074627392
55;586,0970584;674,9932623;825,8287716;870,2430886;0,2529519571225112;0,4122729311491229;0,3755926446408147;0,26609758088603364
56;594,0092399;683,7420508;841,6043407;880,902218;0,2618701350979844;0,4268081947473292;0,3888346930095614;0,27547922636599
57;574,0381091;654,9967667;836,6856271;853,7485479;0,24808749640861671;0,4043446055501013;0,3683697091669529;0,26098031971514835
58;542,9047968;618,8036431;801,5008801;807,0967517;0,2334941142669334;0,38055962875303656;0,3467009027453674;0,2456285362024926
59;467,4910843;571,3818925;753,512204;751,0735762;0,22011684730372366;0,35875673335572716;0,32683783019224744;0,23155606798255815
60;433,9650468;533,6743128;686,3286624;709,3252787;0,20390197825740886;0,3323289813589885;0,302761378612708;0,21449853074627392
