,north,swest,east,middle,summe
Leistungen,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PV_Dach,0.0,0.0,0.0,0.0,0.0
PV_Feld,85.96639432776782,769.5721348242405,55.31579429875104,294.724182800095,1205.5785062508544
Wind,1210.0,900.0,1820.0,1640.0,5570.0
Wasser,31.0,0.0,0.0,0.0,31.0
Biogas_el,0.0,0.0,0.0,0.0,0.0
Biomasse_Strom,0.0,0.0,0.0,0.0,0.0
Brennstoffzelle,0.0,0.0,0.0,0.0,0.0
GuD,54.428597628287925,67.18666645580565,98.95087429342551,97.59061010991621,318.1567484874353
Solarthermie,0.0,0.0,0.0,0.0,0.0
Biomasse_Waerme,0.0,0.0,0.0,0.0,0.0
WP_Fluss,0.0,0.0,0.0,0.0,0.0
WP_Abwaerme,0.0,0.0,0.0,0.0,0.0
Heizstab,0.0,0.0,0.0,0.0,0.0
Elektrolyse,162.005974510767,308.0,179.94112700980438,0.0,649.9471015205713
Wasserstoffeinspeisung,0.0,0.0,0.0,0.0,0.0
B2G_Best.,231.28119609172035,327.16123255506074,419.75537242416584,388.17036212098003,1366.368163191927
B2G_Neu,0.0,0.0,0.0,0.0,0.0
Methanisierung,0.0,0.0,0.0,0.0,0.0
PtL,0.0,0.0,0.0,0.0,0.0
Speicherkapazitäten,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Natriumspeicher,0.0,1938.2603442212915,637.2376921479774,766.6225730828666,3342.120609452136
Waermespeicher,13324.435912047185,7121.4126497166635,26672.20626494137,13184.94750329045,60303.002329995674
Pumpspeicher,2304.0,2304.0,2304.0,2304.0,9216.0
Erdgasspeicher,470706.3463864821,599237.6255458869,947350.2546601971,824365.7585014335,2841659.9850939997
Wasserstoffspeicher,0.0,0.0,0.0,0.0,0.0
Emissionen,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Gasemissionen,31607.054938469653,33493.21591651069,53838.29938860735,58413.36630655362,177351.93655014134
Oelemissionen,702122.946218343,851360.1477761988,1272613.5645249626,1350629.1994324645,4176725.857951969
Stromemissionen,125267.03306029121,162751.02837762574,263741.3532922766,302874.16852133645,854633.58325153
Steinkohleemissionen,0.0,0.0,0.0,0.0,0.0
Braunkohleemissionen,0.0,0.0,0.0,0.0,0.0
Summe aller Emissionen,858997.0342171039,1047604.3920703352,1590193.2172058464,1711916.7342603547,5208711.3777536405
Energiemengen,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Stromimport,578280.089836078,751320.415370814,1217530.0216613268,1398181.9246668657,3945312.4515350848
Stromexport,1201538.099576064,438913.2893620119,2214356.3477850393,1688926.7610721386,5543734.497795254
