;('Biogas_feedin_existing_n', 'Gas_n');('Biogas_feedin_new_n', 'Gas_n');('Gas_n', 'Gas_demand_total_n');('Gas_n', 'Gas_storage_n');('Gas_n', 'GuD_n');('Gas_n', 'Material_demand_Gas_n');('Gas_n', 'excess_b_gas_n');('Gas_storage_n', 'Gas_n');('Hydrogen_feedin_n', 'Gas_n');('Import_Gas_n', 'Gas_n');('Methanisation_n', 'Gas_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-03 03:00:00;231,28;0,0;370,86;0,0;120,95;0,22;0,0;0,0;0,0;260,76;0,0
2030-01-03 04:00:00;231,28;0,0;394,43;0,0;120,95;0,22;0,0;0,0;0,0;284,33;0,0
2030-01-03 05:00:00;231,28;0,0;423,28;0,0;120,95;0,22;0,0;0,0;0,0;313,18;0,0
2030-01-03 06:00:00;231,28;0,0;469,45;0,0;120,95;0,22;0,0;0,0;0,0;359,34;0,0
2030-01-03 07:00:00;231,28;0,0;497,59;0,0;120,95;0,22;0,0;0,0;0,0;387,49;0,0
2030-01-03 08:00:00;231,28;0,0;506,42;0,0;120,95;0,22;0,0;0,0;0,0;396,31;0,0
2030-01-03 09:00:00;231,28;0,0;490,82;0,0;120,95;0,22;0,0;0,0;0,0;380,72;0,0
2030-01-03 10:00:00;231,28;0,0;470,23;0,0;120,95;0,22;0,0;0,0;0,0;360,13;0,0
2030-01-03 11:00:00;231,28;0,0;444,63;0,0;120,95;0,22;0,0;0,0;0,0;334,53;0,0
2030-01-03 12:00:00;231,28;0,0;422,6;0,0;120,95;0,22;0,0;0,0;0,0;312,49;0,0
2030-01-03 13:00:00;231,28;0,0;411,02;0,0;120,95;0,22;0,0;0,0;0,0;300,92;0,0
2030-01-03 14:00:00;231,28;0,0;411,36;0,0;120,95;0,22;0,0;0,0;0,0;301,26;0,0
2030-01-03 15:00:00;231,28;0,0;409,49;0,0;120,95;0,22;0,0;0,0;0,0;299,38;0,0
2030-01-03 16:00:00;231,28;0,0;409,42;0,0;120,95;0,22;0,0;0,0;0,0;299,32;0,0
2030-01-03 17:00:00;231,28;0,0;403,84;0,0;120,95;0,22;0,0;0,0;0,0;293,74;0,0
2030-01-03 18:00:00;231,28;0,0;397,54;0,0;120,95;0,22;0,0;0,0;0,0;287,43;0,0
2030-01-03 19:00:00;231,28;0,0;386,58;0,0;120,95;0,22;0,0;0,0;0,0;276,47;0,0
2030-01-03 20:00:00;231,28;0,0;379,58;0,0;120,95;0,22;0,0;0,0;0,0;269,48;0,0
2030-01-03 21:00:00;231,28;0,0;376,38;0,0;120,95;0,22;0,0;0,0;0,0;266,27;0,0
2030-01-03 22:00:00;231,28;0,0;373,14;0,0;120,95;0,22;0,0;0,0;0,0;263,03;0,0
2030-01-03 23:00:00;231,28;0,0;380,85;0,0;120,95;0,22;0,0;0,0;0,0;270,75;0,0
2030-01-04 00:00:00;231,28;0,0;387,41;0,0;120,95;0,22;0,0;0,0;0,0;277,31;0,0
2030-01-04 01:00:00;231,28;0,0;391,79;0,0;120,95;0,22;0,0;0,0;0,0;281,69;0,0
2030-01-04 02:00:00;231,28;0,0;399,74;0,0;120,95;0,22;0,0;0,0;0,0;289,64;0,0
