;('Battery_e', 'Electricity_e');('Biogas_e', 'Electricity_e');('Biomasse_elec_e', 'Electricity_e');('East<->Middel', 'Electricity_e');('Electricity_e', 'Battery_e');('Electricity_e', 'East<->Middel');('Electricity_e', 'Electric boiler_e');('Electricity_e', 'Electricity_demand_total_e');('Electricity_e', 'Electrolysis_e');('Electricity_e', 'Export_Electricity_e');('Electricity_e', 'HS<->East');('Electricity_e', 'Heatpump_air_e');('Electricity_e', 'Heatpump_water_e');('Electricity_e', 'Pumped_hydro_storage_e');('Electricity_e', 'excess_b_el_e');('Fuelcell_e', 'Electricity_e');('GuD_e', 'Electricity_e');('HS<->East', 'Electricity_e');('Hydro power plant_e', 'Electricity_e');('PV_open_e', 'Electricity_e');('PV_rooftop_e', 'Electricity_e');('Pumped_hydro_storage_e', 'Electricity_e');('Wind_e', 'Electricity_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-02 01:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;349,74;197,61;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;448,4
2030-01-02 02:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;345,35;214,22;0,0;102,41;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1010,33
2030-01-02 03:00:00;0,0;0,0;0,0;0,0;139,06;0,0;0,0;347,18;214,22;0,0;39,31;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;928,81
2030-01-02 04:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;351,17;214,22;284,16;112,36;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1310,27
2030-01-02 05:00:00;0,0;0,0;0,0;0,0;45,51;0,0;0,0;385,99;214,22;0,0;96,64;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;931,41
2030-01-02 06:00:00;0,0;0,0;0,0;0,0;134,05;0,0;0,0;410,62;214,22;0,0;35,4;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;983,33
2030-01-02 07:00:00;11,19;0,0;0,0;0,0;0,0;0,0;0,0;497,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;386,99
2030-01-02 08:00:00;6,26;0,0;0,0;0,0;0,0;0,0;0,0;505,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;400,43
2030-01-02 09:00:00;102,9;0,0;0,0;0,0;0,0;0,0;0,0;458,98;0,0;0,0;64,98;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,75;0,0;0,0;321,36
2030-01-02 10:00:00;2,89;0,0;0,0;0,0;0,0;0,0;0,0;434,43;0,0;0,0;60,76;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;1,59;0,0;0,0;391,76
2030-01-02 11:00:00;55,08;0,0;0,0;0,0;0,0;0,0;0,0;435,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;1,88;0,0;0,0;279,61
2030-01-02 12:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;436,17;183,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;2,21;0,0;0,0;518,02
