;('Biogas_e', 'District heating_e');('Biomasse_heat_e', 'District heating_e');('District heating_e', 'Heat storage_e');('District heating_e', 'Heat_demand_total_e');('District heating_e', 'excess_b_distheat_e');('Electric boiler_e', 'District heating_e');('GuD_e', 'District heating_e');('Heat storage_e', 'District heating_e');('Heatpump_air_e', 'District heating_e');('Heatpump_water_e', 'District heating_e');('ST_e', 'District heating_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-03 04:00:00;0,0;0,0;0,0;105,31;0,0;0,0;94,55;10,75;0,0;0,0;0,0
2030-01-03 05:00:00;0,0;0,0;0,0;107,41;0,0;0,0;94,55;12,86;0,0;0,0;0,0
2030-01-03 06:00:00;0,0;0,0;0,0;108,67;0,0;0,0;94,55;14,12;0,0;0,0;0,0
2030-01-03 07:00:00;0,0;0,0;0,0;110,91;0,0;0,0;94,55;16,36;0,0;0,0;0,0
2030-01-03 08:00:00;0,0;0,0;0,0;113,03;0,0;0,0;94,55;18,48;0,0;0,0;0,0
2030-01-03 09:00:00;0,0;0,0;0,0;112,37;0,0;0,0;94,55;17,82;0,0;0,0;0,0
2030-01-03 10:00:00;0,0;0,0;0,0;107,64;0,0;0,0;94,55;13,09;0,0;0,0;0,0
2030-01-03 11:00:00;0,0;0,0;0,0;101,2;0,0;0,0;94,55;6,64;0,0;0,0;0,0
2030-01-03 12:00:00;0,0;0,0;2,38;92,18;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 13:00:00;0,0;0,0;7,0;87,55;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 14:00:00;0,0;0,0;6,93;87,62;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 15:00:00;0,0;0,0;5,58;88,97;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 16:00:00;0,0;0,0;4,92;89,64;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 17:00:00;0,0;0,0;4,58;89,98;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 18:00:00;0,0;0,0;3,16;91,4;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 19:00:00;0,0;0,0;1,62;92,93;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 20:00:00;0,0;0,0;0,4;94,15;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-03 21:00:00;0,0;0,0;0,0;95,81;0,0;0,0;94,55;1,25;0,0;0,0;0,0
2030-01-03 22:00:00;0,0;0,0;0,0;97,53;0,0;0,0;94,55;2,98;0,0;0,0;0,0
2030-01-03 23:00:00;0,0;0,0;0,0;98,9;0,0;0,0;94,55;4,35;0,0;0,0;0,0
2030-01-04 00:00:00;0,0;0,0;0,0;100,27;0,0;0,0;94,55;5,72;0,0;0,0;0,0
2030-01-04 01:00:00;0,0;0,0;0,0;101,63;0,0;0,0;94,55;7,08;0,0;0,0;0,0
2030-01-04 02:00:00;0,0;0,0;0,0;102,99;0,0;0,0;94,55;8,44;0,0;0,0;0,0
2030-01-04 03:00:00;0,0;0,0;0,0;103,94;0,0;0,0;94,55;9,39;0,0;0,0;0,0
2030-01-04 04:00:00;0,0;0,0;0,0;104,83;0,0;0,0;94,55;10,28;0,0;0,0;0,0
2030-01-04 05:00:00;0,0;0,0;0,0;105,27;0,0;0,0;94,55;10,72;0,0;0,0;0,0
2030-01-04 06:00:00;0,0;0,0;0,0;106,04;0,0;0,0;94,55;11,48;0,0;0,0;0,0
2030-01-04 07:00:00;0,0;0,0;0,0;107,46;0,0;0,0;94,55;12,91;0,0;0,0;0,0
2030-01-04 08:00:00;0,0;0,0;0,0;108,79;0,0;0,0;94,55;14,24;0,0;0,0;0,0
2030-01-04 09:00:00;0,0;0,0;0,0;111,49;0,0;0,0;94,55;16,94;0,0;0,0;0,0
2030-01-04 10:00:00;0,0;0,0;0,0;110,41;0,0;0,0;94,55;15,86;0,0;0,0;0,0
2030-01-04 11:00:00;0,0;0,0;0,0;106,74;0,0;0,0;94,55;12,18;0,0;0,0;0,0
2030-01-04 12:00:00;0,0;0,0;0,0;104,33;0,0;0,0;94,55;9,78;0,0;0,0;0,0
2030-01-04 13:00:00;0,0;0,0;0,0;104,84;0,0;0,0;94,55;10,29;0,0;0,0;0,0
2030-01-04 14:00:00;0,0;0,0;0,0;107,7;0,0;0,0;94,55;13,15;0,0;0,0;0,0
2030-01-04 15:00:00;0,0;0,0;0,0;108,24;0,0;0,0;94,55;13,69;0,0;0,0;0,0
2030-01-04 16:00:00;0,0;0,0;0,0;105,18;0,0;0,0;94,55;10,62;0,0;0,0;0,0
2030-01-04 17:00:00;0,0;0,0;0,0;105,12;0,0;0,0;94,55;10,57;0,0;0,0;0,0
2030-01-04 18:00:00;0,0;0,0;0,0;105,81;0,0;0,0;94,55;11,26;0,0;0,0;0,0
2030-01-04 19:00:00;0,0;0,0;0,0;106,63;0,0;0,0;94,55;12,08;0,0;0,0;0,0
2030-01-04 20:00:00;0,0;0,0;0,0;107,55;0,0;0,0;94,55;12,99;0,0;0,0;0,0
2030-01-04 21:00:00;0,0;0,0;0,0;108,55;0,0;0,0;94,55;13,99;0,0;0,0;0,0
2030-01-04 22:00:00;0,0;0,0;0,0;109,61;0,0;0,0;94,55;15,06;0,0;0,0;0,0
2030-01-04 23:00:00;0,0;0,0;0,0;110,74;0,0;0,0;94,55;16,18;0,0;0,0;0,0
2030-01-05 00:00:00;0,0;0,0;0,0;113,55;0,0;0,0;94,55;18,99;0,0;0,0;0,0
2030-01-05 01:00:00;0,0;0,0;0,0;117,01;0,0;0,0;94,55;22,46;0,0;0,0;0,0
2030-01-05 02:00:00;0,0;0,0;0,0;120,71;0,0;0,0;94,55;26,16;0,0;0,0;0,0
2030-01-05 03:00:00;0,0;0,0;0,0;123,37;0,0;0,0;94,55;28,82;0,0;0,0;0,0
2030-01-05 04:00:00;0,0;0,0;0,0;126,04;0,0;0,0;94,55;31,49;0,0;0,0;0,0
2030-01-05 05:00:00;0,0;0,0;0,0;128,72;0,0;0,0;94,55;34,16;0,0;0,0;0,0
