;('Import_Oil_m', 'Oil_fuel_m');('Import_Synthetic_fuel_m', 'Oil_fuel_m');('Oil_fuel_m', 'Material_demand_Oil_m');('Oil_fuel_m', 'Mobility_demand_total_m');('Oil_fuel_m', 'Oil_demand_total_m');('Oil_fuel_m', 'excess_b_oil_fuel_m');('PtL_m', 'Oil_fuel_m')
;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;576,91;0,0;25,45;519,15;32,31;0,0;0,0
2030-01-01 01:00:00;581,76;0,0;25,45;519,15;37,16;0,0;0,0
2030-01-01 02:00:00;586,21;0,0;25,45;519,15;41,61;0,0;0,0
2030-01-01 03:00:00;589,32;0,0;25,45;519,15;44,72;0,0;0,0
2030-01-01 04:00:00;592,19;0,0;25,45;519,15;47,59;0,0;0,0
2030-01-01 05:00:00;594,67;0,0;25,45;519,15;50,07;0,0;0,0
2030-01-01 06:00:00;596,85;0,0;25,45;519,15;52,25;0,0;0,0
2030-01-01 07:00:00;598,95;0,0;25,45;519,15;54,35;0,0;0,0
2030-01-01 08:00:00;601,05;0,0;25,45;519,15;56,45;0,0;0,0
2030-01-01 09:00:00;600,79;0,0;25,45;519,15;56,19;0,0;0,0
2030-01-01 10:00:00;599,31;0,0;25,45;519,15;54,71;0,0;0,0
2030-01-01 11:00:00;596,08;0,0;25,45;519,15;51,48;0,0;0,0
2030-01-01 12:00:00;592,98;0,0;25,45;519,15;48,38;0,0;0,0
2030-01-01 13:00:00;592,79;0,0;25,45;519,15;48,2;0,0;0,0
2030-01-01 14:00:00;593,62;0,0;25,45;519,15;49,03;0,0;0,0
2030-01-01 15:00:00;594,72;0,0;25,45;519,15;50,13;0,0;0,0
2030-01-01 16:00:00;594,13;0,0;25,45;519,15;49,53;0,0;0,0
2030-01-01 17:00:00;594,28;0,0;25,45;519,15;49,69;0,0;0,0
2030-01-01 18:00:00;594,62;0,0;25,45;519,15;50,02;0,0;0,0
2030-01-01 19:00:00;595,26;0,0;25,45;519,15;50,66;0,0;0,0
2030-01-01 20:00:00;595,67;0,0;25,45;519,15;51,07;0,0;0,0
2030-01-01 21:00:00;596,36;0,0;25,45;519,15;51,76;0,0;0,0
2030-01-01 22:00:00;597,08;0,0;25,45;519,15;52,49;0,0;0,0
2030-01-01 23:00:00;597,85;0,0;25,45;519,15;53,25;0,0;0,0
2030-01-02 00:00:00;598,36;0,0;25,45;519,15;53,76;0,0;0,0
2030-01-02 01:00:00;598,86;0,0;25,45;519,15;54,26;0,0;0,0
2030-01-02 02:00:00;599,07;0,0;25,45;519,15;54,48;0,0;0,0
2030-01-02 03:00:00;599,25;0,0;25,45;519,15;54,65;0,0;0,0
2030-01-02 04:00:00;599,39;0,0;25,45;519,15;54,79;0,0;0,0
2030-01-02 05:00:00;599,5;0,0;25,45;519,15;54,9;0,0;0,0
2030-01-02 06:00:00;599,59;0,0;25,45;519,15;55,0;0,0;0,0
2030-01-02 07:00:00;600,12;0,0;25,45;519,15;55,52;0,0;0,0
2030-01-02 08:00:00;600,85;0,0;25,45;519,15;56,25;0,0;0,0
2030-01-02 09:00:00;599,45;0,0;25,45;519,15;54,86;0,0;0,0
2030-01-02 10:00:00;595,96;0,0;25,45;519,15;51,36;0,0;0,0
2030-01-02 11:00:00;590,56;0,0;25,45;519,15;45,96;0,0;0,0
2030-01-02 12:00:00;586,72;0,0;25,45;519,15;42,12;0,0;0,0
2030-01-02 13:00:00;585,34;0,0;25,45;519,15;40,75;0,0;0,0
2030-01-02 14:00:00;586,5;0,0;25,45;519,15;41,91;0,0;0,0
2030-01-02 15:00:00;587,27;0,0;25,45;519,15;42,67;0,0;0,0
2030-01-02 16:00:00;586,41;0,0;25,45;519,15;41,81;0,0;0,0
2030-01-02 17:00:00;586,61;0,0;25,45;519,15;42,01;0,0;0,0
2030-01-02 18:00:00;587,06;0,0;25,45;519,15;42,47;0,0;0,0
2030-01-02 19:00:00;587,88;0,0;25,45;519,15;43,28;0,0;0,0
2030-01-02 20:00:00;588,79;0,0;25,45;519,15;44,19;0,0;0,0
2030-01-02 21:00:00;589,52;0,0;25,45;519,15;44,92;0,0;0,0
2030-01-02 22:00:00;590,55;0,0;25,45;519,15;45,95;0,0;0,0
2030-01-02 23:00:00;591,64;0,0;25,45;519,15;47,04;0,0;0,0
2030-01-03 00:00:00;593,05;0,0;25,45;519,15;48,45;0,0;0,0
2030-01-03 01:00:00;594,26;0,0;25,45;519,15;49,66;0,0;0,0
2030-01-03 02:00:00;596,04;0,0;25,45;519,15;51,44;0,0;0,0
2030-01-03 03:00:00;597,09;0,0;25,45;519,15;52,49;0,0;0,0
2030-01-03 04:00:00;598,11;0,0;25,45;519,15;53,51;0,0;0,0
2030-01-03 05:00:00;599,1;0,0;25,45;519,15;54,5;0,0;0,0
2030-01-03 06:00:00;600,08;0,0;25,45;519,15;55,48;0,0;0,0
2030-01-03 07:00:00;601,21;0,0;25,45;519,15;56,61;0,0;0,0
2030-01-03 08:00:00;601,97;0,0;25,45;519,15;57,38;0,0;0,0
2030-01-03 09:00:00;600,04;0,0;25,45;519,15;55,45;0,0;0,0
2030-01-03 10:00:00;597,04;0,0;25,45;519,15;52,44;0,0;0,0
2030-01-03 11:00:00;589,75;0,0;25,45;519,15;45,16;0,0;0,0
2030-01-03 12:00:00;586,51;0,0;25,45;519,15;41,92;0,0;0,0
2030-01-03 13:00:00;588,24;0,0;25,45;519,15;43,64;0,0;0,0
2030-01-03 14:00:00;590,32;0,0;25,45;519,15;45,72;0,0;0,0
2030-01-03 15:00:00;591,49;0,0;25,45;519,15;46,9;0,0;0,0
2030-01-03 16:00:00;591,32;0,0;25,45;519,15;46,72;0,0;0,0
2030-01-03 17:00:00;591,59;0,0;25,45;519,15;46,99;0,0;0,0
2030-01-03 18:00:00;592,29;0,0;25,45;519,15;47,69;0,0;0,0
2030-01-03 19:00:00;593,03;0,0;25,45;519,15;48,43;0,0;0,0
2030-01-03 20:00:00;593,79;0,0;25,45;519,15;49,2;0,0;0,0
2030-01-03 21:00:00;594,31;0,0;25,45;519,15;49,72;0,0;0,0
2030-01-03 22:00:00;595,09;0,0;25,45;519,15;50,49;0,0;0,0
2030-01-03 23:00:00;595,89;0,0;25,45;519,15;51,29;0,0;0,0
2030-01-04 00:00:00;596,71;0,0;25,45;519,15;52,11;0,0;0,0
2030-01-04 01:00:00;597,54;0,0;25,45;519,15;52,95;0,0;0,0
2030-01-04 02:00:00;598,39;0,0;25,45;519,15;53,79;0,0;0,0
2030-01-04 03:00:00;599,24;0,0;25,45;519,15;54,64;0,0;0,0
2030-01-04 04:00:00;599,28;0,0;25,45;519,15;54,68;0,0;0,0
2030-01-04 05:00:00;599,78;0,0;25,45;519,15;55,18;0,0;0,0
2030-01-04 06:00:00;600,26;0,0;25,45;519,15;55,66;0,0;0,0
2030-01-04 07:00:00;601,19;0,0;25,45;519,15;56,59;0,0;0,0
2030-01-04 08:00:00;602,06;0,0;25,45;519,15;57,46;0,0;0,0
2030-01-04 09:00:00;603,02;0,0;25,45;519,15;58,42;0,0;0,0
2030-01-04 10:00:00;601,92;0,0;25,45;519,15;57,32;0,0;0,0
2030-01-04 11:00:00;599,08;0,0;25,45;519,15;54,48;0,0;0,0
2030-01-04 12:00:00;597,35;0,0;25,45;519,15;52,75;0,0;0,0
2030-01-04 13:00:00;597,86;0,0;25,45;519,15;53,26;0,0;0,0
2030-01-04 14:00:00;599,43;0,0;25,45;519,15;54,83;0,0;0,0
2030-01-04 15:00:00;599,99;0,0;25,45;519,15;55,39;0,0;0,0
2030-01-04 16:00:00;598,2;0,0;25,45;519,15;53,6;0,0;0,0
2030-01-04 17:00:00;598,17;0,0;25,45;519,15;53,57;0,0;0,0
2030-01-04 18:00:00;598,64;0,0;25,45;519,15;54,04;0,0;0,0
2030-01-04 19:00:00;599,19;0,0;25,45;519,15;54,59;0,0;0,0
2030-01-04 20:00:00;599,8;0,0;25,45;519,15;55,2;0,0;0,0
2030-01-04 21:00:00;600,47;0,0;25,45;519,15;55,87;0,0;0,0
2030-01-04 22:00:00;601,45;0,0;25,45;519,15;56,86;0,0;0,0
2030-01-04 23:00:00;601,96;0,0;25,45;519,15;57,36;0,0;0,0
2030-01-05 00:00:00;603,0;0,0;25,45;519,15;58,41;0,0;0,0
2030-01-05 01:00:00;603,28;0,0;25,45;519,15;58,68;0,0;0,0
2030-01-05 02:00:00;604,05;0,0;25,45;519,15;59,46;0,0;0,0
2030-01-05 03:00:00;604,57;0,0;25,45;519,15;59,98;0,0;0,0
2030-01-05 04:00:00;605,08;0,0;25,45;519,15;60,48;0,0;0,0
2030-01-05 05:00:00;605,3;0,0;25,45;519,15;60,71;0,0;0,0
2030-01-05 06:00:00;605,76;0,0;25,45;519,15;61,16;0,0;0,0
2030-01-05 07:00:00;605,93;0,0;25,45;519,15;61,34;0,0;0,0
2030-01-05 08:00:00;605,8;0,0;25,45;519,15;61,21;0,0;0,0
2030-01-05 09:00:00;603,36;0,0;25,45;519,15;58,77;0,0;0,0
2030-01-05 10:00:00;601,24;0,0;25,45;519,15;56,64;0,0;0,0
2030-01-05 11:00:00;599,46;0,0;25,45;519,15;54,86;0,0;0,0
2030-01-05 12:00:00;598,13;0,0;25,45;519,15;53,53;0,0;0,0
2030-01-05 13:00:00;597,34;0,0;25,45;519,15;52,75;0,0;0,0
2030-01-05 14:00:00;597,45;0,0;25,45;519,15;52,85;0,0;0,0
2030-01-05 15:00:00;598,26;0,0;25,45;519,15;53,66;0,0;0,0
2030-01-05 16:00:00;599,25;0,0;25,45;519,15;54,65;0,0;0,0
2030-01-05 17:00:00;599,85;0,0;25,45;519,15;55,26;0,0;0,0
2030-01-05 18:00:00;600,78;0,0;25,45;519,15;56,19;0,0;0,0
2030-01-05 19:00:00;601,52;0,0;25,45;519,15;56,92;0,0;0,0
2030-01-05 20:00:00;602,56;0,0;25,45;519,15;57,96;0,0;0,0
2030-01-05 21:00:00;603,38;0,0;25,45;519,15;58,79;0,0;0,0
2030-01-05 22:00:00;604,5;0,0;25,45;519,15;59,9;0,0;0,0
2030-01-05 23:00:00;605,65;0,0;25,45;519,15;61,05;0,0;0,0
2030-01-06 00:00:00;606,84;0,0;25,45;519,15;62,24;0,0;0,0
2030-01-06 01:00:00;608,06;0,0;25,45;519,15;63,46;0,0;0,0
2030-01-06 02:00:00;609,3;0,0;25,45;519,15;64,71;0,0;0,0
2030-01-06 03:00:00;610,02;0,0;25,45;519,15;65,42;0,0;0,0
2030-01-06 04:00:00;610,96;0,0;25,45;519,15;66,36;0,0;0,0
2030-01-06 05:00:00;611,61;0,0;25,45;519,15;67,01;0,0;0,0
2030-01-06 06:00:00;612,22;0,0;25,45;519,15;67,63;0,0;0,0
2030-01-06 07:00:00;612,81;0,0;25,45;519,15;68,21;0,0;0,0
2030-01-06 08:00:00;612,81;0,0;25,45;519,15;68,22;0,0;0,0
2030-01-06 09:00:00;609,6;0,0;25,45;519,15;65,0;0,0;0,0
2030-01-06 10:00:00;605,94;0,0;25,45;519,15;61,34;0,0;0,0
2030-01-06 11:00:00;602,13;0,0;25,45;519,15;57,53;0,0;0,0
2030-01-06 12:00:00;599,3;0,0;25,45;519,15;54,7;0,0;0,0
2030-01-06 13:00:00;597,49;0,0;25,45;519,15;52,89;0,0;0,0
2030-01-06 14:00:00;597,2;0,0;25,45;519,15;52,61;0,0;0,0
2030-01-06 15:00:00;598,08;0,0;25,45;519,15;53,48;0,0;0,0
2030-01-06 16:00:00;600,04;0,0;25,45;519,15;55,44;0,0;0,0
2030-01-06 17:00:00;600,93;0,0;25,45;519,15;56,33;0,0;0,0
2030-01-06 18:00:00;602,19;0,0;25,45;519,15;57,59;0,0;0,0
2030-01-06 19:00:00;603,27;0,0;25,45;519,15;58,67;0,0;0,0
2030-01-06 20:00:00;604,4;0,0;25,45;519,15;59,8;0,0;0,0
2030-01-06 21:00:00;605,58;0,0;25,45;519,15;60,98;0,0;0,0
2030-01-06 22:00:00;607,05;0,0;25,45;519,15;62,46;0,0;0,0
2030-01-06 23:00:00;608,32;0,0;25,45;519,15;63,72;0,0;0,0
2030-01-07 00:00:00;609,6;0,0;25,45;519,15;65,0;0,0;0,0
2030-01-07 01:00:00;611,16;0,0;25,45;519,15;66,57;0,0;0,0
2030-01-07 02:00:00;612,5;0,0;25,45;519,15;67,9;0,0;0,0
2030-01-07 03:00:00;613,56;0,0;25,45;519,15;68,96;0,0;0,0
2030-01-07 04:00:00;614,59;0,0;25,45;519,15;69,99;0,0;0,0
2030-01-07 05:00:00;615,59;0,0;25,45;519,15;70,99;0,0;0,0
2030-01-07 06:00:00;616,3;0,0;25,45;519,15;71,7;0,0;0,0
2030-01-07 07:00:00;617,68;0,0;25,45;519,15;73,08;0,0;0,0
2030-01-07 08:00:00;618,45;0,0;25,45;519,15;73,86;0,0;0,0
2030-01-07 09:00:00;617,18;0,0;25,45;519,15;72,58;0,0;0,0
2030-01-07 10:00:00;613,86;0,0;25,45;519,15;69,27;0,0;0,0
2030-01-07 11:00:00;607,69;0,0;25,45;519,15;63,09;0,0;0,0
2030-01-07 12:00:00;604,28;0,0;25,45;519,15;59,69;0,0;0,0
2030-01-07 13:00:00;603,36;0,0;25,45;519,15;58,76;0,0;0,0
2030-01-07 14:00:00;604,57;0,0;25,45;519,15;59,98;0,0;0,0
2030-01-07 15:00:00;605,83;0,0;25,45;519,15;61,24;0,0;0,0
2030-01-07 16:00:00;605,63;0,0;25,45;519,15;61,03;0,0;0,0
2030-01-07 17:00:00;605,72;0,0;25,45;519,15;61,12;0,0;0,0
2030-01-07 18:00:00;606,28;0,0;25,45;519,15;61,68;0,0;0,0
2030-01-07 19:00:00;606,91;0,0;25,45;519,15;62,31;0,0;0,0
2030-01-07 20:00:00;607,31;0,0;25,45;519,15;62,71;0,0;0,0
2030-01-07 21:00:00;607,99;0,0;25,45;519,15;63,4;0,0;0,0
2030-01-07 22:00:00;608,72;0,0;25,45;519,15;64,12;0,0;0,0
2030-01-07 23:00:00;609,47;0,0;25,45;519,15;64,88;0,0;0,0
2030-01-08 00:00:00;609,98;0,0;25,45;519,15;65,39;0,0;0,0
2030-01-08 01:00:00;610,76;0,0;25,45;519,15;66,16;0,0;0,0
2030-01-08 02:00:00;611,0;0,0;25,45;519,15;66,41;0,0;0,0
2030-01-08 03:00:00;611,2;0,0;25,45;519,15;66,61;0,0;0,0
2030-01-08 04:00:00;611,36;0,0;25,45;519,15;66,77;0,0;0,0
2030-01-08 05:00:00;611,49;0,0;25,45;519,15;66,9;0,0;0,0
2030-01-08 06:00:00;611,6;0,0;25,45;519,15;67,0;0,0;0,0
2030-01-08 07:00:00;612,13;0,0;25,45;519,15;67,53;0,0;0,0
2030-01-08 08:00:00;612,87;0,0;25,45;519,15;68,27;0,0;0,0
2030-01-08 09:00:00;611,52;0,0;25,45;519,15;66,92;0,0;0,0
2030-01-08 10:00:00;608,41;0,0;25,45;519,15;63,81;0,0;0,0
2030-01-08 11:00:00;603,08;0,0;25,45;519,15;58,48;0,0;0,0
2030-01-08 12:00:00;599,63;0,0;25,45;519,15;55,03;0,0;0,0
2030-01-08 13:00:00;598,29;0,0;25,45;519,15;53,69;0,0;0,0
2030-01-08 14:00:00;598,91;0,0;25,45;519,15;54,31;0,0;0,0
2030-01-08 15:00:00;599,44;0,0;25,45;519,15;54,85;0,0;0,0
2030-01-08 16:00:00;598,17;0,0;25,45;519,15;53,57;0,0;0,0
2030-01-08 17:00:00;598,8;0,0;25,45;519,15;54,2;0,0;0,0
2030-01-08 18:00:00;599,78;0,0;25,45;519,15;55,18;0,0;0,0
2030-01-08 19:00:00;601,19;0,0;25,45;519,15;56,59;0,0;0,0
2030-01-08 20:00:00;602,75;0,0;25,45;519,15;58,16;0,0;0,0
2030-01-08 21:00:00;604,17;0,0;25,45;519,15;59,58;0,0;0,0
2030-01-08 22:00:00;605,94;0,0;25,45;519,15;61,34;0,0;0,0
2030-01-08 23:00:00;607,52;0,0;25,45;519,15;62,92;0,0;0,0
2030-01-09 00:00:00;610,78;0,0;25,45;519,15;66,19;0,0;0,0
2030-01-09 01:00:00;614,28;0,0;25,45;519,15;69,68;0,0;0,0
2030-01-09 02:00:00;618,24;0,0;25,45;519,15;73,64;0,0;0,0
2030-01-09 03:00:00;621,01;0,0;25,45;519,15;76,41;0,0;0,0
2030-01-09 04:00:00;623,49;0,0;25,45;519,15;78,89;0,0;0,0
2030-01-09 05:00:00;626,2;0,0;25,45;519,15;81,6;0,0;0,0
2030-01-09 06:00:00;628,35;0,0;25,45;519,15;83,75;0,0;0,0
2030-01-09 07:00:00;630,88;0,0;25,45;519,15;86,29;0,0;0,0
2030-01-09 08:00:00;632,76;0,0;25,45;519,15;88,16;0,0;0,0
2030-01-09 09:00:00;633,13;0,0;25,45;519,15;88,54;0,0;0,0
2030-01-09 10:00:00;630,08;0,0;25,45;519,15;85,48;0,0;0,0
2030-01-09 11:00:00;624,87;0,0;25,45;519,15;80,28;0,0;0,0
2030-01-09 12:00:00;620,13;0,0;25,45;519,15;75,53;0,0;0,0
2030-01-09 13:00:00;618,1;0,0;25,45;519,15;73,5;0,0;0,0
2030-01-09 14:00:00;618,03;0,0;25,45;519,15;73,43;0,0;0,0
2030-01-09 15:00:00;618,73;0,0;25,45;519,15;74,13;0,0;0,0
2030-01-09 16:00:00;619,79;0,0;25,45;519,15;75,19;0,0;0,0
2030-01-09 17:00:00;621,34;0,0;25,45;519,15;76,74;0,0;0,0
2030-01-09 18:00:00;623,15;0,0;25,45;519,15;78,56;0,0;0,0
2030-01-09 19:00:00;625,05;0,0;25,45;519,15;80,45;0,0;0,0
2030-01-09 20:00:00;627,28;0,0;25,45;519,15;82,68;0,0;0,0
2030-01-09 21:00:00;629,32;0,0;25,45;519,15;84,73;0,0;0,0
2030-01-09 22:00:00;631,41;0,0;25,45;519,15;86,81;0,0;0,0
2030-01-09 23:00:00;633,79;0,0;25,45;519,15;89,19;0,0;0,0
2030-01-10 00:00:00;635,14;0,0;25,45;519,15;90,54;0,0;0,0
2030-01-10 01:00:00;636,13;0,0;25,45;519,15;91,53;0,0;0,0
2030-01-10 02:00:00;637,01;0,0;25,45;519,15;92,41;0,0;0,0
2030-01-10 03:00:00;637,81;0,0;25,45;519,15;93,21;0,0;0,0
2030-01-10 04:00:00;638,26;0,0;25,45;519,15;93,67;0,0;0,0
2030-01-10 05:00:00;638,91;0,0;25,45;519,15;94,31;0,0;0,0
2030-01-10 06:00:00;639,24;0,0;25,45;519,15;94,64;0,0;0,0
2030-01-10 07:00:00;640,23;0,0;25,45;519,15;95,63;0,0;0,0
2030-01-10 08:00:00;640,87;0,0;25,45;519,15;96,28;0,0;0,0
2030-01-10 09:00:00;641,84;0,0;25,45;519,15;97,25;0,0;0,0
2030-01-10 10:00:00;640,75;0,0;25,45;519,15;96,15;0,0;0,0
2030-01-10 11:00:00;638,19;0,0;25,45;519,15;93,59;0,0;0,0
2030-01-10 12:00:00;636,5;0,0;25,45;519,15;91,9;0,0;0,0
2030-01-10 13:00:00;632,22;0,0;25,45;519,15;87,62;0,0;0,0
2030-01-10 14:00:00;631,59;0,0;25,45;519,15;86,99;0,0;0,0
2030-01-10 15:00:00;630,96;0,0;25,45;519,15;86,37;0,0;0,0
2030-01-10 16:00:00;629,83;0,0;25,45;519,15;85,23;0,0;0,0
2030-01-10 17:00:00;630,2;0,0;25,45;519,15;85,6;0,0;0,0
2030-01-10 18:00:00;631,15;0,0;25,45;519,15;86,55;0,0;0,0
2030-01-10 19:00:00;632,26;0,0;25,45;519,15;87,66;0,0;0,0
2030-01-10 20:00:00;633,78;0,0;25,45;519,15;89,18;0,0;0,0
2030-01-10 21:00:00;635,16;0,0;25,45;519,15;90,56;0,0;0,0
2030-01-10 22:00:00;636,62;0,0;25,45;519,15;92,02;0,0;0,0
2030-01-10 23:00:00;638,14;0,0;25,45;519,15;93,54;0,0;0,0
2030-01-11 00:00:00;640,26;0,0;25,45;519,15;95,66;0,0;0,0
2030-01-11 01:00:00;642,49;0,0;25,45;519,15;97,89;0,0;0,0
2030-01-11 02:00:00;644,81;0,0;25,45;519,15;100,21;0,0;0,0
2030-01-11 03:00:00;646,37;0,0;25,45;519,15;101,77;0,0;0,0
2030-01-11 04:00:00;647,89;0,0;25,45;519,15;103,3;0,0;0,0
2030-01-11 05:00:00;649,65;0,0;25,45;519,15;105,06;0,0;0,0
2030-01-11 06:00:00;650,87;0,0;25,45;519,15;106,27;0,0;0,0
2030-01-11 07:00:00;652,48;0,0;25,45;519,15;107,88;0,0;0,0
2030-01-11 08:00:00;653,71;0,0;25,45;519,15;109,11;0,0;0,0
2030-01-11 09:00:00;651,77;0,0;25,45;519,15;107,17;0,0;0,0
2030-01-11 10:00:00;647,28;0,0;25,45;519,15;102,68;0,0;0,0
2030-01-11 11:00:00;641,79;0,0;25,45;519,15;97,2;0,0;0,0
2030-01-11 12:00:00;637,92;0,0;25,45;519,15;93,32;0,0;0,0
2030-01-11 13:00:00;636,83;0,0;25,45;519,15;92,24;0,0;0,0
2030-01-11 14:00:00;638,6;0,0;25,45;519,15;94,0;0,0;0,0
2030-01-11 15:00:00;640,27;0,0;25,45;519,15;95,67;0,0;0,0
2030-01-11 16:00:00;640,23;0,0;25,45;519,15;95,63;0,0;0,0
2030-01-11 17:00:00;641,27;0,0;25,45;519,15;96,68;0,0;0,0
2030-01-11 18:00:00;642,59;0,0;25,45;519,15;97,99;0,0;0,0
2030-01-11 19:00:00;643,99;0,0;25,45;519,15;99,4;0,0;0,0
2030-01-11 20:00:00;645,75;0,0;25,45;519,15;101,15;0,0;0,0
2030-01-11 21:00:00;647,32;0,0;25,45;519,15;102,72;0,0;0,0
2030-01-11 22:00:00;648,93;0,0;25,45;519,15;104,33;0,0;0,0
2030-01-11 23:00:00;650,85;0,0;25,45;519,15;106,25;0,0;0,0
2030-01-12 00:00:00;652,28;0,0;25,45;519,15;107,69;0,0;0,0
2030-01-12 01:00:00;653,7;0,0;25,45;519,15;109,1;0,0;0,0
2030-01-12 02:00:00;655,1;0,0;25,45;519,15;110,5;0,0;0,0
2030-01-12 03:00:00;656,22;0,0;25,45;519,15;111,62;0,0;0,0
2030-01-12 04:00:00;657,01;0,0;25,45;519,15;112,42;0,0;0,0
2030-01-12 05:00:00;658,02;0,0;25,45;519,15;113,42;0,0;0,0
2030-01-12 06:00:00;658,73;0,0;25,45;519,15;114,13;0,0;0,0
2030-01-12 07:00:00;659,39;0,0;25,45;519,15;114,79;0,0;0,0
2030-01-12 08:00:00;659,73;0,0;25,45;519,15;115,13;0,0;0,0
2030-01-12 09:00:00;659,46;0,0;25,45;519,15;114,86;0,0;0,0
2030-01-12 10:00:00;658,25;0,0;25,45;519,15;113,65;0,0;0,0
2030-01-12 11:00:00;656,02;0,0;25,45;519,15;111,42;0,0;0,0
2030-01-12 12:00:00;654,08;0,0;25,45;519,15;109,48;0,0;0,0
2030-01-12 13:00:00;652,2;0,0;25,45;519,15;107,6;0,0;0,0
2030-01-12 14:00:00;651,01;0,0;25,45;519,15;106,42;0,0;0,0
2030-01-12 15:00:00;650,63;0,0;25,45;519,15;106,04;0,0;0,0
2030-01-12 16:00:00;652,05;0,0;25,45;519,15;107,45;0,0;0,0
2030-01-12 17:00:00;652,54;0,0;25,45;519,15;107,95;0,0;0,0
2030-01-12 18:00:00;653,39;0,0;25,45;519,15;108,79;0,0;0,0
2030-01-12 19:00:00;654,33;0,0;25,45;519,15;109,74;0,0;0,0
2030-01-12 20:00:00;655,08;0,0;25,45;519,15;110,48;0,0;0,0
2030-01-12 21:00:00;655,85;0,0;25,45;519,15;111,26;0,0;0,0
2030-01-12 22:00:00;656,92;0,0;25,45;519,15;112,33;0,0;0,0
2030-01-12 23:00:00;657,77;0,0;25,45;519,15;113,18;0,0;0,0
2030-01-13 00:00:00;658,63;0,0;25,45;519,15;114,03;0,0;0,0
2030-01-13 01:00:00;659,5;0,0;25,45;519,15;114,9;0,0;0,0
2030-01-13 02:00:00;660,09;0,0;25,45;519,15;115,5;0,0;0,0
2030-01-13 03:00:00;660,66;0,0;25,45;519,15;116,06;0,0;0,0
2030-01-13 04:00:00;660,93;0,0;25,45;519,15;116,33;0,0;0,0
2030-01-13 05:00:00;661,42;0,0;25,45;519,15;116,83;0,0;0,0
2030-01-13 06:00:00;661,63;0,0;25,45;519,15;117,04;0,0;0,0
2030-01-13 07:00:00;662,08;0,0;25,45;519,15;117,48;0,0;0,0
2030-01-13 08:00:00;661,43;0,0;25,45;519,15;116,83;0,0;0,0
2030-01-13 09:00:00;656,83;0,0;25,45;519,15;112,23;0,0;0,0
2030-01-13 10:00:00;653,31;0,0;25,45;519,15;108,72;0,0;0,0
2030-01-13 11:00:00;649,1;0,0;25,45;519,15;104,5;0,0;0,0
2030-01-13 12:00:00;645,13;0,0;25,45;519,15;100,53;0,0;0,0
2030-01-13 13:00:00;641,7;0,0;25,45;519,15;97,1;0,0;0,0
2030-01-13 14:00:00;640,99;0,0;25,45;519,15;96,39;0,0;0,0
2030-01-13 15:00:00;642,12;0,0;25,45;519,15;97,53;0,0;0,0
2030-01-13 16:00:00;644,22;0,0;25,45;519,15;99,63;0,0;0,0
2030-01-13 17:00:00;645,31;0,0;25,45;519,15;100,71;0,0;0,0
2030-01-13 18:00:00;646,81;0,0;25,45;519,15;102,21;0,0;0,0
2030-01-13 19:00:00;648,17;0,0;25,45;519,15;103,58;0,0;0,0
2030-01-13 20:00:00;649,62;0,0;25,45;519,15;105,02;0,0;0,0
2030-01-13 21:00:00;651,13;0,0;25,45;519,15;106,54;0,0;0,0
2030-01-13 22:00:00;652,97;0,0;25,45;519,15;108,38;0,0;0,0
2030-01-13 23:00:00;654,61;0,0;25,45;519,15;110,02;0,0;0,0
2030-01-14 00:00:00;656,83;0,0;25,45;519,15;112,23;0,0;0,0
2030-01-14 01:00:00;659,41;0,0;25,45;519,15;114,81;0,0;0,0
2030-01-14 02:00:00;662,1;0,0;25,45;519,15;117,5;0,0;0,0
2030-01-14 03:00:00;664,05;0,0;25,45;519,15;119,45;0,0;0,0
2030-01-14 04:00:00;665,97;0,0;25,45;519,15;121,37;0,0;0,0
2030-01-14 05:00:00;668,13;0,0;25,45;519,15;123,53;0,0;0,0
2030-01-14 06:00:00;669,76;0,0;25,45;519,15;125,17;0,0;0,0
2030-01-14 07:00:00;671,79;0,0;25,45;519,15;127,19;0,0;0,0
2030-01-14 08:00:00;673,72;0,0;25,45;519,15;129,12;0,0;0,0
2030-01-14 09:00:00;674,61;0,0;25,45;519,15;130,02;0,0;0,0
2030-01-14 10:00:00;673,83;0,0;25,45;519,15;129,24;0,0;0,0
2030-01-14 11:00:00;670,11;0,0;25,45;519,15;125,51;0,0;0,0
2030-01-14 12:00:00;667,58;0,0;25,45;519,15;122,98;0,0;0,0
2030-01-14 13:00:00;665,29;0,0;25,45;519,15;120,69;0,0;0,0
2030-01-14 14:00:00;665,77;0,0;25,45;519,15;121,18;0,0;0,0
2030-01-14 15:00:00;666,23;0,0;25,45;519,15;121,63;0,0;0,0
2030-01-14 16:00:00;666,28;0,0;25,45;519,15;121,68;0,0;0,0
2030-01-14 17:00:00;664,56;0,0;25,45;519,15;119,96;0,0;0,0
2030-01-14 18:00:00;663,06;0,0;25,45;519,15;118,46;0,0;0,0
2030-01-14 19:00:00;661,41;0,0;25,45;519,15;116,81;0,0;0,0
2030-01-14 20:00:00;659,65;0,0;25,45;519,15;115,06;0,0;0,0
2030-01-14 21:00:00;657,53;0,0;25,45;519,15;112,93;0,0;0,0
2030-01-14 22:00:00;655,57;0,0;25,45;519,15;110,97;0,0;0,0
2030-01-14 23:00:00;653,56;0,0;25,45;519,15;108,96;0,0;0,0
