;('Biogas_s', 'District heating_s');('Biomasse_heat_s', 'District heating_s');('District heating_s', 'Heat storage_s');('District heating_s', 'Heat_demand_total_s');('District heating_s', 'excess_b_distheat_s');('Electric boiler_s', 'District heating_s');('GuD_s', 'District heating_s');('Heat storage_s', 'District heating_s');('Heatpump_air_s', 'District heating_s');('Heatpump_water_s', 'District heating_s');('ST_s', 'District heating_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-03 04:00:00;0,0;0,0;0,0;94,19;0,0;0,0;64,2;29,98;0,0;0,0;0,0
2030-01-03 05:00:00;0,0;0,0;0,0;95,85;0,0;0,0;64,2;31,65;0,0;0,0;0,0
2030-01-03 06:00:00;0,0;0,0;0,0;97,49;0,0;0,0;64,2;33,29;0,0;0,0;0,0
2030-01-03 07:00:00;0,0;0,0;0,0;99,27;0,0;0,0;64,2;35,07;0,0;0,0;0,0
2030-01-03 08:00:00;0,0;0,0;0,0;100,48;0,0;0,0;64,2;36,28;0,0;0,0;0,0
2030-01-03 09:00:00;0,0;0,0;0,0;97,39;0,0;0,0;64,2;33,18;0,0;0,0;0,0
2030-01-03 10:00:00;0,0;0,0;0,0;92,06;0,0;0,0;64,2;27,86;0,0;0,0;0,0
2030-01-03 11:00:00;0,0;0,0;0,0;85,67;0,0;0,0;64,2;21,47;0,0;0,0;0,0
2030-01-03 12:00:00;0,0;0,0;0,0;80,91;0,0;0,0;64,2;16,71;0,0;0,0;0,0
2030-01-03 13:00:00;0,0;0,0;0,0;79,15;0,0;0,0;64,2;14,95;0,0;0,0;0,0
2030-01-03 14:00:00;0,0;0,0;0,0;79,86;0,0;0,0;64,2;15,66;0,0;0,0;0,0
2030-01-03 15:00:00;0,0;0,0;0,0;81,79;0,0;0,0;64,2;17,59;0,0;0,0;0,0
2030-01-03 16:00:00;0,0;0,0;0,0;83,37;0,0;0,0;64,2;19,17;0,0;0,0;0,0
2030-01-03 17:00:00;0,0;0,0;0,0;84,69;0,0;0,0;64,2;20,49;0,0;0,0;0,0
2030-01-03 18:00:00;0,0;0,0;0,0;86,64;0,0;0,0;64,2;22,44;0,0;0,0;0,0
2030-01-03 19:00:00;0,0;0,0;0,0;88,67;0,0;0,0;64,2;24,46;0,0;0,0;0,0
2030-01-03 20:00:00;0,0;0,0;0,0;90,51;0,0;0,0;64,2;26,31;0,0;0,0;0,0
2030-01-03 21:00:00;0,0;0,0;0,0;92,61;0,0;0,0;64,2;28,41;0,0;0,0;0,0
2030-01-03 22:00:00;0,0;0,0;0,0;94,52;0,0;0,0;64,2;30,32;0,0;0,0;0,0
2030-01-03 23:00:00;0,0;0,0;0,0;96,67;0,0;0,0;64,2;32,47;0,0;0,0;0,0
2030-01-04 00:00:00;0,0;0,0;0,0;98,13;0,0;0,0;64,2;33,93;0,0;0,0;0,0
2030-01-04 01:00:00;0,0;0,0;0,0;99,78;0,0;0,0;64,2;35,58;0,0;0,0;0,0
2030-01-04 02:00:00;0,0;0,0;0,0;101,41;0,0;0,0;64,2;37,21;0,0;0,0;0,0
2030-01-04 03:00:00;0,0;0,0;0,0;102,78;0,0;0,0;64,2;38,58;0,0;0,0;0,0
2030-01-04 04:00:00;0,0;0,0;0,0;104,12;0,0;0,0;64,2;39,92;0,0;0,0;0,0
2030-01-04 05:00:00;0,0;0,0;0,0;105,42;0,0;0,0;64,2;41,22;0,0;0,0;0,0
2030-01-04 06:00:00;0,0;0,0;0,0;106,69;0,0;0,0;64,2;42,49;0,0;0,0;0,0
2030-01-04 07:00:00;0,0;0,0;0,0;108,34;0,0;0,0;64,2;44,13;0,0;0,0;0,0
2030-01-04 08:00:00;0,0;0,0;0,0;109,68;0,0;0,0;64,2;45,48;0,0;0,0;0,0
2030-01-04 09:00:00;0,0;0,0;0,0;106,54;0,0;0,0;64,2;42,34;0,0;0,0;0,0
2030-01-04 10:00:00;0,0;0,0;0,0;102,21;0,0;0,0;64,2;38,01;0,0;0,0;0,0
2030-01-04 11:00:00;0,0;0,0;0,0;96,65;0,0;0,0;64,2;32,45;0,0;0,0;0,0
2030-01-04 12:00:00;0,0;0,0;0,0;92,55;0,0;0,0;64,2;28,35;0,0;0,0;0,0
2030-01-04 13:00:00;0,0;0,0;0,0;91,25;0,0;0,0;64,2;27,05;0,0;0,0;0,0
2030-01-04 14:00:00;0,0;0,0;0,0;92,6;0,0;0,0;64,2;28,4;0,0;0,0;0,0
2030-01-04 15:00:00;0,0;0,0;0,0;94,77;0,0;0,0;64,2;30,57;0,0;0,0;0,0
2030-01-04 16:00:00;0,0;0,0;0,0;96,53;0,0;0,0;64,2;32,33;0,0;0,0;0,0
2030-01-04 17:00:00;0,0;0,0;0,0;96,32;0,0;0,0;64,2;32,12;0,0;0,0;0,0
2030-01-04 18:00:00;0,0;0,0;0,0;96,53;0,0;0,0;64,2;32,33;0,0;0,0;0,0
2030-01-04 19:00:00;0,0;0,0;0,0;96,61;0,0;0,0;64,2;32,41;0,0;0,0;0,0
2030-01-04 20:00:00;0,0;0,0;0,0;96,61;0,0;0,0;64,2;32,41;0,0;0,0;0,0
2030-01-04 21:00:00;0,0;0,0;0,0;96,54;0,0;0,0;64,2;32,34;0,0;0,0;0,0
2030-01-04 22:00:00;0,0;0,0;0,0;96,4;0,0;0,0;64,2;32,2;0,0;0,0;0,0
