;Bus;Sequence;Sum
0;Gas_e;(('Biogas_feedin_new_e', 'Gas_e'), 'flow');0,0
0;Gas_e;(('Gas_e', 'Gas_demand_total_e'), 'flow');2930217,78
0;Gas_e;(('Gas_e', 'Gas_storage_e'), 'flow');1018084,39
0;Gas_e;(('Gas_e', 'GuD_e'), 'flow');960137,91
0;Gas_e;(('Gas_e', 'Material_demand_Gas_e'), 'flow');3229,63
0;Gas_e;(('Gas_e', 'excess_b_gas_e'), 'flow');0,0
0;Gas_e;(('Gas_storage_e', 'Gas_e'), 'flow');967180,17
0;Gas_e;(('Hydrogen_feedin_e', 'Gas_e'), 'flow');0,0
0;Gas_e;(('Import_Gas_e', 'Gas_e'), 'flow');267852,24
0;Gas_e;(('Methanisation_e', 'Gas_e'), 'flow');0,0
