;('Biogas_feedin_existing_e', 'Gas_e');('Biogas_feedin_new_e', 'Gas_e');('Gas_e', 'Gas_demand_total_e');('Gas_e', 'Gas_storage_e');('Gas_e', 'GuD_e');('Gas_e', 'Material_demand_Gas_e');('Gas_e', 'excess_b_gas_e');('Gas_storage_e', 'Gas_e');('Hydrogen_feedin_e', 'Gas_e');('Import_Gas_e', 'Gas_e');('Methanisation_e', 'Gas_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-03 03:00:00;419,76;0,0;534,38;0,0;219,89;0,37;0,0;0,0;0,0;334,88;0,0
2030-01-03 04:00:00;419,76;0,0;572,5;0,0;219,89;0,37;0,0;0,0;0,0;373,01;0,0
2030-01-03 05:00:00;419,76;0,0;622,48;0,0;219,89;0,37;0,0;0,0;0,0;422,99;0,0
2030-01-03 06:00:00;419,76;0,0;701,9;0,0;219,89;0,37;0,0;0,0;0,0;502,41;0,0
2030-01-03 07:00:00;419,76;0,0;751,0;0,0;219,89;0,37;0,0;0,0;0,0;551,51;0,0
2030-01-03 08:00:00;419,76;0,0;767,16;0,0;219,89;0,37;0,0;0,0;0,0;567,67;0,0
2030-01-03 09:00:00;419,76;0,0;757,46;0,0;219,89;0,37;0,0;0,0;0,0;557,96;0,0
2030-01-03 10:00:00;419,76;0,0;731,82;0,0;219,89;0,37;0,0;532,33;0,0;0,0;0,0
2030-01-03 11:00:00;419,76;0,0;700,04;0,0;219,89;0,37;0,0;0,0;0,0;500,54;0,0
2030-01-03 12:00:00;419,76;0,0;659,9;0,0;219,89;0,37;0,0;0,0;0,0;460,41;0,0
2030-01-03 13:00:00;419,76;0,0;633,9;0,0;219,89;0,37;0,0;0,0;0,0;434,4;0,0
2030-01-03 14:00:00;419,76;0,0;630,01;0,0;219,89;0,37;0,0;0,0;0,0;430,51;0,0
2030-01-03 15:00:00;419,76;0,0;619,35;0,0;219,89;0,37;0,0;0,0;0,0;419,85;0,0
2030-01-03 16:00:00;419,76;0,0;613,45;0,0;219,89;0,37;0,0;0,0;0,0;413,95;0,0
2030-01-03 17:00:00;419,76;0,0;596,49;0,0;219,89;0,37;0,0;397,0;0,0;0,0;0,0
2030-01-03 18:00:00;419,76;0,0;579,23;0,0;219,89;0,37;0,0;0,0;0,0;379,73;0,0
2030-01-03 19:00:00;419,76;0,0;553,24;0,0;219,89;0,37;0,0;0,0;0,0;353,75;0,0
2030-01-03 20:00:00;419,76;0,0;531,94;0,0;219,89;0,37;0,0;0,0;0,0;332,45;0,0
2030-01-03 21:00:00;419,76;0,0;519,94;0,0;219,89;0,37;0,0;0,0;0,0;320,44;0,0
2030-01-03 22:00:00;419,76;0,0;508,06;0,0;219,89;0,37;0,0;0,0;0,0;308,56;0,0
2030-01-03 23:00:00;419,76;0,0;514,79;0,0;219,89;0,37;0,0;0,0;0,0;315,29;0,0
2030-01-04 00:00:00;419,76;0,0;518,19;0,0;219,89;0,37;0,0;318,7;0,0;0,0;0,0
2030-01-04 01:00:00;419,76;0,0;520,62;0,0;219,89;0,37;0,0;0,0;0,0;321,12;0,0
2030-01-04 02:00:00;419,76;0,0;530,46;0,0;219,89;0,37;0,0;0,0;0,0;330,96;0,0
2030-01-04 03:00:00;419,76;0,0;539,95;0,0;219,89;0,37;0,0;0,0;0,0;340,46;0,0
2030-01-04 04:00:00;419,76;0,0;575,72;0,0;219,89;0,37;0,0;0,0;0,0;376,23;0,0
2030-01-04 05:00:00;419,76;0,0;621,3;0,0;219,89;0,37;0,0;0,0;0,0;421,81;0,0
