;('Import_Oil_n', 'Oil_fuel_n');('Import_Synthetic_fuel_n', 'Oil_fuel_n');('Oil_fuel_n', 'Material_demand_Oil_n');('Oil_fuel_n', 'Mobility_demand_total_n');('Oil_fuel_n', 'Oil_demand_total_n');('Oil_fuel_n', 'excess_b_oil_fuel_n');('PtL_n', 'Oil_fuel_n')
;flow;flow;flow;flow;flow;flow;flow
2030-01-04 01:00:00;350,25;0,0;15,8;265,84;68,61;0,0;0,0
2030-01-04 02:00:00;351,84;0,0;15,8;265,84;70,2;0,0;0,0
2030-01-04 03:00:00;352,93;0,0;15,8;265,84;71,29;0,0;0,0
2030-01-04 04:00:00;354,14;0,0;15,8;265,84;72,5;0,0;0,0
2030-01-04 05:00:00;355,33;0,0;15,8;265,84;73,69;0,0;0,0
2030-01-04 06:00:00;356,33;0,0;15,8;265,84;74,69;0,0;0,0
2030-01-04 07:00:00;357,59;0,0;15,8;265,84;75,94;0,0;0,0
2030-01-04 08:00:00;358,61;0,0;15,8;265,84;76,97;0,0;0,0
2030-01-04 09:00:00;356,43;0,0;15,8;265,84;74,78;0,0;0,0
2030-01-04 10:00:00;353,03;0,0;15,8;265,84;71,39;0,0;0,0
2030-01-04 11:00:00;348,72;0,0;15,8;265,84;67,08;0,0;0,0
2030-01-04 12:00:00;345,96;0,0;15,8;265,84;64,32;0,0;0,0
2030-01-04 13:00:00;345,0;0,0;15,8;265,84;63,36;0,0;0,0
2030-01-04 14:00:00;345,78;0,0;15,8;265,84;64,13;0,0;0,0
2030-01-04 15:00:00;347,33;0,0;15,8;265,84;65,68;0,0;0,0
2030-01-04 16:00:00;348,7;0,0;15,8;265,84;67,06;0,0;0,0
2030-01-04 17:00:00;348,54;0,0;15,8;265,84;66,9;0,0;0,0
2030-01-04 18:00:00;348,5;0,0;15,8;265,84;66,86;0,0;0,0
2030-01-04 19:00:00;348,54;0,0;15,8;265,84;66,9;0,0;0,0
2030-01-04 20:00:00;348,34;0,0;15,8;265,84;66,7;0,0;0,0
2030-01-04 21:00:00;348,08;0,0;15,8;265,84;66,44;0,0;0,0
2030-01-04 22:00:00;347,93;0,0;15,8;265,84;66,29;0,0;0,0
2030-01-04 23:00:00;347,59;0,0;15,8;265,84;65,94;0,0;0,0
2030-01-05 00:00:00;346,69;0,0;15,8;265,84;65,05;0,0;0,0
2030-01-05 01:00:00;345,7;0,0;15,8;265,84;64,06;0,0;0,0
