;('Biogas_feedin_existing_s', 'Gas_s');('Biogas_feedin_new_s', 'Gas_s');('Gas_s', 'Gas_demand_total_s');('Gas_s', 'Gas_storage_s');('Gas_s', 'GuD_s');('Gas_s', 'Material_demand_Gas_s');('Gas_s', 'excess_b_gas_s');('Gas_storage_s', 'Gas_s');('Hydrogen_feedin_s', 'Gas_s');('Import_Gas_s', 'Gas_s');('Methanisation_s', 'Gas_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;327,16;0,0;280,82;0,0;149,3;0,28;0,0;0,0;0,0;103,24;0,0
2030-01-01 01:00:00;327,16;0,0;304,93;0,0;149,3;0,28;0,0;0,0;0,0;127,35;0,0
2030-01-01 02:00:00;327,16;0,0;326,84;0,0;149,3;0,28;0,0;0,0;0,0;149,26;0,0
2030-01-01 03:00:00;327,16;0,0;352,51;0,0;149,3;0,28;0,0;0,0;0,0;174,92;0,0
2030-01-01 04:00:00;327,16;0,0;374,21;0,0;149,3;0,28;0,0;0,0;0,0;196,63;0,0
2030-01-01 05:00:00;327,16;0,0;397,69;0,0;149,3;0,28;0,0;0,0;0,0;220,11;0,0
2030-01-01 06:00:00;327,16;0,0;391,13;0,0;149,3;0,28;0,0;0,0;0,0;213,55;0,0
2030-01-01 07:00:00;327,16;0,0;404,04;0,0;149,3;0,28;0,0;0,0;0,0;226,46;0,0
2030-01-01 08:00:00;327,16;0,0;413,87;0,0;149,3;0,28;0,0;0,0;0,0;236,29;0,0
2030-01-01 09:00:00;327,16;0,0;408,49;0,0;149,3;0,28;0,0;0,0;0,0;230,91;0,0
2030-01-01 10:00:00;327,16;0,0;403,61;0,0;149,3;0,28;0,0;226,03;0,0;0,0;0,0
2030-01-01 11:00:00;327,16;0,0;397,68;0,0;149,3;0,28;0,0;0,0;0,0;220,1;0,0
2030-01-01 12:00:00;327,16;0,0;390,7;0,0;149,3;0,28;0,0;0,0;0,0;213,11;0,0
2030-01-01 13:00:00;327,16;0,0;378,28;0,0;149,3;0,28;0,0;0,0;0,0;200,7;0,0
2030-01-01 14:00:00;327,16;0,0;382,4;0,0;149,3;0,28;0,0;0,0;0,0;204,82;0,0
2030-01-01 15:00:00;327,16;0,0;386,39;0,0;149,3;0,28;0,0;0,0;0,0;208,81;0,0
2030-01-01 16:00:00;327,16;0,0;387,37;0,0;149,3;0,28;0,0;0,0;0,0;209,79;0,0
2030-01-01 17:00:00;327,16;0,0;395,37;0,0;149,3;0,28;0,0;0,0;0,0;217,79;0,0
2030-01-01 18:00:00;327,16;0,0;399,12;0,0;149,3;0,28;0,0;0,0;0,0;221,54;0,0
2030-01-01 19:00:00;327,16;0,0;404,55;0,0;149,3;0,28;0,0;0,0;0,0;226,97;0,0
2030-01-01 20:00:00;327,16;0,0;401,02;0,0;149,3;0,28;0,0;0,0;0,0;223,44;0,0
2030-01-01 21:00:00;327,16;0,0;412,68;0,0;149,3;0,28;0,0;0,0;0,0;235,1;0,0
2030-01-01 22:00:00;327,16;0,0;406,6;0,0;149,3;0,28;0,0;229,02;0,0;0,0;0,0
2030-01-01 23:00:00;327,16;0,0;419,01;0,0;149,3;0,28;0,0;0,0;0,0;241,43;0,0
2030-01-02 00:00:00;327,16;0,0;375,03;0,0;149,3;0,28;0,0;0,0;0,0;197,45;0,0
2030-01-02 01:00:00;327,16;0,0;376,49;0,0;149,3;0,28;0,0;0,0;0,0;198,91;0,0
2030-01-02 02:00:00;327,16;0,0;377,11;0,0;149,3;0,28;0,0;0,0;0,0;199,53;0,0
2030-01-02 03:00:00;327,16;0,0;385,52;0,0;149,3;0,28;0,0;0,0;0,0;207,94;0,0
2030-01-02 04:00:00;327,16;0,0;393,0;0,0;149,3;0,28;0,0;0,0;0,0;215,42;0,0
2030-01-02 05:00:00;327,16;0,0;402,96;0,0;149,3;0,28;0,0;0,0;0,0;225,38;0,0
2030-01-02 06:00:00;327,16;0,0;388,84;0,0;149,3;0,28;0,0;0,0;0,0;211,26;0,0
2030-01-02 07:00:00;327,16;0,0;392,9;0,0;149,3;0,28;0,0;0,0;0,0;215,32;0,0
2030-01-02 08:00:00;327,16;0,0;395,41;0,0;149,3;0,28;0,0;0,0;0,0;217,83;0,0
2030-01-02 09:00:00;327,16;0,0;385,13;0,0;149,3;0,28;0,0;207,55;0,0;0,0;0,0
2030-01-02 10:00:00;327,16;0,0;376,21;0,0;149,3;0,28;0,0;0,0;0,0;198,63;0,0
2030-01-02 11:00:00;327,16;0,0;367,61;0,0;149,3;0,28;0,0;0,0;0,0;190,02;0,0
2030-01-02 12:00:00;327,16;0,0;356,25;0,0;149,3;0,28;0,0;0,0;0,0;178,67;0,0
2030-01-02 13:00:00;327,16;0,0;341,13;0,0;149,3;0,28;0,0;0,0;0,0;163,55;0,0
2030-01-02 14:00:00;327,16;0,0;342,61;0,0;149,3;0,28;0,0;0,0;0,0;165,03;0,0
2030-01-02 15:00:00;327,16;0,0;344,66;0,0;149,3;0,28;0,0;0,0;0,0;167,08;0,0
2030-01-02 16:00:00;327,16;0,0;343,32;0,0;149,3;0,28;0,0;0,0;0,0;165,74;0,0
2030-01-02 17:00:00;327,16;0,0;352,3;0,0;149,3;0,28;0,0;0,0;0,0;174,72;0,0
2030-01-02 18:00:00;327,16;0,0;356,73;0,0;149,3;0,28;0,0;0,0;0,0;179,15;0,0
2030-01-02 19:00:00;327,16;0,0;363,5;0,0;149,3;0,28;0,0;185,92;0,0;0,0;0,0
2030-01-02 20:00:00;327,16;0,0;361,97;0,0;149,3;0,28;0,0;0,0;0,0;184,39;0,0
2030-01-02 21:00:00;327,16;0,0;373,99;0,0;149,3;0,28;0,0;0,0;0,0;196,41;0,0
2030-01-02 22:00:00;327,16;0,0;371,52;0,0;149,3;0,28;0,0;0,0;0,0;193,94;0,0
2030-01-02 23:00:00;327,16;0,0;385,08;0,0;149,3;0,28;0,0;0,0;0,0;207,5;0,0
2030-01-03 00:00:00;327,16;0,0;424,87;0,0;149,3;0,28;0,0;0,0;0,0;247,29;0,0
2030-01-03 01:00:00;327,16;0,0;429,66;0,0;149,3;0,28;0,0;0,0;0,0;252,08;0,0
2030-01-03 02:00:00;327,16;0,0;441,0;0,0;149,3;0,28;0,0;0,0;0,0;263,42;0,0
2030-01-03 03:00:00;327,16;0,0;452,4;0,0;149,3;0,28;0,0;0,0;0,0;274,82;0,0
2030-01-03 04:00:00;327,16;0,0;486,44;0,0;149,3;0,28;0,0;0,0;0,0;308,86;0,0
2030-01-03 05:00:00;327,16;0,0;527,45;0,0;149,3;0,28;0,0;0,0;0,0;349,87;0,0
2030-01-03 06:00:00;327,16;0,0;587,26;0,0;149,3;0,28;0,0;0,0;0,0;409,68;0,0
2030-01-03 07:00:00;327,16;0,0;618,48;0,0;149,3;0,28;0,0;0,0;0,0;440,9;0,0
2030-01-03 08:00:00;327,16;0,0;628,79;0,0;149,3;0,28;0,0;0,0;0,0;451,21;0,0
2030-01-03 09:00:00;327,16;0,0;616,11;0,0;149,3;0,28;0,0;0,0;0,0;438,53;0,0
2030-01-03 10:00:00;327,16;0,0;593,51;0,0;149,3;0,28;0,0;0,0;0,0;415,92;0,0
2030-01-03 11:00:00;327,16;0,0;566,44;0,0;149,3;0,28;0,0;0,0;0,0;388,85;0,0
2030-01-03 12:00:00;327,16;0,0;544,54;0,0;149,3;0,28;0,0;0,0;0,0;366,96;0,0
2030-01-03 13:00:00;327,16;0,0;532,04;0,0;149,3;0,28;0,0;0,0;0,0;354,46;0,0
2030-01-03 14:00:00;327,16;0,0;531,26;0,0;149,3;0,28;0,0;0,0;0,0;353,68;0,0
2030-01-03 15:00:00;327,16;0,0;523,5;0,0;149,3;0,28;0,0;0,0;0,0;345,92;0,0
2030-01-03 16:00:00;327,16;0,0;521,52;0,0;149,3;0,28;0,0;343,94;0,0;0,0;0,0
2030-01-03 17:00:00;327,16;0,0;509,56;0,0;149,3;0,28;0,0;0,0;0,0;331,98;0,0
2030-01-03 18:00:00;327,16;0,0;497,42;0,0;149,3;0,28;0,0;0,0;0,0;319,84;0,0
2030-01-03 19:00:00;327,16;0,0;482,49;0,0;149,3;0,28;0,0;0,0;0,0;304,91;0,0
2030-01-03 20:00:00;327,16;0,0;472,19;0,0;149,3;0,28;0,0;0,0;0,0;294,61;0,0
2030-01-03 21:00:00;327,16;0,0;465,11;0,0;149,3;0,28;0,0;0,0;0,0;287,53;0,0
2030-01-03 22:00:00;327,16;0,0;455,18;0,0;149,3;0,28;0,0;0,0;0,0;277,6;0,0
2030-01-03 23:00:00;327,16;0,0;462,95;0,0;149,3;0,28;0,0;0,0;0,0;285,37;0,0
2030-01-04 00:00:00;327,16;0,0;464,51;0,0;149,3;0,28;0,0;0,0;0,0;286,93;0,0
2030-01-04 01:00:00;327,16;0,0;466,65;0,0;149,3;0,28;0,0;0,0;0,0;289,07;0,0
2030-01-04 02:00:00;327,16;0,0;475,46;0,0;149,3;0,28;0,0;0,0;0,0;297,88;0,0
2030-01-04 03:00:00;327,16;0,0;485,34;0,0;149,3;0,28;0,0;0,0;0,0;307,76;0,0
2030-01-04 04:00:00;327,16;0,0;517,78;0,0;149,3;0,28;0,0;0,0;0,0;340,2;0,0
2030-01-04 05:00:00;327,16;0,0;557,88;0,0;149,3;0,28;0,0;0,0;0,0;380,3;0,0
2030-01-04 06:00:00;327,16;0,0;617,19;0,0;149,3;0,28;0,0;0,0;0,0;439,61;0,0
2030-01-04 07:00:00;327,16;0,0;648,53;0,0;149,3;0,28;0,0;0,0;0,0;470,95;0,0
2030-01-04 08:00:00;327,16;0,0;659,33;0,0;149,3;0,28;0,0;0,0;0,0;481,75;0,0
2030-01-04 09:00:00;327,16;0,0;646,36;0,0;149,3;0,28;0,0;0,0;0,0;468,78;0,0
2030-01-04 10:00:00;327,16;0,0;626,59;0,0;149,3;0,28;0,0;0,0;0,0;449,01;0,0
2030-01-04 11:00:00;327,16;0,0;601,91;0,0;149,3;0,28;0,0;0,0;0,0;424,32;0,0
2030-01-04 12:00:00;327,16;0,0;581,82;0,0;149,3;0,28;0,0;0,0;0,0;404,24;0,0
2030-01-04 13:00:00;327,16;0,0;570,57;0,0;149,3;0,28;0,0;0,0;0,0;392,99;0,0
2030-01-04 14:00:00;327,16;0,0;571,68;0,0;149,3;0,28;0,0;0,0;0,0;394,1;0,0
2030-01-04 15:00:00;327,16;0,0;564,61;0,0;149,3;0,28;0,0;0,0;0,0;387,03;0,0
2030-01-04 16:00:00;327,16;0,0;563,18;0,0;149,3;0,28;0,0;0,0;0,0;385,6;0,0
2030-01-04 17:00:00;327,16;0,0;546,58;0,0;149,3;0,28;0,0;369,0;0,0;0,0;0,0
2030-01-04 18:00:00;327,16;0,0;529,07;0,0;149,3;0,28;0,0;0,0;0,0;351,49;0,0
2030-01-04 19:00:00;327,16;0,0;508,01;0,0;149,3;0,28;0,0;0,0;0,0;330,43;0,0
2030-01-04 20:00:00;327,16;0,0;491,86;0,0;149,3;0,28;0,0;0,0;0,0;314,28;0,0
2030-01-04 21:00:00;327,16;0,0;478,11;0,0;149,3;0,28;0,0;0,0;0,0;300,53;0,0
2030-01-04 22:00:00;327,16;0,0;462,01;0,0;149,3;0,28;0,0;0,0;0,0;284,43;0,0
2030-01-04 23:00:00;327,16;0,0;462,78;0,0;149,3;0,28;0,0;0,0;0,0;285,2;0,0
2030-01-05 00:00:00;327,16;0,0;457,59;0,0;149,3;0,28;0,0;0,0;0,0;280,01;0,0
2030-01-05 01:00:00;327,16;0,0;450,14;0,0;149,3;0,28;0,0;0,0;0,0;272,56;0,0
2030-01-05 02:00:00;327,16;0,0;448,98;0,0;149,3;0,28;0,0;0,0;0,0;271,4;0,0
2030-01-05 03:00:00;327,16;0,0;451,4;0,0;149,3;0,28;0,0;0,0;0,0;273,81;0,0
2030-01-05 04:00:00;327,16;0,0;475,9;0,0;149,3;0,28;0,0;0,0;0,0;298,32;0,0
2030-01-05 05:00:00;327,16;0,0;508,97;0,0;149,3;0,28;0,0;0,0;0,0;331,38;0,0
2030-01-05 06:00:00;327,16;0,0;562,18;0,0;149,3;0,28;0,0;0,0;0,0;384,6;0,0
2030-01-05 07:00:00;327,16;0,0;586,14;0,0;149,3;0,28;0,0;0,0;0,0;408,56;0,0
2030-01-05 08:00:00;327,16;0,0;590,3;0,0;149,3;0,28;0,0;0,0;0,0;412,72;0,0
2030-01-05 09:00:00;327,16;0,0;580,93;0,0;149,3;0,28;0,0;0,0;0,0;403,35;0,0
2030-01-05 10:00:00;327,16;0,0;565,18;0,0;149,3;0,28;0,0;0,0;0,0;387,6;0,0
2030-01-05 11:00:00;327,16;0,0;544,04;0,0;149,3;0,28;0,0;0,0;0,0;366,46;0,0
2030-01-05 12:00:00;327,16;0,0;525,79;0,0;149,3;0,28;0,0;0,0;0,0;348,21;0,0
2030-01-05 13:00:00;327,16;0,0;508,26;0,0;149,3;0,28;0,0;0,0;0,0;330,68;0,0
2030-01-05 14:00:00;327,16;0,0;501,15;0,0;149,3;0,28;0,0;0,0;0,0;323,57;0,0
2030-01-05 15:00:00;327,16;0,0;485,95;0,0;149,3;0,28;0,0;308,37;0,0;0,0;0,0
2030-01-05 16:00:00;327,16;0,0;483,61;0,0;149,3;0,28;0,0;0,0;0,0;306,03;0,0
2030-01-05 17:00:00;327,16;0,0;464,49;0,0;149,3;0,28;0,0;0,0;0,0;286,91;0,0
2030-01-05 18:00:00;327,16;0,0;443,77;0,0;149,3;0,28;0,0;0,0;0,0;266,19;0,0
2030-01-05 19:00:00;327,16;0,0;420,15;0,0;149,3;0,28;0,0;0,0;0,0;242,57;0,0
2030-01-05 20:00:00;327,16;0,0;401,1;0,0;149,3;0,28;0,0;0,0;0,0;223,52;0,0
2030-01-05 21:00:00;327,16;0,0;385,07;0,0;149,3;0,28;0,0;0,0;0,0;207,49;0,0
2030-01-05 22:00:00;327,16;0,0;367,03;0,0;149,3;0,28;0,0;0,0;0,0;189,45;0,0
2030-01-05 23:00:00;327,16;0,0;366,85;0,0;149,3;0,28;0,0;0,0;0,0;189,27;0,0
2030-01-06 00:00:00;327,16;0,0;366,79;0,0;149,3;0,28;0,0;0,0;0,0;189,21;0,0
2030-01-06 01:00:00;327,16;0,0;365,87;0,0;149,3;0,28;0,0;0,0;0,0;188,29;0,0
2030-01-06 02:00:00;327,16;0,0;371,34;0,0;149,3;0,28;0,0;0,0;0,0;193,76;0,0
2030-01-06 03:00:00;327,16;0,0;378,68;0,0;149,3;0,28;0,0;0,0;0,0;201,09;0,0
2030-01-06 04:00:00;327,16;0,0;408,49;0,0;149,3;0,28;0,0;0,0;0,0;230,91;0,0
2030-01-06 05:00:00;327,16;0,0;446,58;0,0;149,3;0,28;0,0;0,0;0,0;269,0;0,0
2030-01-06 06:00:00;327,16;0,0;506,06;0,0;149,3;0,28;0,0;0,0;0,0;328,48;0,0
2030-01-06 07:00:00;327,16;0,0;535,34;0,0;149,3;0,28;0,0;0,0;0,0;357,76;0,0
2030-01-06 08:00:00;327,16;0,0;541,38;0,0;149,3;0,28;0,0;0,0;0,0;363,8;0,0
2030-01-06 09:00:00;327,16;0,0;521,06;0,0;149,3;0,28;0,0;0,0;0,0;343,47;0,0
2030-01-06 10:00:00;327,16;0,0;497,32;0,0;149,3;0,28;0,0;0,0;0,0;319,74;0,0
2030-01-06 11:00:00;327,16;0,0;472,25;0,0;149,3;0,28;0,0;0,0;0,0;294,67;0,0
2030-01-06 12:00:00;327,16;0,0;450,97;0,0;149,3;0,28;0,0;273,39;0,0;0,0;0,0
2030-01-06 13:00:00;327,16;0,0;434,26;0,0;149,3;0,28;0,0;0,0;0,0;256,68;0,0
2030-01-06 14:00:00;327,16;0,0;428,27;0,0;149,3;0,28;0,0;0,0;0,0;250,69;0,0
2030-01-06 15:00:00;327,16;0,0;418,98;0,0;149,3;0,28;0,0;0,0;0,0;241,39;0,0
2030-01-06 16:00:00;327,16;0,0;421,28;0,0;149,3;0,28;0,0;0,0;0,0;243,7;0,0
2030-01-06 17:00:00;327,16;0,0;407,99;0,0;149,3;0,28;0,0;0,0;0,0;230,41;0,0
2030-01-06 18:00:00;327,16;0,0;393,17;0,0;149,3;0,28;0,0;0,0;0,0;215,59;0,0
2030-01-06 19:00:00;327,16;0,0;373,59;0,0;149,3;0,28;0,0;0,0;0,0;196,0;0,0
2030-01-06 20:00:00;327,16;0,0;359,27;0,0;149,3;0,28;0,0;0,0;0,0;181,68;0,0
2030-01-06 21:00:00;327,16;0,0;349,29;0,0;149,3;0,28;0,0;0,0;0,0;171,71;0,0
2030-01-06 22:00:00;327,16;0,0;336,95;0,0;149,3;0,28;0,0;159,37;0,0;0,0;0,0
2030-01-06 23:00:00;327,16;0,0;341,93;0,0;149,3;0,28;0,0;0,0;0,0;164,35;0,0
2030-01-07 00:00:00;327,16;0,0;346,85;0,0;149,3;0,28;0,0;0,0;0,0;169,27;0,0
2030-01-07 01:00:00;327,16;0,0;348,68;0,0;149,3;0,28;0,0;0,0;0,0;171,1;0,0
2030-01-07 02:00:00;327,16;0,0;358,12;0,0;149,3;0,28;0,0;0,0;0,0;180,54;0,0
2030-01-07 03:00:00;327,16;0,0;367,06;0,0;149,3;0,28;0,0;0,0;0,0;189,48;0,0
2030-01-07 04:00:00;327,16;0,0;399,21;0,0;149,3;0,28;0,0;0,0;0,0;221,63;0,0
2030-01-07 05:00:00;327,16;0,0;440,6;0,0;149,3;0,28;0,0;0,0;0,0;263,02;0,0
2030-01-07 06:00:00;327,16;0,0;503,63;0,0;149,3;0,28;0,0;0,0;0,0;326,04;0,0
2030-01-07 07:00:00;327,16;0,0;538,55;0,0;149,3;0,28;0,0;0,0;0,0;360,97;0,0
2030-01-07 08:00:00;327,16;0,0;550,51;0,0;149,3;0,28;0,0;0,0;0,0;372,93;0,0
2030-01-07 09:00:00;327,16;0,0;548,92;0,0;149,3;0,28;0,0;0,0;0,0;371,34;0,0
2030-01-07 10:00:00;327,16;0,0;540,62;0,0;149,3;0,28;0,0;0,0;0,0;363,04;0,0
2030-01-07 11:00:00;327,16;0,0;526,76;0,0;149,3;0,28;0,0;0,0;0,0;349,17;0,0
2030-01-07 12:00:00;327,16;0,0;515,2;0,0;149,3;0,28;0,0;0,0;0,0;337,61;0,0
2030-01-07 13:00:00;327,16;0,0;498,05;0,0;149,3;0,28;0,0;0,0;0,0;320,47;0,0
2030-01-07 14:00:00;327,16;0,0;493,66;0,0;149,3;0,28;0,0;0,0;0,0;316,08;0,0
2030-01-07 15:00:00;327,16;0,0;478,85;0,0;149,3;0,28;0,0;0,0;0,0;301,27;0,0
2030-01-07 16:00:00;327,16;0,0;468,98;0,0;149,3;0,28;0,0;0,0;0,0;291,39;0,0
2030-01-07 17:00:00;327,16;0,0;452,66;0,0;149,3;0,28;0,0;0,0;0,0;275,07;0,0
2030-01-07 18:00:00;327,16;0,0;435,78;0,0;149,3;0,28;0,0;258,2;0,0;0,0;0,0
2030-01-07 19:00:00;327,16;0,0;413,39;0,0;149,3;0,28;0,0;0,0;0,0;235,8;0,0
2030-01-07 20:00:00;327,16;0,0;397,08;0,0;149,3;0,28;0,0;0,0;0,0;219,5;0,0
2030-01-07 21:00:00;327,16;0,0;384,62;0,0;149,3;0,28;0,0;0,0;0,0;207,03;0,0
2030-01-07 22:00:00;327,16;0,0;371,52;0,0;149,3;0,28;0,0;0,0;0,0;193,94;0,0
2030-01-07 23:00:00;327,16;0,0;375,39;0,0;149,3;0,28;0,0;0,0;0,0;197,81;0,0
2030-01-08 00:00:00;327,16;0,0;312,05;0,0;149,3;0,28;0,0;0,0;0,0;134,47;0,0
2030-01-08 01:00:00;327,16;0,0;313,82;0,0;149,3;0,28;0,0;0,0;0,0;136,24;0,0
2030-01-08 02:00:00;327,16;0,0;318,65;0,0;149,3;0,28;0,0;141,07;0,0;0,0;0,0
2030-01-08 03:00:00;327,16;0,0;319,56;0,0;149,3;0,28;0,0;0,0;0,0;141,98;0,0
2030-01-08 04:00:00;327,16;0,0;325,74;0,0;149,3;0,28;0,0;0,0;0,0;148,16;0,0
2030-01-08 05:00:00;327,16;0,0;329,97;0,0;149,3;0,28;0,0;0,0;0,0;152,39;0,0
2030-01-08 06:00:00;327,16;0,0;367,03;0,0;149,3;0,28;0,0;0,0;0,0;189,45;0,0
2030-01-08 07:00:00;327,16;0,0;380,03;0,0;149,3;0,28;0,0;0,0;0,0;202,45;0,0
2030-01-08 08:00:00;327,16;0,0;389,4;0,0;149,3;0,28;0,0;0,0;0,0;211,82;0,0
2030-01-08 09:00:00;327,16;0,0;387,43;0,0;149,3;0,28;0,0;0,0;0,0;209,85;0,0
2030-01-08 10:00:00;327,16;0,0;382,3;0,0;149,3;0,28;0,0;0,0;0,0;204,72;0,0
2030-01-08 11:00:00;327,16;0,0;367,45;0,0;149,3;0,28;0,0;0,0;0,0;189,87;0,0
2030-01-08 12:00:00;327,16;0,0;347,22;0,0;149,3;0,28;0,0;0,0;0,0;169,64;0,0
2030-01-08 13:00:00;327,16;0,0;322,24;0,0;149,3;0,28;0,0;144,66;0,0;0,0;0,0
2030-01-08 14:00:00;327,16;0,0;303,31;0,0;149,3;0,28;0,0;0,0;0,0;125,73;0,0
2030-01-08 15:00:00;327,16;0,0;287,91;0,0;149,3;0,28;0,0;0,0;0,0;110,32;0,0
2030-01-08 16:00:00;327,16;0,0;282,48;0,0;149,3;0,28;0,0;0,0;0,0;104,9;0,0
2030-01-08 17:00:00;327,16;0,0;277,97;0,0;149,3;0,28;0,0;0,0;0,0;100,39;0,0
2030-01-08 18:00:00;327,16;0,0;263,6;0,0;149,3;0,28;0,0;86,01;0,0;0,0;0,0
2030-01-08 19:00:00;327,16;0,0;260,62;0,0;149,3;0,28;0,0;0,0;0,0;83,04;0,0
2030-01-08 20:00:00;327,16;0,0;258,28;0,0;149,3;0,28;0,0;0,0;0,0;80,7;0,0
2030-01-08 21:00:00;327,16;0,0;260,89;0,0;149,3;0,28;0,0;0,0;0,0;83,31;0,0
2030-01-08 22:00:00;327,16;0,0;254,32;0,0;149,3;0,28;0,0;0,0;0,0;76,74;0,0
2030-01-08 23:00:00;327,16;0,0;264,09;0,0;62,79;0,28;0,0;0,0;0,0;0,0;0,0
2030-01-09 00:00:00;327,16;0,0;284,48;0,0;42,4;0,28;0,0;0,0;0,0;0,0;0,0
2030-01-09 01:00:00;327,16;0,0;287,19;0,0;39,69;0,28;0,0;0,0;0,0;0,0;0,0
2030-01-09 02:00:00;327,16;0,0;294,63;0,0;32,25;0,28;0,0;0,0;0,0;0,0;0,0
2030-01-09 03:00:00;327,16;0,0;307,91;0,0;18,98;0,28;0,0;0,0;0,0;0,0;0,0
2030-01-09 04:00:00;327,16;0,0;315,33;0,0;11,56;0,28;0,0;0,0;0,0;0,0;0,0
2030-01-09 05:00:00;327,16;0,0;330,77;0,0;0,0;0,28;0,0;0,0;0,0;3,89;0,0
2030-01-09 06:00:00;327,16;0,0;327,87;0,0;0,0;0,28;0,0;0,0;0,0;0,99;0,0
2030-01-09 07:00:00;327,16;0,0;341,84;0,0;0,0;0,28;0,0;14,96;0,0;0,0;0,0
2030-01-09 08:00:00;327,16;0,0;337,66;0,0;0,0;0,28;0,0;10,78;0,0;0,0;0,0
2030-01-09 09:00:00;327,16;0,0;339,99;0,0;149,3;0,28;0,0;0,0;0,0;162,4;0,0
2030-01-09 10:00:00;327,16;0,0;338,24;0,0;79,04;0,28;0,0;90,4;0,0;0,0;0,0
2030-01-09 11:00:00;327,16;0,0;327,13;0,0;28,56;0,28;0,0;28,81;0,0;0,0;0,0
2030-01-09 12:00:00;327,16;0,0;317,84;0,0;149,3;0,28;0,0;0,0;0,0;140,26;0,0
2030-01-09 13:00:00;327,16;0,0;314,75;0,0;12,13;0,28;0,0;0,0;0,0;0,0;0,0
2030-01-09 14:00:00;327,16;0,0;313,44;0,0;66,97;0,28;0,0;0,0;0,0;53,52;0,0
2030-01-09 15:00:00;327,16;0,0;317,77;0,0;149,3;0,28;0,0;0,0;0,0;140,19;0,0
2030-01-09 16:00:00;327,16;0,0;313,53;0,0;149,3;0,28;0,0;0,0;0,0;135,95;0,0
2030-01-09 17:00:00;327,16;0,0;322,58;0,0;149,3;0,28;0,0;0,0;0,0;145,0;0,0
2030-01-09 18:00:00;327,16;0,0;324,26;0,0;149,3;0,28;0,0;0,0;0,0;146,68;0,0
2030-01-09 19:00:00;327,16;0,0;319,9;0,0;149,3;0,28;0,0;0,0;0,0;142,32;0,0
2030-01-09 20:00:00;327,16;0,0;317,67;0,0;149,3;0,28;0,0;0,0;0,0;140,09;0,0
2030-01-09 21:00:00;327,16;0,0;321,09;0,0;149,3;0,28;0,0;0,0;0,0;143,51;0,0
2030-01-09 22:00:00;327,16;0,0;321,49;0,0;149,3;0,28;0,0;0,0;0,0;143,91;0,0
2030-01-09 23:00:00;327,16;0,0;327,83;0,0;149,3;0,28;0,0;0,0;0,0;150,25;0,0
2030-01-10 00:00:00;327,16;0,0;365,76;0,0;149,3;0,28;0,0;0,0;0,0;188,18;0,0
2030-01-10 01:00:00;327,16;0,0;360,94;0,0;149,3;0,28;0,0;0,0;0,0;183,36;0,0
2030-01-10 02:00:00;327,16;0,0;360,03;0,0;149,3;0,28;0,0;0,0;0,0;182,45;0,0
2030-01-10 03:00:00;327,16;0,0;364,61;0,0;149,3;0,28;0,0;0,0;0,0;187,03;0,0
2030-01-10 04:00:00;327,16;0,0;389,79;0,0;149,3;0,28;0,0;0,0;0,0;212,21;0,0
2030-01-10 05:00:00;327,16;0,0;432,3;0,0;149,3;0,28;0,0;0,0;0,0;254,72;0,0
2030-01-10 06:00:00;327,16;0,0;498,27;0,0;149,3;0,28;0,0;0,0;0,0;320,69;0,0
2030-01-10 07:00:00;327,16;0,0;532,0;0,0;149,3;0,28;0,0;0,0;0,0;354,41;0,0
2030-01-10 08:00:00;327,16;0,0;538,57;0,0;149,3;0,28;0,0;0,0;0,0;360,99;0,0
2030-01-10 09:00:00;327,16;0,0;535,64;0,0;149,3;0,28;0,0;0,0;0,0;358,06;0,0
2030-01-10 10:00:00;327,16;0,0;522,28;0,0;149,3;0,28;0,0;0,0;0,0;344,7;0,0
2030-01-10 11:00:00;327,16;0,0;506,46;0,0;149,3;0,28;0,0;0,0;0,0;328,87;0,0
2030-01-10 12:00:00;327,16;0,0;487,5;0,0;149,3;0,28;0,0;0,0;0,0;309,92;0,0
2030-01-10 13:00:00;327,16;0,0;473,18;0,0;149,3;0,28;0,0;295,6;0,0;0,0;0,0
2030-01-10 14:00:00;327,16;0,0;475,49;0,0;149,3;0,28;0,0;0,0;0,0;297,91;0,0
2030-01-10 15:00:00;327,16;0,0;458,35;0,0;149,3;0,28;0,0;0,0;0,0;280,77;0,0
2030-01-10 16:00:00;327,16;0,0;440,67;0,0;149,3;0,28;0,0;0,0;0,0;263,09;0,0
2030-01-10 17:00:00;327,16;0,0;423,21;0,0;149,3;0,28;0,0;0,0;0,0;245,63;0,0
2030-01-10 18:00:00;327,16;0,0;400,96;0,0;149,3;0,28;0,0;0,0;0,0;223,38;0,0
2030-01-10 19:00:00;327,16;0,0;379,84;0,0;149,3;0,28;0,0;0,0;0,0;202,25;0,0
2030-01-10 20:00:00;327,16;0,0;357,43;0,0;149,3;0,28;0,0;0,0;0,0;179,85;0,0
2030-01-10 21:00:00;327,16;0,0;344,41;0,0;149,3;0,28;0,0;0,0;0,0;166,83;0,0
2030-01-10 22:00:00;327,16;0,0;330,39;0,0;149,3;0,28;0,0;0,0;0,0;152,81;0,0
2030-01-10 23:00:00;327,16;0,0;334,18;0,0;149,3;0,28;0,0;0,0;0,0;156,6;0,0
2030-01-11 00:00:00;327,16;0,0;337,55;0,0;149,3;0,28;0,0;159,97;0,0;0,0;0,0
