,"(('Biogas', 'Fernwaerme'), 'flow')","(('Biomasse_Waerme', 'Fernwaerme'), 'flow')","(('Elektrodenheizkessel', 'Fernwaerme'), 'flow')","(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow')","(('Fernwaerme', 'Waermespeicher'), 'flow')","(('Fernwaerme', 'excess_b_fern'), 'flow')","(('GuD', 'Fernwaerme'), 'flow')","(('ST', 'Fernwaerme'), 'flow')","(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow')","(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow')","(('Waermespeicher', 'Fernwaerme'), 'flow')"
2030-01-01 00:00:00,"155,77810388127853","0,0","0,0","415,81860455523156","219,70394377049138","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 01:00:00,"155,77810388127853","0,0","0,0","426,9540860637046","208,56846226201833","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 02:00:00,"155,77810388127853","0,0","0,0","438,4010432731225","197,1215050526004","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 03:00:00,"155,77810388127853","0,0","0,0","446,721195505949","188,8013528197739","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 04:00:00,"155,77810388127853","0,0","0,0","506,1184373323067","129,40411099341623","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 05:00:00,"155,77810388127853","0,0","0,0","626,3305084872575","9,192039838465462","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 06:00:00,"155,77810388127853","0,0","0,0","720,2128628343304","0,0","0,0","424,7444444444444","0,0","55,0","0,0","84,69031450860746"
2030-01-01 07:00:00,"155,77810388127853","0,0","0,0","757,5455152064326","0,0","0,0","424,7444444444444","0,0","55,0","0,0","122,02296688070965"
2030-01-01 08:00:00,"155,77810388127853","0,0","0,0","749,3894162364079","0,0","0,0","424,7444444444444","0,0","55,0","0,0","113,86686791068496"
2030-01-01 09:00:00,"155,77810388127853","0,0","0,0","719,4156161642841","0,0","0,0","424,7444444444444","0,0","55,0","0,0","83,89306783856114"
2030-01-01 10:00:00,"155,77810388127853","0,0","0,0","716,2572821556018","0,0","0,0","424,7444444444444","0,0","55,0","0,0","80,7347338298789"
2030-01-01 11:00:00,"155,77810388127853","0,0","0,0","690,7945611032665","0,0","0,0","424,7444444444444","0,0","55,0","0,0","55,27201277754352"
2030-01-01 12:00:00,"155,77810388127853","0,0","0,0","667,5889945024443","0,0","0,0","424,7444444444444","0,0","55,0","0,0","32,06644617672134"
2030-01-01 13:00:00,"155,77810388127853","0,0","0,0","657,4442281362928","0,0","0,0","424,7444444444444","0,0","55,0","0,0","21,921679810569913"
2030-01-01 14:00:00,"155,77810388127853","0,0","0,0","638,3609451822203","0,0","0,0","424,7444444444444","0,0","55,0","0,0","2,838396856497411"
2030-01-01 15:00:00,"155,77810388127853","0,0","0,0","590,4278506422118","45,094697683511185","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 16:00:00,"155,77810388127853","0,0","0,0","612,3943595664546","23,12818875926837","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 17:00:00,"155,77810388127853","0,0","0,0","603,0491549363162","32,47339338940674","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 18:00:00,"155,77810388127853","0,0","0,0","574,8597590446657","60,66278928105726","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 19:00:00,"155,77810388127853","0,0","0,0","570,3144242201092","65,2081241056137","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 20:00:00,"155,77810388127853","0,0","0,0","570,7672956945062","64,75525263121676","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
2030-01-01 21:00:00,"155,77810388127853","0,0","0,0","543,4965828269178","92,02596549880514","0,0","424,7444444444444","0,0","55,0","0,0","0,0"
