co2_limit,cost,emissions
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
0.0,3127286837.21296,0.0
