,"(('Biogaseinspeisung_Bestandsanlagen', 'Gas'), 'flow')","(('Biogaseinspeisung_Neuanlagen', 'Gas'), 'flow')","(('Erdgasspeicher', 'Gas'), 'flow')","(('Gas', 'Erdgasspeicher'), 'flow')","(('Gas', 'GuD'), 'flow')","(('Gas', 'Last_Gas_ges'), 'flow')","(('Gas', 'Materialbedarf_Gas'), 'flow')","(('Gas', 'excess_b_gas2'), 'flow')","(('Import_Gas', 'Gas'), 'flow')","(('Methanisierung', 'Gas'), 'flow')","(('Wasserstoffeinspeisung', 'Gas'), 'flow')"
2030-01-02 08:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1739,6441459797843","3,170979198376459","0,0","2318,1175903476824","0,0","0,0"
2030-01-02 09:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1708,4553469478487","3,170979198376459","0,0","2286,928791315747","0,0","0,0"
2030-01-02 10:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1663,6696479771003","3,170979198376459","0,0","2242,1430923449984","0,0","0,0"
2030-01-02 11:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1600,1255198583344","3,170979198376459","0,0","2178,5989642262325","0,0","0,0"
2030-01-02 12:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1551,302636224137","3,170979198376459","0,0","2129,776080592035","0,0","0,0"
2030-01-02 13:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1517,0038998050852","3,170979198376459","0,0","2095,477344172983","0,0","0,0"
2030-01-02 14:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1474,0264166618797","3,170979198376459","0,0","2052,499861029778","0,0","0,0"
2030-01-02 15:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1495,826607690982","3,170979198376459","0,0","2074,3000520588803","0,0","0,0"
2030-01-02 16:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1528,8628631735721","3,170979198376459","0,0","2107,33630754147","0,0","0,0"
2030-01-02 17:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1604,6302098879862","3,170979198376459","0,0","2183,103654255884","0,0","0,0"
2030-01-02 18:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1619,1523968325373","3,170979198376459","0,0","2197,6258412004354","0,0","0,0"
2030-01-02 19:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1595,22167693996","3,170979198376459","0,0","2173,6951213078582","0,0","0,0"
2030-01-02 20:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1544,8438404595245","3,170979198376459","0,0","2123,3172848274226","0,0","0,0"
2030-01-02 21:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1513,3901951894145","3,170979198376459","0,0","2091,8636395573126","0,0","0,0"
2030-01-02 22:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1429,3094120174405","3,170979198376459","0,0","2007,7828563853386","0,0","0,0"
2030-01-02 23:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1266,1020165272062","3,170979198376459","0,0","1844,5754608951042","0,0","0,0"
2030-01-03 00:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1396,6126712473003","3,170979198376459","0,0","1975,0861156151984","0,0","0,0"
2030-01-03 01:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1405,5961547210086","3,170979198376459","0,0","1984,0695990889067","0,0","0,0"
2030-01-03 02:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1425,3762002621402","3,170979198376459","0,0","2003,8496446300383","0,0","0,0"
2030-01-03 03:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1499,0225543980628","3,170979198376459","0,0","2077,495998765961","0,0","0,0"
2030-01-03 04:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1714,5575945857452","3,170979198376459","0,0","2293,0310389536435","0,0","0,0"
2030-01-03 05:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2246,1349470889427","3,170979198376459","0,0","2824,6083914568408","0,0","0,0"
