year;investment_costs;operating_costs;lifetime;efficiency
2025;885750,0;1,0;22,5;3,5
2030;817500,0;1,0;22,5;3,5
2035;804080,0;1,0;22,5;3,5
2040;789000,0;1,0;22,5;3,5
2045;755500,0;1,0;22,5;3,5
