year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;1000000,0;5,2;20,0;30,0;89,0
2030;1000000,0;5,2;20,0;30,0;89,0
2035;1000000,0;5,2;20,0;30,0;89,0
2040;1000000,0;5,2;20,0;30,0;89,0
2045;1000000,0;5,2;20,0;30,0;89,0
