year;investment_costs;operating_costs;lifetime;efficiency
2025;570000,0;1,98;26,0;100,0
2030;450000,0;1,98;27,0;100,0
2035;410000,0;1,98;27,0;100,0
2040;370000,0;1,98;28,0;100,0
2045;345000,0;1,98;28,0;100,0
