year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out
2025;18,2;5,0;20,0;100,0;95,0
2030;18,2;5,0;20,0;100,0;95,0
2035;18,2;5,0;20,0;100,0;95,0
2040;18,2;5,0;20,0;100,0;95,0
2045;18,2;5,0;20,0;100,0;95,0
