year;investment_costs;operating_costs;lifetime;efficiency
2025;2434000,0;5,0;20,0;46,0
2030;2164000,0;5,0;20,0;46,0
2035;2001000,0;5,0;20,0;46,0
2040;1917000,0;5,0;20,0;46,0
2045;1886000,0;5,0;20,0;46,0
