year;investment_costs;operating_costs;lifetime;efficiency
2025;1653000,0;1,1;20,0;2,5
2030;1567500,0;1,0;20,0;2,5
2035;1479500,0;1,0;20,0;2,5
2040;1391500,0;1,0;20,0;2,5
2045;1306000,0;1,0;20,0;2,5
