year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out
2025;289432,5;1,0;12,5;92,1666667;94,3333333
2030;244582,0;1,0;15,0;92,3333333;94,6666667
2035;221765,5;1,0;15,0;92,5;95,0
2040;187932,0;1,0;17,5;92,6666667;95,3333333
2045;154098,5;1,0;17,5;92,8333333;95,6666667
