year;investment_costs;operating_costs;lifetime;efficiency
2025;1300000,0;4,0;45,0;100,0
2030;1300000,0;4,0;45,0;100,0
2035;1300000,0;4,0;45,0;100,0
2040;1300000,0;4,0;45,0;100,0
2045;1300000,0;4,0;45,0;100,0
