year;investment_costs;operating_costs;lifetime;efficiency
2025;2150000,0;5,0;25,0;90,0
2030;2150000,0;5,0;25,0;90,0
2035;2150000,0;5,0;25,0;90,0
2040;2150000,0;5,0;25,0;90,0
2045;2150000,0;5,0;25,0;90,0
