year;investment_costs;operating_costs;lifetime;efficiency
2025;307,0;2,95;25,0;100,0
2030;300,0;2,95;25,0;100,0
2035;292,5;2,95;25,0;100,0
2040;285,0;2,95;25,0;100,0
2045;278,5;2,95;25,0;100,0
