year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out
2025;53,0;5,47;20,0;100,0;60,0
2030;53,0;5,47;20,0;100,0;60,0
2035;53,0;5,47;20,0;100,0;60,0
2040;53,0;5,47;20,0;100,0;60,0
2045;53,0;5,47;20,0;100,0;60,0
