year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out
2025;95000,0;2,0;20,0;80,0;80,0
2030;95000,0;2,0;20,0;80,0;80,0
2035;95000,0;2,0;20,0;80,0;80,0
2040;95000,0;2,0;20,0;80,0;80,0
2045;95000,0;2,0;20,0;80,0;80,0
