year;investment_costs;operating_costs;lifetime;efficiency
2025;740000,0;4,0;30,0;38,5
2030;692000,0;4,0;30,0;38,5
2035;644000,0;4,0;30,0;38,5
2040;596000,0;4,0;30,0;38,5
2045;548000,0;4,0;30,0;38,5
