year;investment_costs;operating_costs;lifetime;efficiency
2025;498647,2973;3,0;25,0;88,0
2030;422037,8379;3,0;25,0;88,0
2035;362028,3784;3,0;25,0;88,0
2040;314468,9189;3,0;25,0;88,0
2045;275159,4595;3,0;25,0;88,0
