year;investment_costs;operating_costs;lifetime;efficiency
2025;861500,0;2,0;25,5;100,0
2030;734000,0;2,0;27,0;100,0
2035;660500,0;2,0;27,0;100,0
2040;597000,0;2,0;28,0;100,0
2045;576000,0;2,0;28,0;100,0
