year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;2166666,667;9,245212121;27,5;43,6666667;49,5
2030;2108333,333;8,342424242;30,0;44,3333333;49,0
2035;2050000,0;8,678373412;30,0;45,0;48,5
2040;1991666,667;9,014322581;30,0;45,6666667;48,0
2045;1933333,333;9,313626808;30,0;46,3333333;47,5
