year;investment_costs;operating_costs;lifetime;efficiency
2025;80000,0;1,803846154;22,5;98,5
2030;80000,0;1,85;22,5;98,5
2035;80000,0;1,829166667;22,5;98,5
2040;80000,0;1,808333334;22,5;98,5
2045;80000,0;1,7875;22,5;98,5
