year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out
2025;14700,0;1,0;20,0;95,0;95,0
2030;14700,0;1,0;20,0;95,0;95,0
2035;14700,0;1,0;20,0;95,0;95,0
2040;14700,0;1,0;20,0;95,0;95,0
2045;14700,0;1,0;20,0;95,0;95,0
