year;investment_costs;operating_costs;lifetime;efficiency
2025;724166,6667;4,0;22,5;67,5833333
2030;640000,0;4,0;25,0;67,6666667
2035;567000,0;4,0;25,0;67,75
2040;455000,0;4,0;25,0;68,3
2045;445833,3334;4,0;25,0;69,45
