year;investment_costs;operating_costs;lifetime;efficiency;efficiency_th
2025;818000,0;4,495843521;23,0;74,3;0,0
2030;461000,0;4,930802603;24,0;74,3;0,0
2035;456000,0;4,640350877;26,0;74,3;0,0
2040;452000,0;4,490265487;27,0;74,3;0,0
2045;475000,0;4,221052632;29,0;74,3;0,0
