year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;;;;;
2030;3294000,0;5,0;30,0;30,0;88,0
2035;;;;;
2040;3290000,0;5,0;30,0;30,0;88,0
2045;;;;;
