MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Straße;Hausnummer;Gemarkung;Flurstück;Gemeindeschlüssel;Koordinate: Breitengrad (WGS84);Koordinate: Längengrad (WGS84);Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Name des Windparks;Nabenhöhe der Windenergieanlage;Rotordurchmesser der Windenergieanlage;Hersteller der Windenergieanlage;Typenbezeichnung;Hauptbrennstoff der Einheit;Nutzbare Speicherkapazität in kWh;Technologie der Stromerzeugung;Lage der Einheit;Letzte Aktualisierung;Datum der endgültigen Stilllegung;Datum der geplanten Inbetriebnahme;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Volleinspeisung oder Teileinspeisung;MaStR-Nr. der Genehmigung;Name des Anschluss-Netzbetreibers;MaStR-Nr. des Anschluss-Netzbetreibers;Netzbetreiberprüfung;Spannungsebene;MaStR-Nr. der Lokation;MaStR-Nr. der EEG-Anlage;EEG-Anlagenschlüssel;Inbetriebnahmedatum der EEG-Anlage;Installierte Leistung der EEG-Anlage;Zuschlagnummer (EEG/KWK-Ausschreibung);MaStR-Nr. der KWK-Anlage;Inbetriebnahmedatum der KWK-Anlage;Elektrische KWK-Leistung;Thermische Nutzleistung in kW
SEE949716648215;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;05.06.2023;05.06.2023;Thüringen;6577;An der Schmücke;;;;;16065088;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);05.06.2023;;;natürliche Person (ABR918003812646);ABR918003812646;Teileinspeisung (einschließlich Eigenverbrauch);;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL907331941159;EEG924633050464;;05.06.2023;0,6;;;;;
SEE948920556408;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,8;0,6;24.08.2023;24.08.2023;Thüringen;99510;Apolda;;;;;16071001;;;2;Ost-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);24.08.2023;;;natürliche Person (ABR969583352060);ABR969583352060;Teileinspeisung (einschließlich Eigenverbrauch);;ENA Energienetze Apolda GmbH (SNB913563830420);SNB913563830420;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL970813838636;EEG985981882350;;24.08.2023;0,8;;;;;
SEE918369579023;Solaranlage Balkonkraftwerk 600 Watt 2 Panel WVC-600 Micro Solar Inverter MAC: E8FDF8BB729E;In Betrieb;Solare Strahlungsenergie;0,83;0,6;05.06.2023;06.06.2023;Thüringen;98530;Rohr;;;;;16066058;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR964419880151);ABR964419880151;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL965405317231;EEG936229176175;;05.06.2023;0,83;;;;;
SEE979033742372;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,82;0,82;16.05.2023;06.06.2023;Thüringen;99830;Treffurt;;;;;16063076;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR924988265216);ABR924988265216;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL911882003402;EEG945357268881;;16.05.2023;0,82;;;;;
SEE919846804201;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,74;0,6;05.06.2023;06.06.2023;Thüringen;7580;Ronneburg;;;;;16076061;;;2;West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR967874943218);ABR967874943218;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL997045141402;EEG917487267621;;01.04.2023;0,74;;;;;
SEE945040999719;Balkonkraftwerk_Carport;In Betrieb;Solare Strahlungsenergie;1,52;0,6;01.06.2023;06.06.2023;Thüringen;7749;Jena;;;;;16053000;;;4;Ost-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR922066995871);ABR922066995871;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Jena Netze GmbH (SNB945861817537);SNB945861817537;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL962425396222;EEG936048899972;;01.06.2023;1,52;;;;;
SEE968853587843;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;1;1;01.06.2023;06.06.2023;Thüringen;99334;Amt Wachsenburg;;;;;16070028;;;3;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR988493657393);ABR988493657393;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL935060680407;EEG999204468658;;01.06.2023;1;;;;;
SEE979636224756;Balkonkraftwerk 600W;In Betrieb;Solare Strahlungsenergie;0,6;0,6;09.03.2023;06.06.2023;Thüringen;99830;Treffurt;;;;;16063076;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR966810139272);ABR966810139272;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL931926368762;EEG906477281693;;09.03.2023;0,6;;;;;
SEE925530644855;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,7;0,6;03.06.2023;06.06.2023;Thüringen;7745;Jena;;;;;16053000;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR924794932883);ABR924794932883;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Jena Netze GmbH (SNB945861817537);SNB945861817537;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL951424923485;EEG930670082795;;03.06.2023;0,7;;;;;
SEE999178530429;Balkonkraftwerk Vordach;In Betrieb;Solare Strahlungsenergie;0,3;0,3;07.05.2023;06.06.2023;Thüringen;7774;Dornburg-Camburg;;;;;16074011;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.06.2023;;;natürliche Person (ABR927092020153);ABR927092020153;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Jena Netze GmbH (SNB945861817537);SNB945861817537;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL931752566066;EEG940230698526;;07.05.2023;0,3;;;;;
