MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Straße;Hausnummer;Gemarkung;Flurstück;Gemeindeschlüssel;Koordinate: Breitengrad (WGS84);Koordinate: Längengrad (WGS84);Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Name des Windparks;Nabenhöhe der Windenergieanlage;Rotordurchmesser der Windenergieanlage;Hersteller der Windenergieanlage;Typenbezeichnung;Hauptbrennstoff der Einheit;Nutzbare Speicherkapazität in kWh;Technologie der Stromerzeugung;Lage der Einheit;Letzte Aktualisierung;Datum der endgültigen Stilllegung;Datum der geplanten Inbetriebnahme;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Volleinspeisung oder Teileinspeisung;MaStR-Nr. der Genehmigung;Name des Anschluss-Netzbetreibers;MaStR-Nr. des Anschluss-Netzbetreibers;Netzbetreiberprüfung;Spannungsebene;MaStR-Nr. der Lokation;MaStR-Nr. der EEG-Anlage;EEG-Anlagenschlüssel;Inbetriebnahmedatum der EEG-Anlage;Installierte Leistung der EEG-Anlage;Zuschlagnummer (EEG/KWK-Ausschreibung);MaStR-Nr. der KWK-Anlage;Inbetriebnahmedatum der KWK-Anlage;Elektrische KWK-Leistung;Thermische Nutzleistung in kW
SEE929326236774;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.10.2019;02.10.2019;Thüringen;99087;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);02.10.2019;;;natürliche Person (ABR920293634679);ABR920293634679;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL938079170099;EEG903633398592;;01.10.2019;0,6;;;;;
SEE952352635365;Balkonkraftwerk Hauslicht;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;1;Süd-Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);13.09.2023;;;natürliche Person (ABR930795130661);ABR930795130661;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL925926996650;EEG949014591251;E43074016010670220000500333600001;15.01.2020;0,3;;;;;
SEE944819736319;Balkonkraftwerk 1. Obergeschoß;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;1;Süd-Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);13.09.2023;;;natürliche Person (ABR930795130661);ABR930795130661;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL918581444598;EEG954306205204;E43074016010670220000500748400001;15.01.2020;0,3;;;;;
SEE936693383758;Balkonkraftwerk Dachgeschoß;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);23.07.2023;;;natürliche Person (ABR957034131470);ABR957034131470;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL979826104486;EEG999479561276;E43074016010670220000347104900001;15.01.2020;0,3;;;;;
SEE909057065966;Balkonkraftwerk Erdgeschoß;In Betrieb;Solare Strahlungsenergie;0,3;0,3;15.01.2020;29.06.2020;Thüringen;98544;Zella-Mehlis;;;;;16066092;;;1;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);14.10.2020;;;natürliche Person (ABR900065712514);ABR900065712514;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL935684748125;EEG913768956079;E4307401601067022000D500420900001;15.01.2020;0,3;;;;;
SEE906240035317;Balkonkraftwerk - 590W;In Betrieb;Solare Strahlungsenergie;0,68;0,59;12.01.2020;13.03.2020;Thüringen;36460;Krayenberggemeinde;;;;;16063101;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);29.11.2021;;;natürliche Person (ABR926907621424);ABR926907621424;Teileinspeisung (einschließlich Eigenverbrauch);;OsthessenNetz GmbH (SNB934071779865);SNB934071779865;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL986270216481;EEG985378930213;E4174701111AA00000000043601300001;12.01.2020;0,68;;;;;
SEE960213510492;"""Balkonkraftwerk""-Nebengebäude";In Betrieb;Solare Strahlungsenergie;0,57;0,57;14.03.2020;15.03.2020;Thüringen;7333;Unterwellenborn;;;;;16073111;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);09.03.2023;;;natürliche Person (ABR980379820204);ABR980379820204;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL902250806749;EEG971884120521;;14.03.2020;0,6;;;;;
SEE992955580549;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,62;0,56;26.03.2020;15.04.2020;Thüringen;98574;Schmalkalden;;;;;16066063;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);15.04.2020;;;natürliche Person (ABR979579282042);ABR979579282042;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL972626796110;EEG995483059761;;26.03.2020;0,62;;;;;
SEE977652998880;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,35;0,35;19.04.2020;19.04.2020;Thüringen;99706;Sondershausen;;;;;16065067;;;4;Süd-West;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);21.01.2021;;;natürliche Person (ABR956457052317);ABR956457052317;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Sondershausen Netz GmbH (SNB987483520273);SNB987483520273;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL978854069446;EEG924593967703;;19.04.2020;0,35;;;;;
SEE952570401414;Balkonkraftwerk 600W;In Betrieb;Solare Strahlungsenergie;0,65;0,6;26.06.2020;27.06.2020;Thüringen;7957;Langenwetzendorf;;;;;16076039;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);29.09.2022;;;natürliche Person (ABR949411521868);ABR949411521868;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL993042380707;EEG996918012375;E4183201RS50271146000036364200001;26.06.2020;0,65;;;;;
SEE925025459186;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,67;0,6;18.06.2020;17.07.2020;Thüringen;36460;Krayenberggemeinde;;;;;16063101;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);05.08.2020;;;natürliche Person (ABR938139089262);ABR938139089262;Teileinspeisung (einschließlich Eigenverbrauch);;OsthessenNetz GmbH (SNB934071779865);SNB934071779865;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL992075612601;EEG924591763338;E4174701111AA00000000043743600001;18.06.2020;0,67;;;;;
SEE935643202781;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,56;02.06.2020;26.07.2020;Thüringen;98530;Oberstadt;;;;;16069035;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);09.03.2023;;;natürliche Person (ABR900506141590);ABR900506141590;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL935402062748;EEG903214415519;;02.06.2020;0,6;;;;;
SEE913281713357;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.09.2020;07.04.2021;Thüringen;98617;Rhönblick;;;;;16066093;;;2;Süd;;;;;;;;;Bauliche Anlagen (Sonstige);07.04.2021;;;natürliche Person (ABR924603393232);ABR924603393232;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL915656426626;EEG937171683414;;01.09.2020;0,6;;;;;
SEE937871665185;Balkonkraftwerk-S3;In Betrieb;Solare Strahlungsenergie;0,3;0,3;03.08.2020;02.09.2020;Thüringen;98529;Suhl;;;;;16054000;;;1;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);01.11.2020;;;natürliche Person (ABR917848080920);ABR917848080920;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516);SNB935760057516;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL965998152714;EEG946744154879;E4307401S402043006046504800100001;03.08.2020;0,3;;;;;
SEE939431835670;Mein Balkonkraftwerk 200 watt;In Betrieb;Solare Strahlungsenergie;0,5;0,5;13.09.2020;14.09.2020;Thüringen;7552;Gera;;;;;16052000;;;2;Süd;;;;;;;;;Bauliche Anlagen (Sonstige);15.10.2021;;;natürliche Person (ABR911926839912);ABR911926839912;Teileinspeisung (einschließlich Eigenverbrauch);;GeraNetz GmbH (SNB948816192529);SNB948816192529;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL933789955820;EEG968305627738;;13.09.2020;0,5;;;;;
SEE921865973424;Balkonkraftwerk600;In Betrieb;Solare Strahlungsenergie;0,6;0,6;27.09.2020;27.09.2020;Thüringen;99085;Erfurt;;;;;16051000;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);27.09.2020;;;natürliche Person (ABR951354095443);ABR951354095443;Volleinspeisung;;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL999450299464;EEG935437103843;;27.09.2020;0,6;;;;;
SEE998555738625;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,65;0,56;25.11.2020;25.11.2020;Thüringen;7551;Gera;;;;;16052000;;;2;West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);26.10.2021;;;natürliche Person (ABR969533898976);ABR969533898976;Teileinspeisung (einschließlich Eigenverbrauch);;GeraNetz GmbH (SNB948816192529);SNB948816192529;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL946331608525;EEG958512958435;E41795010000000000000000003460001;25.11.2020;0,65;;;;;
SEE946319482949;Balkonkraftwerk (Schuppen);In Betrieb;Solare Strahlungsenergie;0,65;0,56;10.11.2020;13.11.2020;Thüringen;7751;Zöllnitz;;;;;16074114;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);25.06.2022;;;natürliche Person (ABR904682190335);ABR904682190335;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL941436080603;EEG956432353286;;10.11.2020;0,65;;;;;
SEE985684650072;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,57;0,56;06.12.2020;06.12.2020;Thüringen;98554;Benshausen;;;;;16066006;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);06.12.2020;;;natürliche Person (ABR921361156666);ABR921361156666;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL910783901862;EEG941344157473;;06.12.2020;0,57;;;;;
SEE991965350463;Balkonkraftwerk 320 Watt;In Betrieb;Solare Strahlungsenergie;0,32;0,3;12.12.2020;14.12.2020;Thüringen;99096;Erfurt;;;;;16051000;;;1;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);14.12.2020;;;natürliche Person (ABR927221247475);ABR927221247475;Teileinspeisung (einschließlich Eigenverbrauch);;SWE Netz GmbH (Erfurt) (SNB950262883869);SNB950262883869;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL990959518728;EEG928139358840;;12.12.2020;0,32;;;;;
SEE930907313555;Balkonkraftwerk 600Watt;In Betrieb;Solare Strahlungsenergie;0,6;0,6;22.03.2021;19.04.2021;Thüringen;99441;Lehnstedt;;;;;16071049;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);14.12.2021;;;natürliche Person (ABR950077337090);ABR950077337090;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL906257764842;EEG997429306137;;22.03.2021;0,6;;;;;
SEE986308974178;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,64;0,56;19.12.2020;10.01.2021;Thüringen;99974;Mühlhausen;;;;;16064046;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);18.02.2021;;;natürliche Person (ABR996729621513);ABR996729621513;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Mühlhausen Netz GmbH (SNB931986174853);SNB931986174853;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL902631797581;EEG918421998595;;19.12.2020;0,64;;;;;
SEE964228155044;600W Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,68;0,6;30.01.2021;30.01.2021;Thüringen;7407;Rudolstadt;;;;;16073076;;;2;Ost-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);10.04.2023;;;natürliche Person (ABR979391269160);ABR979391269160;Teileinspeisung (einschließlich Eigenverbrauch);;EnR Energienetze Rudolstadt GmbH (SNB953495670831);SNB953495670831;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL998841867046;EEG962452696432;E4321301S132056000200000000100001;30.01.2021;0,68;;;;;
SEE959758581739;solaranlage balkonkraftwerk mini solaranlage plug und play 650w;In Betrieb;Solare Strahlungsenergie;0,65;0,6;18.06.2020;29.01.2021;Thüringen;99867;Gotha;;;;;16067029;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);21.12.2022;;;natürliche Person (ABR965294350906);ABR965294350906;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Gotha Netz GmbH (SNB961316124487);SNB961316124487;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL926441271970;EEG989652969937;;18.06.2020;0,6;;;;;
SEE906820208391;Balkonkraftwerk 600W;In Betrieb;Solare Strahlungsenergie;0,67;0,6;13.03.2020;30.01.2021;Thüringen;98587;Steinbach-Hallenberg;;;;;16066069;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);28.09.2022;;;natürliche Person (ABR966994559941);ABR966994559941;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL957474624600;EEG989734873152;E4183201RS50486840000009833500001;13.03.2020;0,67;;;;;
SEE986058441494;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,66;0,56;15.02.2021;08.03.2021;Thüringen;7926;Gefell;;;;;16075131;;;2;Süd-Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);08.03.2021;;;natürliche Person (ABR983578782199);ABR983578782199;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL992676049080;EEG926145878055;;15.02.2021;0,66;;;;;
SEE911379268994;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,74;0,6;20.03.2021;21.03.2021;Thüringen;7937;Zeulenroda-Triebes;;;;;16076087;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);12.05.2021;;;natürliche Person (ABR942954772322);ABR942954772322;Teileinspeisung (einschließlich Eigenverbrauch);;Energiewerke Zeulenroda GmbH (SNB974684403535);SNB974684403535;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL918349509316;EEG947439756804;E41029010000000006008901300000001;20.03.2021;0,74;;;;;
SEE978578901718;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,66;0,6;22.03.2021;22.03.2021;Thüringen;37327;Wingerode;;;;;16061107;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);13.06.2022;;;natürliche Person (ABR975402866779);ABR975402866779;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL981310386261;EEG947872774700;E4183201RS50363926000086109700001;22.03.2021;0,66;;;;;
SEE912767172824;Balkonkraftwerk;In Planung;Solare Strahlungsenergie;0,6;0,56;;28.03.2021;Thüringen;7381;Pößneck;;;;;16075085;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);28.03.2021;;01.04.2021;natürliche Person (ABR983547107619);ABR983547107619;Volleinspeisung;;Stadtwerke Jena Netze GmbH (SNB945861817537);SNB945861817537;;Niederspannung (= Hausanschluss/Haushaltsstrom);;;;;;;;;;
SEE950658033182;Balkonkraftwerk 0,6 kw;In Betrieb;Solare Strahlungsenergie;0,56;0,56;01.06.2021;15.06.2021;Thüringen;99198;Udestedt;;;;;16068055;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);08.02.2022;;;natürliche Person (ABR999400196126);ABR999400196126;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL987563693101;EEG979116279450;;01.06.2021;0,56;;;;;
SEE931975775801;Balkonkraftwerk 600Watt;In Betrieb;Solare Strahlungsenergie;0,6;0,6;05.05.2021;05.05.2021;Thüringen;99441;Lehnstedt;;;;;16071049;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);05.05.2021;;;natürliche Person (ABR911743710784);ABR911743710784;Volleinspeisung;;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL926846114735;EEG965864581914;;05.05.2021;0,6;;;;;
SEE949540741656;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.05.2021;02.05.2021;Thüringen;99759;Sollstedt;;;;;16062049;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);16.12.2021;;;natürliche Person (ABR989431194086);ABR989431194086;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL959829776309;EEG947337845259;;01.05.2021;0,6;;;;;
SEE963209607572;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,64;0,56;01.05.2021;02.05.2021;Thüringen;7580;Ronneburg;;;;15;16076061;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);05.09.2022;;;natürliche Person (ABR936119394528);ABR936119394528;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL920626770708;EEG982194830833;E4183201RS50419409000025464300001;01.05.2021;0,64;;;;;
SEE946487214014;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,67;0,6;01.06.2021;29.06.2021;Thüringen;7589;Münchenbernsdorf;;;;;16076049;;;3;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);04.04.2022;;;natürliche Person (ABR968178389481);ABR968178389481;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL937379703167;EEG974427256596;E4183201RS50352737000053327100001;01.06.2021;0,67;;;;;
SEE987870973477;Balkonkraftwerk ECO DELTA;In Betrieb;Solare Strahlungsenergie;0,39;0,3;05.05.2021;06.05.2021;Thüringen;99947;Bad Langensalza;;;;;16064003;;;1;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);07.05.2021;;;natürliche Person (ABR935657080955);ABR935657080955;Teileinspeisung (einschließlich Eigenverbrauch);;NETZE Bad Langensalza GmbH (SNB939517994215);SNB939517994215;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL945334961774;EEG986764031248;E41872012955920240000000000000256;05.05.2021;0,39;;;;;
SEE984123866289;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,58;0,58;05.06.2021;06.06.2021;Thüringen;99189;Gebesee;;;;;16068014;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);15.09.2022;;;natürliche Person (ABR960532052642);ABR960532052642;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL907042646602;EEG989516720667;E4183201RS50557609000060391200001;05.06.2021;0,58;;;;;
SEE914615552314;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,65;0,6;20.05.2021;20.05.2021;Thüringen;7551;Gera;;;;;16052000;;;4;Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);20.05.2021;;;natürliche Person (ABR977297544497);ABR977297544497;Teileinspeisung (einschließlich Eigenverbrauch);;GeraNetz GmbH (SNB948816192529);SNB948816192529;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL911476474137;EEG956120848865;;20.05.2021;0,65;;;;;
SEE978432249093;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,66;0,6;08.06.2021;08.06.2021;Thüringen;98724;Lauscha;;;;;16072011;;;2;Süd-West;;;;;;;;;Bauliche Anlagen (Sonstige);03.11.2022;;;natürliche Person (ABR949960037193);ABR949960037193;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL901356417712;EEG925204467773;E4183201RS50426278000088164100001;08.06.2021;0,66;;;;;
SEE927674994100;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,65;0,56;01.06.2021;05.08.2021;Thüringen;37351;Silberhausen;;;;;16061118;;;2;Süd;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);05.10.2022;;;natürliche Person (ABR996807062252);ABR996807062252;Volleinspeisung;;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL948079133000;EEG917468312579;E4183201RS50103117000095820200001;01.06.2021;0,496;;;;;
SEE947003087358;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,63;0,6;01.07.2021;04.07.2021;Thüringen;98553;Schleusingen;;;;;16069043;;;2;Süd-West;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);02.10.2022;;;natürliche Person (ABR933979936356);ABR933979936356;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL996751264658;EEG971177344177;E4183201RS50330763000056100200001;01.07.2021;0,63;;;;;
SEE984708806969;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.07.2021;04.07.2021;Thüringen;4639;Gößnitz;;;;;16077012;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);19.09.2023;;;natürliche Person (ABR946419727902);ABR946419727902;Volleinspeisung;;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);SNB916269213931;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL974830247778;EEG964624195811;E41081010000000000000000000418712;01.07.2021;0,6;;;;;
SEE900964973528;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;01.07.2021;07.07.2021;Thüringen;98639;Walldorf;;;;;16066085;;;2;Süd;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);07.07.2021;;;natürliche Person (ABR921616840968);ABR921616840968;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;In Prüfung;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL930650956429;EEG931385472581;;01.07.2021;0,6;;;;;
SEE941192715481;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,6;0,6;08.09.2021;12.09.2021;Thüringen;37308;Heilbad Heiligenstadt;;;;;16061045;;;2;Süd-Ost;;;;;;;;;Bauliche Anlagen (Hausdach, Gebäude und Fassade);21.03.2022;;;natürliche Person (ABR921411305198);ABR921411305198;Teileinspeisung (einschließlich Eigenverbrauch);;Stadtwerke Heilbad Heiligenstadt GmbH (SNB952677840789);SNB952677840789;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL997795792251;EEG927739430826;;08.09.2021;0,6;;;;;
SEE905078591330;Balkonkraftwerk;In Betrieb;Solare Strahlungsenergie;0,63;0,6;20.09.2021;04.10.2021;Thüringen;7387;Krölpa;;;;;16075129;;;2;Süd-Ost;;;;;;;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);02.11.2022;;;natürliche Person (ABR968589784554);ABR968589784554;Teileinspeisung (einschließlich Eigenverbrauch);;TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712);SNB970821959712;Geprüft;Niederspannung (= Hausanschluss/Haushaltsstrom);SEL951114440421;EEG913878214250;E4183201RS50439896000095406200001;20.09.2021;0,63;;;;;
