,"(('Import_Oel', 'Oel_Kraftstoffe'), 'flow')","(('Import_Synt', 'Oel_Kraftstoffe'), 'flow')","(('Oel_Kraftstoffe', 'Last_Oel_ges'), 'flow')","(('Oel_Kraftstoffe', 'Last_Verkehr_ges'), 'flow')","(('Oel_Kraftstoffe', 'Materialbedarf_Oel'), 'flow')","(('Oel_Kraftstoffe', 'excess_b_oel_kraftstoffe'), 'flow')","(('PtL', 'Oel_Kraftstoffe'), 'flow')"
2030-01-02 18:00:00,"1713,484133251295","0,0","613,3473675397822","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-02 19:00:00,"1694,1160850731587","0,0","593,979319361646","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-02 20:00:00,"1667,2510339047585","0,0","567,1142681932458","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-02 21:00:00,"1667,5755054208632","0,0","567,4387397093506","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-02 22:00:00,"1637,2771306639258","0,0","537,1403649524132","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-02 23:00:00,"1581,1718637157085","0,0","481,0350980041959","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 00:00:00,"1567,8889509925004","0,0","467,7521852809877","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 01:00:00,"1576,503629596333","0,0","476,3668638848204","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 02:00:00,"1581,9565324781495","0,0","481,8197667666367","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 03:00:00,"1606,2969071409318","0,0","506,16014142941924","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 04:00:00,"1660,2830027487719","0,0","560,1462370372591","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 05:00:00,"1843,569797805171","0,0","743,4330320936582","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 06:00:00,"1976,279584010092","0,0","876,1428182985794","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 07:00:00,"2056,604602742687","0,0","956,4678370311742","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 08:00:00,"2070,658013857213","0,0","970,5212481457006","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 09:00:00,"2056,09075078916","0,0","955,9539850776478","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 10:00:00,"2018,804352406307","0,0","918,6675866947944","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 11:00:00,"1998,2359007948498","0,0","898,0991350833372","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 12:00:00,"1958,4803475958931","0,0","858,3435818843805","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 13:00:00,"1907,3216252050183","0,0","807,1848594935057","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 14:00:00,"1913,1111524032526","0,0","812,9743866917399","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 15:00:00,"1893,4059311725714","0,0","793,2691654610587","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 16:00:00,"1876,1330712104145","0,0","775,9963054989018","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 17:00:00,"1879,906451101495","0,0","779,7696853899822","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 18:00:00,"1854,4330013730964","0,0","754,2962356615838","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 19:00:00,"1796,947289664686","0,0","696,8105239531733","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 20:00:00,"1730,4760449403798","0,0","630,3392792288671","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 21:00:00,"1689,3881283016221","0,0","589,2513625901095","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 22:00:00,"1653,7192156792526","0,0","553,5824499677399","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-03 23:00:00,"1587,9106352832812","0,0","487,7738695717684","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 00:00:00,"1645,3011112184015","0,0","545,1643455068889","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 01:00:00,"1644,9854377953154","0,0","544,8486720838027","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 02:00:00,"1656,431789365986","0,0","556,2950236544735","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 03:00:00,"1676,4819691957293","0,0","576,3452034842167","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 04:00:00,"1728,053905781256","0,0","627,9171400697431","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 05:00:00,"1931,2194093592132","0,0","831,0826436477006","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 06:00:00,"2032,3467949289081","0,0","932,2100292173955","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 07:00:00,"2063,932738433909","0,0","963,7959727223965","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 08:00:00,"2097,354315602915","0,0","997,2175498914023","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 09:00:00,"2087,249072934115","0,0","987,1123072226023","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 10:00:00,"2063,7614600878746","0,0","963,6246943763623","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 11:00:00,"2061,3799092035174","0,0","961,2431434920047","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 12:00:00,"2018,8585768767684","0,0","918,7218111652558","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 13:00:00,"1954,87967459616","0,0","854,7429088846472","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 14:00:00,"1946,6070702218635","0,0","846,4703045103508","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 15:00:00,"1943,7479653356643","0,0","843,6111996241516","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 16:00:00,"1907,0918875383488","0,0","806,9551218268361","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 17:00:00,"1922,5428888104332","0,0","822,4061230989205","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 18:00:00,"1912,731331238614","0,0","812,5945655271014","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 19:00:00,"1876,3512302286554","0,0","776,2144645171427","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 20:00:00,"1812,1818521040818","0,0","712,0450863925691","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 21:00:00,"1800,2361094906448","0,0","700,0993437791321","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 22:00:00,"1756,656844683532","0,0","656,5200789720192","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-04 23:00:00,"1661,0461653185507","0,0","560,909399607038","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 00:00:00,"1669,8596448555443","0,0","569,7228791440317","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 01:00:00,"1669,6396246520321","0,0","569,5028589405194","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 02:00:00,"1681,7739037124604","0,0","581,6371380009477","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 03:00:00,"1702,7010576787516","0,0","602,5642919672389","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 04:00:00,"1755,981770533141","0,0","655,8450048216282","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 05:00:00,"1966,880220357756","0,0","866,7434546462431","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 06:00:00,"2073,7761354225077","0,0","973,6393697109952","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 07:00:00,"2108,219293498663","0,0","1008,0825277871504","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 08:00:00,"2143,570537825189","0,0","1043,4337721136765","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 09:00:00,"2133,110760019137","0,0","1032,9739943076245","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 10:00:00,"2108,7512272017007","0,0","1008,6144614901881","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 11:00:00,"2106,0313186171215","0,0","1005,8945529056092","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 12:00:00,"2061,2618514205283","0,0","961,1250857090158","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 13:00:00,"1993,7549312909441","0,0","893,6181655794314","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 14:00:00,"1985,0632199327006","0,0","884,9264542211879","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 15:00:00,"1981,9757167266946","0,0","881,8389510151819","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 16:00:00,"1943,1379741573985","0,0","843,0012084458858","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 17:00:00,"1959,2246152969026","0,0","859,0878495853899","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 18:00:00,"1949,0807786459447","0,0","848,9440129344322","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 19:00:00,"1910,539552954812","0,0","810,4027872432995","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 20:00:00,"1842,9140681385902","0,0","742,7773024270775","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 21:00:00,"1830,8462723672858","0,0","730,709506655773","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 22:00:00,"1785,2199607866698","0,0","685,0831950751572","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-05 23:00:00,"1686,0304935253089","0,0","585,8937278137962","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 00:00:00,"1430,1607276931647","0,0","330,0239619816521","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 01:00:00,"1445,135124627646","0,0","344,9983589161334","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 02:00:00,"1455,2040815878233","0,0","355,06731587631066","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 03:00:00,"1471,544565422919","0,0","371,40779971140637","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 04:00:00,"1527,4937709300152","0,0","427,35700521850254","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 05:00:00,"1659,1647609284703","0,0","559,0279952169576","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 06:00:00,"1751,0311978369486","0,0","650,894432125436","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 07:00:00,"1817,0867451281026","0,0","716,9499794165899","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 08:00:00,"1826,357253141848","0,0","726,2204874303354","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 09:00:00,"1800,5048485842328","0,0","700,3680828727202","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 10:00:00,"1770,2162932360454","0,0","670,0795275245328","970,1266185780778","130,0101471334348","0,0","0,0"
2030-01-06 11:00:00,"1740,2564690695046","0,0","640,1197033579921","970,1266185780778","130,0101471334348","0,0","0,0"
