,"(('Biogas', 'Fernwaerme'), 'flow')","(('Biomasse_Waerme', 'Fernwaerme'), 'flow')","(('Elektrodenheizkessel', 'Fernwaerme'), 'flow')","(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow')","(('Fernwaerme', 'Waermespeicher'), 'flow')","(('Fernwaerme', 'excess_b_fern'), 'flow')","(('GuD', 'Fernwaerme'), 'flow')","(('ST', 'Fernwaerme'), 'flow')","(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow')","(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow')","(('Waermespeicher', 'Fernwaerme'), 'flow')"
2030-01-02 07:00:00,"155,77810388127853","0,0","0,0","750,5627464138713","7497,0050914050835","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 08:00:00,"155,77810388127853","0,0","0,0","733,0763184066568","7514,491519412298","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 09:00:00,"155,77810388127853","0,0","0,0","717,8212309237084","7529,746606895246","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 10:00:00,"155,77810388127853","0,0","0,0","696,307169409846","7551,260668409109","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 11:00:00,"155,77810388127853","0,0","0,0","664,3161791046547","7583,2516587143","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 12:00:00,"155,77810388127853","0,0","0,0","637,9910015269683","7609,576836291986","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 13:00:00,"155,77810388127853","0,0","0,0","627,5104307935313","7620,057407025423","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 14:00:00,"155,77810388127853","0,0","0,0","603,5074125084411","7644,060425310514","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 15:00:00,"155,77810388127853","0,0","0,0","614,8562611381024","7632,711576680853","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 16:00:00,"155,77810388127853","0,0","0,0","626,8064092550362","7620,761428563918","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 17:00:00,"155,77810388127853","0,0","0,0","655,5283312753163","7592,039506543639","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 18:00:00,"155,77810388127853","0,0","0,0","658,4876473230338","7589,080190495921","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 19:00:00,"155,77810388127853","0,0","0,0","643,4594274577819","7604,108410361173","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 20:00:00,"155,77810388127853","0,0","0,0","618,3702405289648","7629,19759728999","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 21:00:00,"155,77810388127853","0,0","0,0","608,8186652622052","7638,74917255675","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 22:00:00,"155,77810388127853","0,0","0,0","572,4005246992333","7675,167313119721","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-02 23:00:00,"155,77810388127853","0,0","0,0","502,3284431215289","7745,239394697426","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 00:00:00,"155,77810388127853","0,0","0,0","520,9997603485625","7726,568077470392","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 01:00:00,"155,77810388127853","0,0","0,0","528,1207022769645","7719,44713554199","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 02:00:00,"155,77810388127853","0,0","0,0","535,2211053029779","7712,346732515977","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 03:00:00,"155,77810388127853","0,0","0,0","564,129680806909","7683,438157012046","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 04:00:00,"155,77810388127853","0,0","0,0","639,0173773006475","7608,550460518308","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 05:00:00,"155,77810388127853","0,0","0,0","852,697456440938","7394,870381378017","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 06:00:00,"155,77810388127853","0,0","0,0","974,6657477413605","7272,902090077594","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 07:00:00,"155,77810388127853","0,0","0,0","1033,4737985255422","7214,094039293413","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 08:00:00,"155,77810388127853","0,0","0,0","1049,092635828466","7198,475201990489","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 09:00:00,"155,77810388127853","0,0","0,0","1035,4808621281766","7212,086975690779","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 10:00:00,"155,77810388127853","0,0","0,0","1000,1183352121284","7247,449502606826","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 11:00:00,"155,77810388127853","0,0","0,0","977,8173212904378","7269,750516528517","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 12:00:00,"155,77810388127853","0,0","0,0","944,0466509543187","7303,521186864637","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 13:00:00,"155,77810388127853","0,0","0,0","899,1335593196252","7348,43427849933","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 14:00:00,"155,77810388127853","0,0","0,0","902,4584117048394","7345,109426114115","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 15:00:00,"155,77810388127853","0,0","0,0","881,7516806217318","7365,816157197223","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 16:00:00,"155,77810388127853","0,0","0,0","871,0369478691092","7376,530889949846","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 17:00:00,"155,77810388127853","0,0","0,0","871,8512989343308","7375,716538884624","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 18:00:00,"155,77810388127853","0,0","0,0","846,2274458510155","7401,3403919679395","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 19:00:00,"155,77810388127853","0,0","0,0","793,9772038918177","7453,590633927137","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 20:00:00,"155,77810388127853","0,0","0,0","733,0101873932895","7514,557650425665","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 21:00:00,"155,77810388127853","0,0","0,0","682,498442100527","7565,069395718428","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 22:00:00,"155,77810388127853","0,0","0,0","630,8240702608085","7616,743767558146","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-03 23:00:00,"155,77810388127853","0,0","0,0","545,0681707955473","7702,499667023408","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 00:00:00,"155,77810388127853","0,0","0,0","600,1896130292306","7647,378224789724","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 01:00:00,"155,77810388127853","0,0","0,0","596,4198974854196","7651,147940333535","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 02:00:00,"155,77810388127853","0,0","0,0","605,4486825948436","7642,119155224112","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 03:00:00,"155,77810388127853","0,0","0,0","628,166119038111","7619,401718780844","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
2030-01-04 04:00:00,"155,77810388127853","0,0","0,0","700,9881272588887","7546,579710560066","0,0","323,46252293074434","0,0","0,0","0,0","7768,327211006932"
