,"(('Pumpspeicherkraftwerk', 'None'), 'storage_content')","(('Pumpspeicherkraftwerk', 'Strom'), 'flow')","(('Strom', 'Pumpspeicherkraftwerk'), 'flow')"
2030-01-01 00:00:00,"1152,0","0,0","0,0"
2030-01-01 01:00:00,"1152,0","0,0","0,0"
2030-01-01 02:00:00,"1152,0","0,0","0,0"
2030-01-01 03:00:00,"1152,0","0,0","0,0"
2030-01-01 04:00:00,"1152,0","0,0","0,0"
2030-01-01 05:00:00,"1152,0","0,0","0,0"
2030-01-01 06:00:00,"1152,0","0,0","0,0"
2030-01-01 07:00:00,"1152,0","0,0","0,0"
2030-01-01 08:00:00,"1152,0","0,0","0,0"
2030-01-01 09:00:00,"1152,0","0,0","0,0"
2030-01-01 10:00:00,"1152,0","0,0","0,0"
2030-01-01 11:00:00,"1152,0","0,0","0,0"
2030-01-01 12:00:00,"1229,2742805892462","0,0","77,27428058924625"
2030-01-01 13:00:00,"1374,3238060459641","0,0","145,04952545671796"
2030-01-01 14:00:00,"1662,3238060459641","0,0","288,0"
2030-01-01 15:00:00,"1950,3238060459641","0,0","288,0"
2030-01-01 16:00:00,"1950,3238060459641","0,0","0,0"
2030-01-01 17:00:00,"1950,3238060459641","0,0","0,0"
2030-01-01 18:00:00,"1950,3238060459641","0,0","0,0"
2030-01-01 19:00:00,"1950,3238060459641","0,0","0,0"
2030-01-01 20:00:00,"1950,3238060459641","0,0","0,0"
2030-01-01 21:00:00,"1825,8371077628212","99,58935862651435","0,0"
2030-01-01 22:00:00,"1693,7775292171593","105,64766283652952","0,0"
2030-01-01 23:00:00,"1693,7775292171593","0,0","0,0"
2030-01-02 00:00:00,"1471,655408235968","177,697696784953","0,0"
2030-01-02 01:00:00,"1471,655408235968","0,0","0,0"
2030-01-02 02:00:00,"1728,0","0,0","256,34459176403186"
2030-01-02 03:00:00,"2016,0","0,0","288,0"
2030-01-02 04:00:00,"2304,0","0,0","288,0"
2030-01-02 05:00:00,"2304,0","0,0","0,0"
2030-01-02 06:00:00,"2304,0","0,0","0,0"
2030-01-02 07:00:00,"2304,0","0,0","0,0"
2030-01-02 08:00:00,"2304,0","0,0","0,0"
2030-01-02 09:00:00,"2304,0","0,0","0,0"
2030-01-02 10:00:00,"2304,0","0,0","0,0"
2030-01-02 11:00:00,"2304,0","0,0","0,0"
2030-01-02 12:00:00,"2304,0","0,0","0,0"
2030-01-02 13:00:00,"2304,0","0,0","0,0"
2030-01-02 14:00:00,"2304,0","0,0","0,0"
2030-01-02 15:00:00,"2304,0","0,0","0,0"
2030-01-02 16:00:00,"2009,0995647818672","235,92034817450627","0,0"
2030-01-02 17:00:00,"1731,9795363188139","221,69602277044268","0,0"
2030-01-02 18:00:00,"1371,9795363188139","288,0","0,0"
2030-01-02 19:00:00,"1011,9795363188139","288,0","0,0"
2030-01-02 20:00:00,"651,9795363188139","288,0","0,0"
2030-01-02 21:00:00,"360,0","233,5836290550511","0,0"
2030-01-02 22:00:00,"360,0","0,0","0,0"
2030-01-02 23:00:00,"360,0","0,0","0,0"
2030-01-03 00:00:00,"360,0","0,0","0,0"
2030-01-03 01:00:00,"360,0","0,0","0,0"
2030-01-03 02:00:00,"360,0","0,0","0,0"
2030-01-03 03:00:00,"360,0","0,0","0,0"
2030-01-03 04:00:00,"360,0","0,0","0,0"
2030-01-03 05:00:00,"360,0","0,0","0,0"
2030-01-03 06:00:00,"360,0","0,0","0,0"
2030-01-03 07:00:00,"0,0","288,0","0,0"
2030-01-03 08:00:00,"0,0","0,0","0,0"
2030-01-03 09:00:00,"0,0","0,0","0,0"
