,demand,capex,pv_flh,wind_flh,co2,import_electricity_price,import_price,RES
0,1.2,1.0666666666666667,0.9333333333333333,1.0666666666666667,1.1333333333333333,0.9,1.2,26816.430770294144
1,1.0,1.0666666666666667,0.9333333333333333,1.0666666666666667,1.1333333333333333,0.9,1.2,21426.50342767657
2,1.0,1.0666666666666667,0.9333333333333333,0.8,1.1333333333333333,0.9,1.2,24644.14639212349
3,1.0,1.0666666666666667,1.2,0.8,1.1333333333333333,0.9,1.2,22805.615227364793
4,1.0,1.0666666666666667,1.2,0.8,1.1333333333333333,0.9,0.9333333333333333,22476.47112191738
5,1.0,1.0666666666666667,1.2,0.8,1.1333333333333333,1.3,0.9333333333333333,22470.331809492956
6,1.0,0.8,1.2,0.8,1.1333333333333333,1.3,0.9333333333333333,23625.636365403578
7,1.0,0.8,1.2,0.8,0.8,1.3,0.9333333333333333,23625.636365403578
8,1.2,0.8,0.9333333333333333,1.2,1.3,0.7,0.8,24829.547898257002
9,1.2,0.8,1.2,1.2,1.3,0.7,0.8,22592.799301888223
10,1.2,0.8,1.2,0.9333333333333333,1.3,0.7,0.8,26954.700579285465
11,1.2,0.8,1.2,0.9333333333333333,1.3,1.1,0.8,26666.28866060031
12,1.2,0.8,1.2,0.9333333333333333,0.9666666666666668,1.1,0.8,26666.28866060031
13,1.2,1.0666666666666667,1.2,0.9333333333333333,0.9666666666666668,1.1,0.8,24904.911567129944
14,1.0,1.0666666666666667,1.2,0.9333333333333333,0.9666666666666668,1.1,0.8,19844.446094545456
15,1.0,1.0666666666666667,1.2,0.9333333333333333,0.9666666666666668,1.1,1.0666666666666667,21181.419184284867
16,1.2,1.2,0.9333333333333333,1.2,1.1333333333333333,1.1,0.8,20521.68838405259
17,1.2,1.2,0.9333333333333333,0.9333333333333333,1.1333333333333333,1.1,0.8,26487.129003117792
18,1.2,1.2,0.9333333333333333,0.9333333333333333,1.1333333333333333,0.7,0.8,24636.362368762988
19,1.2,1.2,0.9333333333333333,0.9333333333333333,0.8,0.7,0.8,24636.362368762988
20,1.2,1.2,0.9333333333333333,0.9333333333333333,0.8,0.7,1.0666666666666667,28104.0
21,1.2,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8,0.7,1.0666666666666667,28104.0
22,1.2,0.9333333333333333,1.2,0.9333333333333333,0.8,0.7,1.0666666666666667,26242.77236042269
23,1.0,0.9333333333333333,1.2,0.9333333333333333,0.8,0.7,1.0666666666666667,22328.83014886982
24,1.2,0.9333333333333333,1.2,1.0666666666666667,1.1333333333333333,1.1,1.2,26204.11830920863
25,1.2,0.9333333333333333,1.2,1.0666666666666667,1.1333333333333333,1.1,0.9333333333333333,24608.0594743854
26,1.2,0.9333333333333333,1.2,1.0666666666666667,1.1333333333333333,0.7,0.9333333333333333,24098.65245585728
27,1.2,0.9333333333333333,1.2,0.8,1.1333333333333333,0.7,0.9333333333333333,28104.0
28,1.2,0.9333333333333333,1.2,0.8,0.8,0.7,0.9333333333333333,28104.0
29,1.0,0.9333333333333333,1.2,0.8,0.8,0.7,0.9333333333333333,22479.312472979822
30,1.0,0.9333333333333333,0.9333333333333333,0.8,0.8,0.7,0.9333333333333333,25017.61636445313
31,1.0,1.2,0.9333333333333333,0.8,0.8,0.7,0.9333333333333333,22820.74559278308
32,1.0,0.8,1.2,0.9333333333333333,0.8,0.7,1.0666666666666667,22785.66268024409
33,1.0,1.0666666666666667,1.2,0.9333333333333333,0.8,0.7,1.0666666666666667,21390.20708011672
34,1.0,1.0666666666666667,1.2,0.9333333333333333,0.8,1.1,1.0666666666666667,21181.419184284867
35,1.2,1.0666666666666667,1.2,0.9333333333333333,0.8,1.1,1.0666666666666667,26461.94401912487
36,1.2,1.0666666666666667,1.2,0.9333333333333333,1.1333333333333333,1.1,1.0666666666666667,26461.94401912487
