model_ID;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_20235;efficiency_2040;efficiency_2045;efficiency_2050;potential
BS0001;;;465000;;330000;;195000;;;9,74;;9,74;;9,74;;;25;;25;;25;;;0,66;;0,66;;0,66;7772
BS0002;788000;740000;692000;644000;596000;548000;500000;4;4;4;4;4;4;4;30;30;30;30;30;30;30;;;;;;;;
BS0003;915500;839000;762500;718500;674500;633750;593000;4;4;4;4;4;4;4;30;30;30;30;30;30;30;;;;;;;;
BS0004;788000;740000;692000;644000;596000;548000;500000;4;4;4;4;4;4;4;30;30;30;30;30;30;30;;;;;;;;
