model_ID;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_20235;efficiency_2040;efficiency_2045;efficiency_2050;potential
BS0001;2835000;2434000;2164000;2001000;1917000;1886000;1882000;5;5;5;5;5;5;5;20;20;20;20;20;20;20;46;46;46;46;46;46;46;
BS0002;2835000;2434000;2164000;2001000;1917000;1886000;1882000;5;5;5;5;5;5;5;20;20;20;20;20;20;20;46;46;46;46;46;46;46;
BS0003;2835000;2434000;2164000;2001000;1917000;1886000;1882000;5;5;5;5;5;5;5;20;20;20;20;20;20;20;46;46;46;46;46;46;46;
BS0004;2835000;2434000;2164000;2001000;1917000;1886000;1882000;5;5;5;5;5;5;5;20;20;20;20;20;20;20;46;46;46;46;46;46;46;
