model_ID;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_20235;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operatingt_costs_20235;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_20235;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_20235;efficiency_2040;efficiency_2045;efficiency_2050;potential
BS0001;;;1185000,0;;1021000,0;;956000,0;;;3,5;;3,5;;3,5;;;20,0;;20,0;;20,0;;;3,5;;3,5;;3,5;55,0
BS0002;907250,0;885750,0;817500,0;804080,0;789000,0;755500,0;722000,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;22,5;22,5;22,5;22,5;22,5;22,5;22,5;;;;;;;;
modelID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modelID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
