,"(('Biogas', 'Fernwaerme'), 'flow')","(('Biomasse_Waerme', 'Fernwaerme'), 'flow')","(('Elektrodenheizkessel', 'Fernwaerme'), 'flow')","(('Fernwaerme', 'Last_Fernwaerme_ges'), 'flow')","(('Fernwaerme', 'Waermespeicher'), 'flow')","(('Fernwaerme', 'excess_b_fern'), 'flow')","(('GuD', 'Fernwaerme'), 'flow')","(('ST', 'Fernwaerme'), 'flow')","(('Waermepumpe_Abwaerme', 'Fernwaerme'), 'flow')","(('Waermepumpe_Fluss', 'Fernwaerme'), 'flow')","(('Waermespeicher', 'Fernwaerme'), 'flow')"
2030-01-01 00:00:00,"155,77810388127853","0,0","0,0","415,81860455523156","8844,348257264111","0,0","424,7444444444444","0,0","55,0","0,0","8624,64431349362"
2030-01-01 01:00:00,"155,77810388127853","0,0","0,0","426,9540860637046","8844,348257264111","0,0","424,7444444444444","0,0","55,0","0,0","8635,779795002094"
2030-01-01 02:00:00,"155,77810388127853","0,0","0,0","438,4010432731225","8844,348257264111","0,0","424,7444444444444","0,0","55,0","0,0","8647,22675221151"
2030-01-01 03:00:00,"155,77810388127853","0,0","0,0","446,721195505949","8844,348257264111","0,0","424,7444444444444","0,0","55,0","0,0","8655,546904444338"
2030-01-01 04:00:00,"155,77810388127853","0,0","0,0","506,1184373323067","8844,348257264111","0,0","424,7444444444444","0,0","55,0","0,0","8714,944146270695"
2030-01-01 05:00:00,"155,77810388127853","0,0","0,0","626,3305084872575","8844,348257264111","0,0","424,7444444444444","0,0","55,0","0,0","8835,156217425647"
2030-01-01 06:00:00,"155,77810388127853","0,0","0,0","720,2128628343304","8759,657942755504","0,0","424,7444444444444","0,0","55,0","0,0","8844,348257264111"
2030-01-01 07:00:00,"155,77810388127853","0,0","0,0","757,5455152064326","8722,325290383402","0,0","424,7444444444444","0,0","55,0","0,0","8844,348257264111"
2030-01-01 08:00:00,"155,77810388127853","0,0","0,0","749,3894162364079","8730,481389353426","0,0","424,7444444444444","0,0","55,0","0,0","8844,348257264111"
2030-01-01 09:00:00,"155,77810388127853","0,0","0,0","719,4156161642841","8760,455189425551","0,0","424,7444444444444","0,0","55,0","0,0","8844,348257264111"
2030-01-01 10:00:00,"155,77810388127853","0,0","0,0","716,2572821556018","8763,613523434233","0,0","424,7444444444444","0,0","55,0","0,0","8844,348257264111"
2030-01-01 11:00:00,"155,77810388127853","0,0","0,0","690,7945611032665","8789,076244486569","0,0","424,7444444444444","0,0","55,0","0,0","8844,348257264111"
