,"(('BioHolz', 'BioTransformer'), 'flow')","(('BioHolz', 'Biomasse_Strom'), 'flow')","(('BioHolz', 'Biomasse_Waerme'), 'flow')","(('Import_Holz', 'BioHolz'), 'flow')"
2030-01-03 19:00:00,"1450,7055498610316","0,0","0,0","1450,7055498610316"
2030-01-03 20:00:00,"1335,7063455982125","0,0","0,0","1335,7063455982125"
2030-01-03 21:00:00,"1242,5214346032376","0,0","0,0","1242,5214346032376"
2030-01-03 22:00:00,"1144,9271590963658","0,0","0,0","1144,9271590963658"
2030-01-03 23:00:00,"1012,2912109806213","0,0","0,0","1012,2912109806213"
2030-01-04 00:00:00,"1101,6080464094634","0,0","0,0","1101,6080464094634"
2030-01-04 01:00:00,"1091,763142828328","0,0","0,0","1091,763142828328"
2030-01-04 02:00:00,"1111,310941913242","0,0","0,0","1111,310941913242"
2030-01-04 03:00:00,"1154,769246905696","0,0","0,0","1154,769246905696"
2030-01-04 04:00:00,"1298,2891757238149","0,0","0,0","1298,2891757238149"
2030-01-04 05:00:00,"1727,4996991020694","0,0","0,0","1727,4996991020694"
2030-01-04 06:00:00,"1933,3361792275577","0,0","0,0","1933,3361792275577"
2030-01-04 07:00:00,"1971,7768918394477","0,0","0,0","1971,7768918394477"
2030-01-04 08:00:00,"2025,9127885067924","0,0","0,0","2025,9127885067924"
2030-01-04 09:00:00,"2008,3771623056641","0,0","0,0","2008,3771623056641"
2030-01-04 10:00:00,"1961,2025443896118","0,0","0,0","1961,2025443896118"
2030-01-04 11:00:00,"1956,7390922579602","0,0","0,0","1956,7390922579602"
2030-01-04 12:00:00,"1887,467329040227","0,0","0,0","1887,467329040227"
2030-01-04 13:00:00,"1787,860554762674","0,0","0,0","1787,860554762674"
2030-01-04 14:00:00,"1771,65480513202","0,0","0,0","1771,65480513202"
2030-01-04 15:00:00,"1747,229131453235","0,0","0,0","1747,229131453235"
2030-01-04 16:00:00,"1686,247626117277","0,0","0,0","1686,247626117277"
2030-01-04 17:00:00,"1689,9336527714177","0,0","0,0","1689,9336527714177"
2030-01-04 18:00:00,"1645,48227371552","0,0","0,0","1645,48227371552"
2030-01-04 19:00:00,"1574,830704467473","0,0","0,0","1574,830704467473"
2030-01-04 20:00:00,"1465,5925772918404","0,0","0,0","1465,5925772918404"
2030-01-04 21:00:00,"1418,9690006052306","0,0","0,0","1418,9690006052306"
2030-01-04 22:00:00,"1321,0710543423056","0,0","0,0","1321,0710543423056"
2030-01-04 23:00:00,"1140,756777163414","0,0","0,0","1140,756777163414"
2030-01-05 00:00:00,"1141,3162625507507","0,0","0,0","1141,3162625507507"
2030-01-05 01:00:00,"1131,554709069685","0,0","0,0","1131,554709069685"
2030-01-05 02:00:00,"1152,0599454838457","0,0","0,0","1152,0599454838457"
2030-01-05 03:00:00,"1196,9583600940614","0,0","0,0","1196,9583600940614"
2030-01-05 04:00:00,"1343,7073936654965","0,0","0,0","1343,7073936654965"
2030-01-05 05:00:00,"1786,8768372634477","0,0","0,0","1786,8768372634477"
2030-01-05 06:00:00,"2000,826762595737","0,0","0,0","2000,826762595737"
2030-01-05 07:00:00,"2042,5435538430638","0,0","0,0","2042,5435538430638"
2030-01-05 08:00:00,"2099,440030444103","0,0","0,0","2099,440030444103"
2030-01-05 09:00:00,"2081,209504123136","0,0","0,0","2081,209504123136"
2030-01-05 10:00:00,"2032,4220396961723","0,0","0,0","2032,4220396961723"
2030-01-05 11:00:00,"2027,6473310574925","0,0","0,0","2027,6473310574925"
2030-01-05 12:00:00,"1954,986501486399","0,0","0,0","1954,986501486399"
