;Leistung
Leistungen;------------------------------------------------------------------
PV_Dach;0,0
PV_Feld;3667,004842783457
Wind;5570,0
Wasser;31,0
Biogas_el;105,11594658165878
Biomasse_Strom;0,0
Brennstoffzelle;0,0
GuD;419,3996192556023
Solarthermie;0,0
Biomasse_Waerme;0,0
WP_Fluss;0,0
WP_Abwaerme;0,0
Heizstab;219,71156502529448
Elektrolyse;0,0
Wasserstoffeinspeisung;0,0
B2G_Best.;37,196893271393314
B2G_Neu;0,0
Methanisierung;0,0
PtL;0,0
Speicherkapazitäten;------------------------------------------------------------------
Natriumspeicher;5000,0
Waermespeicher;184933,49514370924
Pumpspeicher;2304,0
Erdgasspeicher;0,0
Wasserstoffspeicher;0,0
Emissionen;------------------------------------------------------------------
Gasemissionen;1270230,288663111
Oelemissionen;1763096,953518719
Stromemissionen;270910,3655774749
Steinkohleemissionen;0,0
Braunkohleemissionen;0,0
Summe aller Emissionen;3304237,607759305
Kosten [Mio. €];------------------------------------------------------------------
Annuität;1074,9087618168455
OPEX;210,21818683537563
Im-Export;389,71191087317084
Netz;31,97370183557358
Gesamtkosten;1706,8125613609654
Energiemengen;------------------------------------------------------------------
Stromimport;2752594,651264732
Stromexport;8184828,012956817
