,"(('BioTransformer', 'Festbrennstoffe'), 'flow')","(('Festbrennstoffe', 'Last_Biomasse_ges'), 'flow')","(('Import_Braunkohle', 'Festbrennstoffe'), 'flow')","(('Import_Steinkohle', 'Festbrennstoffe'), 'flow')"
2030-01-03 12:00:00,"1796,4249903882817","1843,8386525602173","0,0","47,4136621719356"
2030-01-03 13:00:00,"1714,0873143118665","1761,500976483802","0,0","47,4136621719356"
2030-01-03 14:00:00,"1718,723132101246","1766,1367942731815","0,0","47,4136621719356"
2030-01-03 15:00:00,"1666,9538266511256","1714,3674888230612","0,0","47,4136621719356"
2030-01-03 16:00:00,"1637,2839523272612","1684,6976144991968","0,0","47,4136621719356"
2030-01-03 17:00:00,"1620,8629824186958","1668,2766445906313","0,0","47,4136621719356"
2030-01-03 18:00:00,"1557,4998556137014","1604,913517785637","0,0","47,4136621719356"
2030-01-03 19:00:00,"1450,7055498610337","1498,1192120329692","0,0","47,4136621719356"
2030-01-03 20:00:00,"1335,7063455982145","1383,12000777015","0,0","47,4136621719356"
2030-01-03 21:00:00,"1242,5214346032396","1289,9350967751752","0,0","47,4136621719356"
2030-01-03 22:00:00,"1144,9271590963679","1192,3408212683034","0,0","47,4136621719356"
2030-01-03 23:00:00,"1012,2912109806232","1059,7048731525588","0,0","47,4136621719356"
2030-01-04 00:00:00,"1101,6080464094655","1149,021708581401","0,0","47,4136621719356"
2030-01-04 01:00:00,"1091,76314282833","1139,1768050002656","0,0","47,4136621719356"
2030-01-04 02:00:00,"1111,310941913244","1158,7246040851796","0,0","47,4136621719356"
2030-01-04 03:00:00,"1154,769246905698","1202,1829090776337","0,0","47,4136621719356"
2030-01-04 04:00:00,"1298,289175723817","1345,7028378957525","0,0","47,4136621719356"
2030-01-04 05:00:00,"1727,4996991020714","1774,913361274007","0,0","47,4136621719356"
2030-01-04 06:00:00,"1933,3361792275596","1980,7498413994952","0,0","47,4136621719356"
2030-01-04 07:00:00,"1971,7768918394497","2019,1905540113853","0,0","47,4136621719356"
2030-01-04 08:00:00,"2025,9127885067944","2073,32645067873","0,0","47,4136621719356"
2030-01-04 09:00:00,"2008,3771623056662","2055,7908244776017","0,0","47,4136621719356"
2030-01-04 10:00:00,"1961,2025443896136","2008,6162065615492","0,0","47,4136621719356"
2030-01-04 11:00:00,"1956,7390922579623","2004,1527544298979","0,0","47,4136621719356"
2030-01-04 12:00:00,"1887,4673290402288","1934,8809912121644","0,0","47,4136621719356"
2030-01-04 13:00:00,"1787,860554762676","1835,2742169346116","0,0","47,4136621719356"
2030-01-04 14:00:00,"1771,6548051320221","1819,0684673039577","0,0","47,4136621719356"
2030-01-04 15:00:00,"1747,229131453237","1794,6427936251725","0,0","47,4136621719356"
2030-01-04 16:00:00,"1686,2476261172787","1733,6612882892143","0,0","47,4136621719356"
2030-01-04 17:00:00,"1689,9336527714197","1737,3473149433553","0,0","47,4136621719356"
2030-01-04 18:00:00,"1645,4822737155218","1692,8959358874574","0,0","47,4136621719356"
2030-01-04 19:00:00,"1574,8307044674748","1622,2443666394104","0,0","47,4136621719356"
2030-01-04 20:00:00,"1465,5925772918424","1513,006239463778","0,0","47,4136621719356"
2030-01-04 21:00:00,"1418,9690006052326","1466,3826627771682","0,0","47,4136621719356"
2030-01-04 22:00:00,"1321,0710543423074","1368,484716514243","0,0","47,4136621719356"
2030-01-04 23:00:00,"1140,7567771634158","1188,1704393353514","0,0","47,4136621719356"
2030-01-05 00:00:00,"1141,3162625507525","1188,729924722688","0,0","47,4136621719356"
2030-01-05 01:00:00,"1131,5547090696869","1178,9683712416224","0,0","47,4136621719356"
2030-01-05 02:00:00,"1152,0599454838477","1199,4736076557833","0,0","47,4136621719356"
2030-01-05 03:00:00,"1196,9583600940634","1244,372022265999","0,0","47,4136621719356"
2030-01-05 04:00:00,"1343,7073936654986","1391,1210558374341","0,0","47,4136621719356"
2030-01-05 05:00:00,"1786,8768372634497","1834,2904994353853","0,0","47,4136621719356"
2030-01-05 06:00:00,"2000,826762595739","2048,2404247676745","0,0","47,4136621719356"
2030-01-05 07:00:00,"2042,5435538430659","2089,9572160150014","0,0","47,4136621719356"
2030-01-05 08:00:00,"2099,4400304441047","2146,8536926160405","0,0","47,4136621719356"
2030-01-05 09:00:00,"2081,209504123138","2128,6231662950736","0,0","47,4136621719356"
2030-01-05 10:00:00,"2032,4220396961744","2079,83570186811","0,0","47,4136621719356"
2030-01-05 11:00:00,"2027,6473310574945","2075,06099322943","0,0","47,4136621719356"
2030-01-05 12:00:00,"1954,986501486401","2002,4001636583366","0,0","47,4136621719356"
2030-01-05 13:00:00,"1850,1736390331819","1897,5873012051175","0,0","47,4136621719356"
2030-01-05 14:00:00,"1833,3312202922154","1880,744882464151","0,0","47,4136621719356"
2030-01-05 15:00:00,"1808,7264939884922","1856,1401561604278","0,0","47,4136621719356"
2030-01-05 16:00:00,"1744,6880691888723","1792,101731360808","0,0","47,4136621719356"
2030-01-05 17:00:00,"1749,6023285829936","1797,0159907549291","0,0","47,4136621719356"
2030-01-05 18:00:00,"1704,6128948515432","1752,0265570234787","0,0","47,4136621719356"
2030-01-05 19:00:00,"1630,9751312503909","1678,3887934223264","0,0","47,4136621719356"
2030-01-05 20:00:00,"1516,6072591480317","1564,0209213199673","0,0","47,4136621719356"
2030-01-05 21:00:00,"1469,4603354856183","1516,873997657554","0,0","47,4136621719356"
2030-01-05 22:00:00,"1368,3682669431344","1415,78192911507","0,0","47,4136621719356"
2030-01-05 23:00:00,"1181,4159768218453","1228,829638993781","0,0","47,4136621719356"
2030-01-06 00:00:00,"742,8159908873431","790,2296530592787","0,0","47,4136621719356"
2030-01-06 01:00:00,"761,5333847207235","808,947046892659","0,0","47,4136621719356"
2030-01-06 02:00:00,"781,465995341281","828,8796575132166","0,0","47,4136621719356"
2030-01-06 03:00:00,"821,0244149008257","868,4380770727613","0,0","47,4136621719356"
2030-01-06 04:00:00,"968,4998085929278","1015,9134707648634","0,0","47,4136621719356"
2030-01-06 05:00:00,"1265,3201553907297","1312,7338175626653","0,0","47,4136621719356"
2030-01-06 06:00:00,"1465,2652006232631","1512,6788627951987","0,0","47,4136621719356"
2030-01-06 07:00:00,"1574,6422930268916","1622,0559551988272","0,0","47,4136621719356"
2030-01-06 08:00:00,"1592,8151250049543","1640,22878717689","0,0","47,4136621719356"
2030-01-06 09:00:00,"1554,6024906141977","1602,0161527861333","0,0","47,4136621719356"
